DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 11, 2020",BKN,ORL,A,W,133.0,53.0,96.0,55.2,14.0,33.0,42.4,13.0,19.0,68.4,12.0,34.0,46.0,28.0,14.0,5.0,5.0,23.0,-1.0
"Aug 09, 2020",BKN,LAC,A,W,120.5,45.5,92.5,48.95,13.5,38.0,36.3,16.0,21.5,73.8,10.0,36.5,46.5,27.0,14.5,7.0,4.5,21.5,5.5
"Aug 07, 2020",BKN,SAC,H,W,123.33,46.0,90.0,51.07,15.67,39.67,39.7,15.67,20.67,75.5,9.33,37.0,46.33,28.67,15.0,6.33,4.67,22.67,6.67
"Aug 05, 2020",BKN,BOS,A,L,122.25,45.0,89.0,50.5,16.0,39.75,40.4,16.25,22.5,72.7,8.75,37.0,45.75,29.0,14.0,7.0,4.25,22.75,8.25
"Aug 04, 2020",BKN,MIL,A,W,120.8,45.0,90.2,49.88,14.4,38.2,37.32,16.4,22.2,74.36,8.4,35.0,43.4,27.8,14.8,7.4,3.8,22.6,-0.2
"Aug 02, 2020",BKN,WAS,H,W,120.5,44.67,92.33,48.52,15.5,41.33,37.23,15.67,21.17,74.47,8.17,35.0,43.17,28.17,13.5,7.0,4.17,23.17,0.33
"Jul 31, 2020",BKN,ORL,H,L,120.14,43.71,92.0,47.61,14.86,40.14,36.67,17.86,23.43,75.8,8.86,35.0,43.86,27.43,13.14,6.71,4.14,23.29,1.43
"Mar 10, 2020",BKN,LAL,A,W,119.88,43.75,91.88,47.71,14.62,40.38,35.96,17.75,23.38,75.56,9.0,34.25,43.25,27.75,13.25,6.38,3.88,23.5,0.0
"Mar 08, 2020",BKN,CHI,H,W,118.11,43.0,91.67,46.98,14.44,40.33,35.58,17.67,23.33,75.38,9.56,34.11,43.67,27.33,13.0,6.44,3.78,22.89,0.22
"Mar 06, 2020",BKN,SAS,H,W,117.3,41.9,88.9,47.28,14.1,39.3,35.69,19.4,25.1,76.38,9.1,35.2,44.3,26.7,14.6,6.2,3.9,23.0,0.5
