DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 12, 2020",HOU,IND,H,L,96.0,35.0,80.0,43.8,12.0,48.0,25.0,14.0,16.0,87.5,1.0,26.0,27.0,25.0,17.0,10.0,9.0,18.0,-38.0
"Aug 11, 2020",HOU,SAS,A,L,100.0,33.5,83.0,40.5,14.0,52.5,26.55,19.0,22.0,86.6,3.5,34.5,38.0,22.5,18.5,9.0,7.5,19.0,-21.0
"Aug 09, 2020",HOU,SAC,A,W,101.67,34.33,85.0,40.47,14.0,51.0,27.43,19.0,21.67,87.9,3.67,34.0,37.67,21.0,18.33,10.67,6.0,19.0,-20.0
"Aug 06, 2020",HOU,LAL,H,W,108.5,36.5,86.5,42.17,15.0,52.5,28.48,20.5,23.75,86.75,4.75,35.5,40.25,21.0,17.5,10.25,5.25,18.75,-10.75
"Aug 04, 2020",HOU,POR,A,L,109.4,36.4,86.0,42.32,16.2,53.4,30.14,20.4,23.6,86.8,4.6,34.4,39.0,22.0,18.0,10.4,5.2,20.6,-5.4
"Aug 02, 2020",HOU,MIL,H,W,108.17,36.0,86.17,41.78,16.67,53.33,31.08,19.5,23.67,82.75,4.67,34.33,39.0,22.33,16.67,9.83,4.83,21.5,-5.83
"Jul 31, 2020",HOU,DAL,A,W,109.86,36.0,86.86,41.47,17.29,54.43,31.56,20.57,24.71,83.37,4.86,33.71,38.57,22.29,15.57,10.57,4.57,21.86,-4.43
"Mar 10, 2020",HOU,MIN,H,W,115.25,38.0,88.62,42.73,17.5,53.62,32.56,21.75,26.5,82.56,5.12,34.0,39.12,22.75,14.75,10.75,5.25,23.0,-3.38
"Mar 08, 2020",HOU,ORL,H,L,115.44,38.33,87.67,43.68,17.22,51.89,33.33,21.56,26.44,81.93,5.11,33.33,38.44,22.89,15.11,10.56,5.22,22.67,-2.33
"Mar 07, 2020",HOU,CHA,A,L,114.5,38.4,87.7,43.74,16.4,49.9,32.81,21.3,26.3,81.34,5.7,32.7,38.4,22.7,15.4,10.5,5.4,22.7,-4.1
"Mar 05, 2020",HOU,LAC,H,L,113.09,38.09,86.64,43.95,16.27,49.45,32.85,20.64,25.73,80.31,6.36,32.36,38.73,22.64,15.91,10.36,5.18,22.91,-4.55
"Mar 02, 2020",HOU,NYK,A,L,112.42,37.83,87.5,43.3,15.5,48.83,31.51,21.25,26.58,80.1,7.08,32.67,39.75,22.33,15.5,10.0,5.17,23.08,-5.42
"Feb 29, 2020",HOU,BOS,A,W,113.23,37.92,88.0,43.16,15.85,49.38,31.83,21.54,26.62,81.06,7.15,32.15,39.31,22.54,15.23,10.08,5.15,22.85,-5.15
"Feb 26, 2020",HOU,MEM,H,W,113.07,38.14,88.71,43.06,15.79,49.79,31.51,21.0,26.0,80.83,7.5,32.79,40.29,22.14,15.29,10.07,5.36,22.64,-4.71
"Feb 24, 2020",HOU,NYK,H,W,114.87,39.07,89.0,43.92,16.27,49.8,32.47,20.47,25.27,81.22,7.6,32.93,40.53,22.13,15.53,9.93,5.47,22.8,-2.53
"Feb 22, 2020",HOU,UTA,A,W,115.38,39.31,88.81,44.3,16.25,49.69,32.52,20.5,25.62,80.38,7.44,32.94,40.38,22.0,15.38,10.0,5.56,22.75,-1.69
"Feb 20, 2020",HOU,GSW,A,W,115.65,39.65,89.0,44.57,16.47,49.59,33.06,19.88,24.94,79.85,7.35,33.12,40.47,21.88,15.06,9.94,5.53,22.88,-1.0
"Feb 11, 2020",HOU,BOS,H,W,116.72,39.94,88.78,45.03,16.94,49.56,34.06,19.89,24.78,80.46,7.39,32.83,40.22,22.39,15.11,10.17,5.61,22.44,0.72
"Feb 09, 2020",HOU,UTA,H,L,116.68,39.58,88.16,44.92,16.74,49.32,33.79,20.79,25.68,80.86,7.26,33.21,40.47,22.11,15.05,10.11,5.63,22.37,1.26
"Feb 07, 2020",HOU,PHX,A,L,116.5,39.8,88.5,44.99,16.65,48.95,33.89,20.25,25.1,80.39,7.25,33.0,40.25,22.0,14.7,10.1,5.6,22.2,1.15
"Feb 06, 2020",HOU,LAL,A,W,115.29,39.29,88.33,44.47,16.38,48.9,33.36,20.33,25.14,80.59,7.29,32.43,39.71,21.71,14.76,10.0,5.57,22.14,-0.62
"Feb 04, 2020",HOU,CHA,H,W,115.55,39.45,88.18,44.75,16.5,48.59,33.9,20.14,24.82,80.97,7.23,32.36,39.59,21.64,14.82,9.91,5.5,22.14,-0.14
"Feb 02, 2020",HOU,NOP,H,W,115.96,39.61,88.57,44.73,16.65,49.09,33.87,20.09,24.74,81.04,7.22,32.43,39.65,21.78,14.39,9.96,5.48,22.0,0.52
"Jan 31, 2020",HOU,DAL,H,W,116.0,39.67,89.25,44.49,16.62,49.17,33.77,20.04,24.62,81.26,7.38,32.42,39.79,21.79,14.12,10.12,5.38,21.83,0.83
"Jan 29, 2020",HOU,POR,A,L,116.48,39.88,89.6,44.55,16.8,49.0,34.29,19.92,24.44,81.41,7.36,32.32,39.68,21.92,13.84,10.16,5.36,21.76,1.08
"Jan 27, 2020",HOU,UTA,A,W,116.31,39.88,89.77,44.47,16.81,48.92,34.36,19.73,24.19,81.48,7.42,32.23,39.65,21.88,13.88,10.08,5.35,21.81,0.54
"Jan 26, 2020",HOU,DEN,A,L,116.67,39.81,89.44,44.56,16.74,48.59,34.48,20.3,25.11,81.11,7.37,32.3,39.67,21.59,14.0,10.11,5.3,21.93,0.85
"Jan 24, 2020",HOU,MIN,A,W,116.43,39.82,89.39,44.6,16.54,48.04,34.44,20.25,25.18,80.73,7.64,32.18,39.82,21.5,14.14,9.96,5.36,21.89,0.57
"Jan 22, 2020",HOU,DEN,H,W,116.93,40.07,89.45,44.84,16.34,47.48,34.43,20.45,25.38,80.84,7.55,32.1,39.66,21.59,14.03,10.0,5.48,21.76,0.79
"Jan 20, 2020",HOU,OKC,H,L,117.07,40.13,89.43,44.92,16.23,46.87,34.78,20.57,25.47,81.0,7.9,32.2,40.1,21.73,14.2,10.0,5.53,21.57,1.3
"Jan 18, 2020",HOU,LAL,H,L,116.74,40.23,89.68,44.9,16.0,46.81,34.3,20.29,25.19,80.66,7.94,32.26,40.19,21.71,14.1,9.87,5.58,21.61,1.1
