DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 12, 2020",IND,HOU,A,W,109.0,43.0,89.0,48.3,15.0,38.0,39.5,8.0,11.0,72.7,12.0,39.0,51.0,32.0,20.0,11.0,3.0,27.0,17.0
"Aug 10, 2020",IND,MIA,A,L,108.5,41.5,94.5,44.15,13.0,34.5,37.5,12.5,16.5,75.0,12.0,40.5,52.5,28.5,17.5,13.0,5.0,26.0,10.5
"Aug 08, 2020",IND,LAL,H,W,103.0,38.67,91.0,42.53,12.0,34.67,34.53,13.67,19.33,71.33,10.0,40.0,50.0,25.67,17.33,10.33,4.67,23.67,-0.33
"Aug 06, 2020",IND,PHX,A,L,106.25,40.0,89.25,45.0,12.75,34.25,37.27,13.5,18.0,76.72,9.25,38.75,48.0,25.5,18.0,10.75,4.5,23.0,1.0
"Aug 04, 2020",IND,ORL,H,W,104.8,39.4,88.4,44.7,12.2,33.2,36.72,13.8,18.2,77.16,8.4,37.6,46.0,24.4,17.4,9.8,4.6,22.8,-2.2
"Aug 03, 2020",IND,WAS,A,W,107.33,40.5,87.67,46.38,12.33,33.17,37.17,14.0,18.33,77.45,7.33,36.33,43.67,25.17,15.67,9.83,4.33,21.83,0.0
"Aug 01, 2020",IND,PHI,H,W,107.86,41.0,88.29,46.59,11.57,32.14,35.7,14.29,18.0,80.67,7.57,36.29,43.86,24.43,14.86,9.29,5.29,20.86,1.57
"Mar 10, 2020",IND,BOS,H,L,110.25,41.88,89.12,47.08,11.88,32.38,36.39,14.62,18.62,79.82,7.88,34.75,42.62,25.25,14.25,9.12,5.25,21.38,2.12
"Mar 08, 2020",IND,DAL,A,W,110.33,42.33,89.56,47.34,11.56,31.44,36.51,14.11,17.78,81.06,8.11,34.56,42.67,25.0,14.0,8.67,5.56,21.22,1.56
"Mar 06, 2020",IND,CHI,A,W,110.5,42.7,89.4,47.84,11.2,30.6,36.34,13.9,17.8,79.62,7.9,35.2,43.1,24.8,13.7,8.3,5.6,21.4,1.7
"Mar 04, 2020",IND,MIL,A,L,110.27,42.27,88.09,48.1,10.91,29.82,36.35,14.82,19.18,78.99,8.09,35.27,43.36,24.73,14.45,8.36,5.82,20.91,2.09
"Mar 02, 2020",IND,SAS,A,W,109.42,42.25,88.83,47.7,10.58,29.58,35.48,14.33,18.5,79.22,8.0,35.0,43.0,24.5,14.58,8.67,5.5,20.67,0.33
"Feb 29, 2020",IND,CLE,A,W,109.92,42.0,88.0,47.88,10.92,29.69,36.47,15.0,19.08,79.94,7.85,34.92,42.77,24.31,14.46,8.69,5.46,20.62,0.69
"Feb 27, 2020",IND,POR,H,W,110.14,42.36,87.93,48.31,10.71,29.21,36.35,14.71,18.71,79.84,7.86,34.57,42.43,24.71,14.36,8.79,5.5,20.57,1.29
"Feb 25, 2020",IND,CHA,H,W,109.87,42.2,88.07,48.05,10.53,28.93,36.06,14.93,19.0,79.74,8.2,34.6,42.8,24.47,14.33,8.73,5.4,20.0,1.6
"Feb 23, 2020",IND,TOR,A,L,110.44,42.62,87.94,48.61,10.5,28.56,36.52,14.69,18.62,80.04,8.12,35.5,43.62,25.12,14.38,8.69,5.75,19.81,3.94
"Feb 21, 2020",IND,NYK,A,W,108.71,41.94,88.35,47.67,10.35,28.82,35.8,14.47,18.53,79.14,8.35,35.0,43.35,25.0,14.59,8.94,5.65,19.82,1.0
"Feb 12, 2020",IND,MIL,H,W,108.56,41.61,88.33,47.29,10.22,28.78,35.4,15.11,19.33,79.12,8.56,35.17,43.72,24.72,14.39,8.83,5.61,19.94,1.39
"Feb 10, 2020",IND,BKN,H,L,109.05,41.79,88.21,47.56,10.16,28.68,35.29,15.32,19.58,79.13,8.53,35.21,43.74,24.89,14.47,8.89,5.47,20.0,1.68
"Feb 08, 2020",IND,NOP,H,L,108.85,41.95,88.4,47.62,10.0,28.75,34.69,14.95,19.15,78.8,8.4,35.15,43.55,25.05,14.05,8.8,5.35,20.05,1.55
"Feb 07, 2020",IND,TOR,H,L,109.24,42.05,88.14,47.88,9.95,28.62,34.69,15.19,19.52,78.58,8.1,35.14,43.24,25.05,14.05,8.62,5.52,20.29,1.14
"Feb 05, 2020",IND,TOR,A,L,109.09,41.91,88.05,47.76,9.95,28.86,34.45,15.32,19.64,78.73,8.23,35.18,43.41,25.09,14.32,8.45,5.5,20.18,0.68
"Feb 03, 2020",IND,DAL,H,L,109.48,41.96,87.78,47.97,10.35,29.3,35.07,15.22,19.48,78.84,8.22,35.13,43.35,25.26,14.52,8.35,5.48,20.09,0.61
"Feb 01, 2020",IND,NYK,H,L,109.21,42.04,88.12,47.88,10.21,29.5,34.46,14.92,19.12,78.58,8.21,35.0,43.21,25.38,14.08,8.29,5.5,20.0,0.21
"Jan 29, 2020",IND,CHI,H,W,108.24,41.64,87.64,47.64,10.12,29.28,34.42,14.84,19.2,77.92,8.04,34.8,42.84,25.2,13.96,8.12,5.32,20.0,-0.08
