DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 12, 2020",MIA,OKC,A,L,92.0,31.0,87.0,35.6,10.0,38.0,26.3,20.0,27.0,74.1,14.0,34.0,48.0,14.0,19.0,6.0,5.0,15.0,-17.0
"Aug 10, 2020",MIA,IND,H,W,103.5,36.5,86.5,42.2,12.0,40.0,29.8,18.5,23.5,79.55,10.0,34.0,44.0,19.0,15.5,10.0,3.5,19.0,-9.0
"Aug 08, 2020",MIA,PHX,H,L,107.0,39.0,90.33,43.1,12.33,40.0,30.7,16.67,22.0,75.83,11.0,38.0,49.0,22.33,15.0,10.33,5.33,19.33,1.33
"Aug 06, 2020",MIA,MIL,A,L,108.25,39.5,88.75,44.53,12.0,39.0,30.67,17.25,22.0,78.47,9.0,37.0,46.0,23.75,14.25,9.25,6.25,19.75,-0.75
"Aug 04, 2020",MIA,BOS,H,W,109.8,38.6,87.6,44.06,13.8,40.4,33.68,18.8,23.0,81.3,8.4,36.2,44.6,24.6,15.2,8.6,5.2,21.4,-3.4
"Aug 03, 2020",MIA,TOR,H,L,110.17,37.83,85.83,44.08,14.0,40.83,33.88,20.5,25.67,80.15,9.0,35.17,44.17,24.17,14.83,8.5,5.17,21.0,-1.83
"Aug 01, 2020",MIA,DEN,A,W,109.14,37.71,86.0,43.86,14.0,41.43,33.49,19.71,24.29,82.1,8.86,34.86,43.71,24.86,14.86,8.57,5.57,21.43,-2.14
"Mar 11, 2020",MIA,CHA,H,L,111.12,38.0,84.25,45.33,13.88,39.88,34.9,21.25,25.88,82.65,8.5,34.5,43.0,25.38,15.0,8.38,5.12,22.25,0.62
"Mar 08, 2020",MIA,WAS,A,W,109.67,38.11,84.22,45.44,14.0,40.33,34.81,19.44,23.67,82.72,8.56,33.67,42.22,26.11,14.89,8.33,5.11,21.67,-0.67
"Mar 06, 2020",MIA,NOP,A,L,108.7,37.5,82.4,45.75,13.9,39.1,35.97,19.8,24.1,82.66,8.2,34.4,42.6,25.6,15.7,8.2,5.4,22.0,0.5
"Mar 04, 2020",MIA,ORL,H,W,108.27,37.45,82.73,45.5,13.45,38.55,35.18,19.91,24.73,81.3,8.36,34.45,42.82,25.73,15.73,8.45,5.73,22.09,-0.09
"Mar 02, 2020",MIA,MIL,H,W,108.92,37.75,82.42,46.03,14.17,39.0,36.42,19.25,23.92,81.19,8.17,34.08,42.25,26.17,15.58,8.42,5.67,21.67,0.17
"Feb 29, 2020",MIA,BKN,H,W,108.62,37.69,82.69,45.8,14.46,38.85,37.35,18.77,23.46,80.5,8.0,34.54,42.54,26.31,15.15,8.08,5.54,21.46,1.38
"Feb 28, 2020",MIA,DAL,H,W,109.14,37.93,83.29,45.75,14.43,38.79,37.31,18.86,23.5,80.7,8.14,34.57,42.71,26.36,14.57,7.79,5.43,21.43,1.5
"Feb 26, 2020",MIA,MIN,H,L,110.27,38.13,83.0,46.16,14.6,38.53,38.07,19.4,24.33,80.32,8.0,34.53,42.53,26.6,14.33,7.67,5.2,21.4,1.93
"Feb 24, 2020",MIA,CLE,A,L,111.25,38.31,82.69,46.56,14.38,37.75,38.33,20.25,25.5,80.09,8.0,34.56,42.56,26.81,14.81,7.75,5.38,21.38,1.62
"Feb 22, 2020",MIA,CLE,H,W,111.71,38.65,83.47,46.52,14.47,38.0,38.32,19.94,25.18,79.79,8.06,34.88,42.94,27.18,14.82,7.65,5.71,21.41,1.18
