DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 10, 2020",UTA,DAL,H,L,118.0,47.0,101.0,46.5,15.0,46.0,32.6,9.0,10.0,90.0,12.0,31.0,43.0,25.0,9.0,7.0,5.0,23.0,6.0
"Aug 08, 2020",UTA,DEN,A,L,116.0,43.0,91.5,47.05,18.0,46.0,39.15,12.0,15.0,82.5,11.5,29.0,40.5,26.5,10.5,6.0,5.5,21.0,-1.0
"Aug 07, 2020",UTA,SAS,A,L,121.33,44.33,96.0,46.3,19.33,49.0,39.43,13.33,17.33,79.23,12.67,31.33,44.0,29.0,14.67,6.0,5.0,24.0,-1.33
"Aug 05, 2020",UTA,MEM,H,W,118.75,42.75,94.75,45.17,18.5,46.0,40.38,14.75,19.0,79.22,12.0,33.25,45.25,28.0,15.0,6.5,4.75,22.75,-3.0
"Aug 03, 2020",UTA,LAL,H,L,119.8,41.8,92.6,45.18,18.4,45.8,40.3,17.8,21.8,81.56,11.8,33.6,45.4,27.4,15.6,6.2,4.6,22.8,-0.6
"Aug 01, 2020",UTA,OKC,A,L,117.83,41.0,91.0,45.08,17.33,45.33,38.23,18.5,22.33,82.63,11.0,33.83,44.83,27.0,16.5,6.5,4.33,23.83,-1.83
"Jul 30, 2020",UTA,NOP,A,W,114.43,40.0,90.43,44.23,16.0,43.29,36.46,18.43,22.29,82.51,11.14,32.29,43.43,25.57,16.43,7.14,4.29,23.43,-3.86
"Mar 09, 2020",UTA,TOR,H,L,113.38,39.62,89.62,44.2,15.0,42.12,34.84,19.12,23.0,82.91,11.25,32.12,43.38,24.5,16.88,7.62,4.5,23.38,-3.12
"Mar 07, 2020",UTA,DET,A,W,111.0,38.89,88.89,43.71,15.11,42.22,35.1,18.11,22.0,81.63,10.67,31.67,42.33,24.44,16.22,8.11,4.44,23.0,-3.78
"Mar 06, 2020",UTA,BOS,A,W,111.0,39.0,87.7,44.53,14.6,41.3,34.62,18.4,22.6,80.97,10.5,31.6,42.1,23.7,15.6,8.3,4.4,22.6,-2.8
"Mar 04, 2020",UTA,NYK,A,W,109.91,38.73,87.0,44.57,14.82,41.64,34.91,17.64,21.64,81.18,10.27,31.64,41.91,23.64,15.82,8.27,4.64,22.27,-2.09
"Mar 02, 2020",UTA,CLE,A,W,110.08,38.92,86.5,45.07,14.42,41.17,34.32,17.83,21.92,81.08,9.92,31.58,41.5,23.83,15.67,8.0,4.67,22.08,-1.25
"Feb 28, 2020",UTA,WAS,H,W,111.31,39.54,86.23,45.96,14.85,41.15,35.43,17.38,21.31,81.44,9.77,32.15,41.92,24.31,15.62,7.62,4.85,21.69,-0.15
"Feb 26, 2020",UTA,BOS,H,L,112.57,39.86,86.43,46.21,15.14,40.86,36.57,17.71,21.93,80.86,10.14,32.64,42.79,24.21,15.57,7.57,4.86,21.71,0.57
"Feb 24, 2020",UTA,PHX,H,L,111.93,39.87,86.6,46.12,14.93,40.8,36.13,17.27,21.47,80.35,10.33,32.33,42.67,23.67,15.2,7.4,4.73,21.33,-0.2
"Feb 22, 2020",UTA,HOU,H,L,111.88,39.38,85.44,46.18,14.62,39.88,36.28,18.5,22.81,80.71,10.0,31.88,41.88,23.19,15.5,7.44,4.56,21.44,-1.44
"Feb 21, 2020",UTA,SAS,H,L,111.76,39.53,85.71,46.21,14.18,39.35,35.48,18.53,22.88,80.62,9.76,32.35,42.12,22.88,15.35,7.06,4.41,21.0,-1.94
"Feb 12, 2020",UTA,MIA,H,W,111.33,39.28,85.5,46.02,14.06,39.0,35.53,18.72,23.06,80.84,9.56,32.83,42.39,23.0,15.44,6.89,4.5,20.83,-2.33
