DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 15, 2021",BOS,MIN,A,W,92.0,35.0,86.0,40.7,11.0,41.0,26.8,11.0,15.0,73.3,9.0,37.0,46.0,19.0,12.0,4.0,6.0,19.0,-4.0
"May 12, 2021",BOS,CLE,A,L,108.0,40.5,90.5,44.55,14.5,41.5,34.85,12.5,16.5,75.55,9.0,36.0,45.0,23.0,13.5,6.0,6.0,21.5,6.0
"May 11, 2021",BOS,MIA,H,L,103.33,39.0,94.0,41.57,13.67,41.33,33.0,11.67,15.67,74.17,10.33,35.0,45.33,20.0,11.33,7.0,6.67,22.0,1.33
"May 09, 2021",BOS,MIA,H,L,107.75,40.75,92.5,44.25,14.75,40.25,36.9,11.5,16.0,71.8,8.5,33.5,42.0,22.75,11.25,7.25,6.25,21.75,-1.0
"May 07, 2021",BOS,CHI,A,L,111.0,41.6,90.6,46.24,14.6,39.8,36.88,13.2,17.8,73.44,8.0,32.4,40.4,24.0,11.8,7.2,5.6,21.8,-2.0
"May 05, 2021",BOS,ORL,A,W,109.0,40.5,89.83,45.32,14.0,39.67,35.43,14.0,18.67,74.25,8.5,33.0,41.5,23.17,12.17,6.83,6.0,20.67,-5.33
"May 02, 2021",BOS,POR,H,L,112.29,42.0,90.71,46.43,15.0,40.43,37.04,13.29,17.71,74.36,8.57,33.43,42.0,23.86,12.0,7.0,6.43,21.0,0.57
"Apr 30, 2021",BOS,SAS,H,W,113.12,42.12,90.5,46.66,15.62,40.25,38.82,13.25,17.38,75.9,8.75,33.62,42.38,24.5,12.75,6.5,6.38,21.0,-0.75
"Apr 28, 2021",BOS,CHA,H,W,116.44,42.89,92.11,46.67,15.89,40.0,39.78,14.78,19.44,75.8,9.67,33.78,43.44,25.22,12.78,6.56,6.44,21.56,-0.33
"Apr 27, 2021",BOS,OKC,H,L,116.8,43.0,92.1,46.78,15.8,40.0,39.55,15.0,19.7,75.95,10.6,33.9,44.5,25.3,12.9,6.8,6.6,21.8,0.6
"Apr 25, 2021",BOS,CHA,A,L,116.64,42.82,92.55,46.37,15.36,40.82,37.99,15.64,20.18,77.05,10.36,33.64,44.0,24.91,13.0,7.64,6.64,22.18,0.18
"Apr 23, 2021",BOS,BKN,A,L,115.58,42.08,92.17,45.73,15.25,40.83,37.67,16.17,20.67,77.67,10.42,33.33,43.75,24.33,13.0,7.5,6.25,21.42,-1.58
"Apr 22, 2021",BOS,PHX,H,W,114.69,41.77,92.31,45.32,15.38,40.92,37.88,15.77,20.31,76.99,10.77,33.77,44.54,24.08,13.46,7.38,6.23,21.31,-1.85
"Apr 19, 2021",BOS,CHI,H,L,113.57,41.14,91.21,45.14,15.14,40.86,37.32,16.14,20.57,77.74,10.71,34.07,44.79,23.79,14.14,7.36,5.93,20.64,-0.79
"Apr 17, 2021",BOS,GSW,H,W,112.4,40.8,90.27,45.25,14.8,39.8,37.5,16.0,20.2,78.78,10.2,34.2,44.4,23.6,14.27,7.4,5.73,20.27,-1.13
"Apr 15, 2021",BOS,LAL,A,W,112.81,41.0,90.5,45.35,14.81,40.19,37.19,16.0,20.19,78.86,10.44,34.0,44.44,23.25,13.94,7.5,5.5,20.12,-0.75
"Apr 13, 2021",BOS,POR,A,W,113.29,41.41,90.18,46.01,14.76,39.71,37.58,15.71,19.76,79.19,10.24,34.41,44.65,23.82,14.35,7.29,5.53,20.12,-0.24
"Apr 11, 2021",BOS,DEN,A,W,113.44,41.44,90.17,46.04,14.78,39.44,37.88,15.78,20.0,78.73,10.17,34.56,44.72,24.17,14.11,7.17,5.44,20.06,-0.17
"Apr 09, 2021",BOS,MIN,H,W,113.0,41.32,90.0,45.98,14.37,39.11,37.0,16.0,20.16,79.16,10.16,34.95,45.11,23.95,13.95,7.0,5.53,19.95,0.79
"Apr 07, 2021",BOS,NYK,H,W,114.6,41.6,89.85,46.38,14.6,39.25,37.41,16.8,20.85,79.91,10.1,35.0,45.1,24.35,14.3,7.1,5.5,20.2,1.2
"Apr 06, 2021",BOS,PHI,H,L,113.95,41.33,89.67,46.17,14.62,39.29,37.41,16.67,20.81,79.44,10.38,35.1,45.48,24.24,14.57,7.05,5.57,19.9,1.24
"Apr 04, 2021",BOS,CHA,H,W,113.14,40.95,88.77,46.21,14.59,39.05,37.59,16.64,20.68,79.87,10.05,34.82,44.86,24.0,14.91,6.95,5.59,20.0,0.73
"Apr 02, 2021",BOS,HOU,H,W,113.26,41.04,89.0,46.19,14.87,39.7,37.64,16.3,20.26,79.95,10.22,34.61,44.83,24.22,14.52,7.13,5.57,20.0,2.0
"Mar 31, 2021",BOS,DAL,H,L,113.46,41.25,88.96,46.44,14.96,39.75,37.8,16.0,19.92,79.75,10.25,34.79,45.04,24.67,14.54,7.21,5.62,20.08,2.58
"Mar 29, 2021",BOS,NOP,H,L,113.24,41.16,89.16,46.24,14.8,40.04,37.23,16.12,20.04,79.86,10.16,34.52,44.68,24.48,14.32,7.36,5.48,20.04,2.28
"Mar 27, 2021",BOS,OKC,A,W,113.08,41.12,89.31,46.12,14.77,40.15,37.05,16.08,20.0,79.82,10.23,34.5,44.73,24.35,14.31,7.27,5.62,20.23,1.96
"Mar 26, 2021",BOS,MIL,A,W,113.0,41.22,89.56,46.11,14.67,40.07,36.85,15.89,19.78,79.78,10.22,34.78,45.0,24.26,14.22,7.37,5.56,20.19,2.52
"Mar 24, 2021",BOS,MIL,A,L,113.32,41.29,89.5,46.21,14.93,40.32,37.2,15.82,19.64,80.05,10.14,34.82,44.96,24.36,14.25,7.46,5.64,20.04,2.71
"Mar 22, 2021",BOS,MEM,A,L,113.52,41.41,89.66,46.27,15.07,40.55,37.31,15.62,19.31,80.74,10.1,34.62,44.72,24.34,14.21,7.52,5.66,19.86,2.55
"Mar 21, 2021",BOS,ORL,H,W,113.93,41.6,89.67,46.46,15.13,40.37,37.69,15.6,19.47,80.13,9.93,34.73,44.67,24.57,14.17,7.37,5.67,19.8,2.27
"Mar 19, 2021",BOS,SAC,H,L,113.87,41.55,89.61,46.43,15.39,40.84,37.82,15.39,19.13,80.77,9.84,34.84,44.68,24.65,14.03,7.32,5.58,19.84,2.71
"Mar 17, 2021",BOS,CLE,A,L,113.31,41.47,89.66,46.32,15.28,40.53,37.85,15.09,18.75,80.93,9.91,34.78,44.69,24.56,14.09,7.34,5.53,19.84,2.28
"Mar 16, 2021",BOS,UTA,H,L,113.21,41.42,89.61,46.3,15.12,40.45,37.5,15.24,19.06,80.57,10.06,34.48,44.55,24.39,14.03,7.42,5.64,20.06,2.0
"Mar 14, 2021",BOS,HOU,A,W,113.09,41.62,89.85,46.38,14.97,40.12,37.41,14.88,18.62,80.4,10.24,34.32,44.56,24.5,14.03,7.44,5.62,20.0,1.71
"Mar 11, 2021",BOS,BKN,A,L,113.69,41.89,89.91,46.63,15.06,40.03,37.73,14.86,18.69,80.01,10.23,34.63,44.86,24.63,14.03,7.46,5.54,20.06,2.43
"Mar 04, 2021",BOS,TOR,H,W,113.56,41.86,89.94,46.59,15.0,40.03,37.59,14.83,18.78,79.56,10.25,34.44,44.69,24.56,13.94,7.53,5.67,19.86,2.03
"Mar 02, 2021",BOS,LAC,H,W,114.05,41.95,89.51,46.98,14.95,39.73,37.78,15.22,19.35,79.36,10.22,34.32,44.54,24.57,14.0,7.49,5.7,19.86,2.16
"Feb 28, 2021",BOS,WAS,H,W,114.13,41.95,89.42,47.02,14.97,39.53,38.1,15.26,19.45,79.22,10.32,34.18,44.5,24.58,13.87,7.45,5.66,19.66,2.24
"Feb 26, 2021",BOS,IND,H,W,114.05,41.95,89.41,47.03,14.85,39.28,37.98,15.31,19.56,79.01,10.38,34.23,44.62,24.59,14.0,7.44,5.51,19.79,2.21
"Feb 24, 2021",BOS,ATL,A,L,114.15,41.95,89.22,47.13,14.7,38.85,38.05,15.55,19.8,79.18,10.3,34.33,44.62,24.57,13.95,7.33,5.53,19.8,2.3
"Feb 23, 2021",BOS,DAL,A,L,114.1,41.95,89.37,47.06,14.54,38.66,37.75,15.66,19.88,79.38,10.34,34.07,44.41,24.46,13.76,7.39,5.54,19.71,1.88
"Feb 21, 2021",BOS,NOP,A,L,113.93,41.93,89.29,47.08,14.48,38.67,37.59,15.6,19.83,79.2,10.38,34.07,44.45,24.33,13.74,7.36,5.55,19.74,1.76
"Feb 19, 2021",BOS,ATL,H,W,113.95,41.86,89.49,46.91,14.37,38.63,37.34,15.86,20.16,79.21,10.4,34.16,44.56,24.28,13.67,7.4,5.67,19.98,1.6
