DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 15, 2021",SAS,PHX,H,L,121.0,50.0,98.0,51.0,7.0,24.0,29.2,14.0,19.0,73.7,11.0,35.0,46.0,30.0,10.0,5.0,5.0,8.0,-2.0
"May 13, 2021",SAS,NYK,A,L,112.0,44.5,93.0,47.65,5.5,25.0,22.3,17.5,21.5,80.6,9.0,34.5,43.5,26.5,13.0,5.0,3.5,12.5,-19.5
"May 12, 2021",SAS,BKN,A,L,107.33,42.33,92.33,45.7,5.67,23.67,24.4,17.0,20.67,81.8,9.0,35.67,44.67,25.0,12.33,4.67,4.33,13.67,-14.33
"May 10, 2021",SAS,MIL,H,W,109.5,42.5,94.5,44.92,6.25,25.5,24.75,18.25,22.25,81.72,10.75,34.25,45.0,24.0,11.25,5.25,3.75,15.0,-13.75
"May 08, 2021",SAS,POR,A,L,116.8,45.2,94.4,47.86,8.4,26.2,31.52,18.0,22.0,81.58,10.4,34.8,45.2,24.6,11.6,5.4,4.0,15.2,-6.8
"May 07, 2021",SAS,SAC,A,W,114.33,43.83,94.17,46.52,8.33,26.83,30.72,18.33,22.17,82.48,9.83,34.5,44.33,23.33,10.83,5.5,4.17,16.67,-9.33
"May 05, 2021",SAS,UTA,A,L,114.14,44.14,93.43,47.26,7.71,26.14,28.93,18.14,21.71,83.49,9.43,34.86,44.29,22.86,11.14,5.86,4.57,16.0,-6.71
"May 03, 2021",SAS,UTA,A,L,111.62,43.25,93.25,46.37,7.62,25.75,29.11,17.5,21.5,81.17,9.38,33.75,43.12,22.75,10.62,6.0,4.62,15.62,-9.88
"May 02, 2021",SAS,PHI,H,L,110.22,43.11,92.89,46.41,7.33,24.89,28.97,16.67,20.22,83.27,9.22,33.22,42.44,23.0,10.89,6.44,4.56,15.33,-10.0
"Apr 30, 2021",SAS,BOS,A,L,110.3,43.1,93.2,46.25,7.8,25.5,29.94,16.3,19.9,82.59,9.3,33.7,43.0,22.7,11.2,6.7,4.6,16.3,-9.2
"Apr 28, 2021",SAS,MIA,A,L,113.0,43.64,93.09,46.89,8.09,25.36,31.38,17.64,21.55,82.5,9.18,33.82,43.0,23.27,11.18,6.64,4.27,17.27,-8.64
"Apr 26, 2021",SAS,WAS,A,W,112.83,43.42,92.67,46.87,8.25,25.92,31.38,17.75,21.75,82.23,9.0,33.75,42.75,23.5,11.0,6.58,4.17,17.5,-8.33
"Apr 24, 2021",SAS,NOP,A,W,115.38,44.31,93.46,47.37,8.08,25.23,31.68,18.69,22.77,82.49,9.31,33.54,42.85,23.77,10.62,6.54,3.92,17.77,-7.46
"Apr 22, 2021",SAS,DET,H,W,115.0,43.79,92.86,47.09,8.14,25.64,31.49,19.29,23.43,82.63,9.29,33.79,43.07,23.64,11.07,6.71,4.21,18.14,-6.79
"Apr 21, 2021",SAS,MIA,H,L,114.4,43.33,92.0,47.04,8.33,25.53,32.44,19.4,23.67,82.31,9.4,33.67,43.07,23.93,11.0,7.07,4.4,18.2,-5.33
"Apr 19, 2021",SAS,IND,A,W,112.69,42.56,91.06,46.62,8.44,26.12,32.2,19.12,23.44,81.85,9.25,33.5,42.75,23.75,11.0,6.69,4.56,18.0,-6.25
"Apr 17, 2021",SAS,PHX,A,W,112.47,42.18,90.65,46.4,8.41,26.24,31.99,19.71,24.12,81.91,9.24,34.35,43.59,23.94,11.06,6.53,4.53,18.29,-5.0
"Apr 16, 2021",SAS,POR,H,L,112.39,42.33,90.56,46.63,8.61,26.39,32.51,19.11,23.44,81.53,9.0,34.72,43.72,23.89,11.17,6.72,4.78,18.22,-3.28
"Apr 14, 2021",SAS,TOR,A,L,112.05,42.47,90.79,46.67,8.53,26.21,32.4,18.58,22.74,81.97,9.26,34.74,44.0,24.21,11.32,6.74,5.0,18.0,-3.16
"Apr 12, 2021",SAS,ORL,A,W,112.05,42.25,90.7,46.47,8.95,26.85,32.96,18.6,22.95,81.4,9.4,34.45,43.85,24.3,11.4,6.7,5.1,18.05,-3.25
"Apr 11, 2021",SAS,DAL,A,W,112.43,42.52,90.81,46.72,9.0,26.76,33.3,18.38,22.71,81.22,9.52,34.48,44.0,24.57,11.29,6.67,5.1,18.43,-2.0
"Apr 09, 2021",SAS,DEN,A,L,112.73,42.64,90.45,47.06,8.95,26.5,33.51,18.5,22.91,81.07,9.55,34.32,43.86,24.36,11.45,6.82,5.18,18.5,-1.82
"Apr 07, 2021",SAS,DEN,A,L,113.0,42.65,90.57,47.02,8.96,26.52,33.5,18.74,23.13,81.27,9.61,34.0,43.61,24.74,11.35,6.96,5.04,18.61,-1.83
"Apr 05, 2021",SAS,CLE,H,L,112.29,42.46,90.58,46.8,8.83,26.42,33.15,18.54,23.04,80.66,9.67,33.88,43.54,24.67,11.5,7.12,5.0,18.62,-2.17
"Apr 03, 2021",SAS,IND,H,L,111.84,42.16,90.28,46.62,8.68,26.4,32.59,18.84,23.4,80.69,9.6,33.72,43.32,24.56,11.44,7.0,4.92,18.76,-3.04
"Apr 01, 2021",SAS,ATL,H,L,112.65,42.38,90.62,46.69,8.73,26.5,32.67,19.15,23.73,80.83,9.92,33.5,43.42,24.46,11.69,6.96,4.96,18.85,-3.15
