DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021",WAS,CLE,H,W,115.0,44.0,91.0,48.4,10.0,31.0,32.3,17.0,21.0,81.0,10.0,43.0,53.0,22.0,14.0,4.0,3.0,20.0,5.0
"May 12, 2021",WAS,ATL,A,L,117.5,42.5,90.0,47.25,8.5,28.0,30.15,24.0,29.0,82.4,11.0,39.0,50.0,22.5,12.5,6.5,4.5,19.5,10.0
"May 10, 2021",WAS,ATL,A,L,117.0,43.33,93.67,46.37,9.0,28.33,31.6,21.33,25.67,83.0,10.33,37.0,47.33,24.67,10.67,7.67,3.33,19.67,5.33
"May 08, 2021",WAS,IND,A,W,118.75,45.25,95.25,47.52,10.0,27.75,36.2,18.25,22.0,82.7,9.75,36.25,46.0,25.5,10.25,7.75,4.5,20.0,3.75
"May 06, 2021",WAS,TOR,A,W,121.6,46.0,98.2,46.92,9.8,28.6,34.58,19.8,23.6,83.5,10.8,38.0,48.8,25.6,11.8,7.6,5.4,20.8,3.2
"May 05, 2021",WAS,MIL,A,L,123.17,45.17,97.5,46.37,10.33,28.83,36.03,22.5,26.83,83.53,10.83,37.67,48.5,26.17,12.33,7.0,5.5,21.0,3.0
"May 03, 2021",WAS,IND,H,W,124.71,45.43,97.29,46.74,10.0,27.86,36.09,23.86,29.14,82.23,10.86,36.86,47.71,26.29,11.57,6.86,5.57,21.29,2.43
"May 01, 2021",WAS,DAL,A,L,128.38,47.62,98.0,48.55,9.88,27.12,36.69,23.25,28.5,81.85,10.62,36.62,47.25,29.25,12.25,7.25,5.75,21.0,3.75
"Apr 30, 2021",WAS,CLE,A,W,127.89,47.56,97.22,48.89,9.44,26.22,36.12,23.33,28.78,81.36,11.0,36.11,47.11,28.11,12.11,7.0,5.44,21.22,3.22
"Apr 28, 2021",WAS,LAL,H,W,127.3,47.4,96.7,49.0,9.3,25.4,36.95,23.2,28.5,81.68,11.0,36.0,47.0,28.4,12.3,7.7,5.2,21.0,5.8
"Apr 26, 2021",WAS,SAS,H,L,126.27,47.36,96.09,49.29,9.0,24.73,36.62,22.55,27.82,81.18,10.91,36.36,47.27,28.0,12.45,7.55,5.09,20.91,6.09
"Apr 25, 2021",WAS,CLE,H,W,127.67,48.25,97.17,49.62,8.75,24.33,36.07,22.42,27.58,81.42,11.5,36.0,47.5,27.83,12.08,7.25,5.33,21.08,5.33
"Apr 23, 2021",WAS,OKC,A,W,127.0,47.85,96.54,49.52,9.0,24.85,36.27,22.31,27.46,81.37,11.38,35.23,46.62,27.62,11.92,7.54,5.38,21.08,5.62
"Apr 21, 2021",WAS,GSW,H,W,127.14,47.86,96.29,49.66,9.64,25.36,37.7,21.79,26.64,82.26,11.43,35.43,46.86,27.43,12.5,7.5,5.5,21.21,6.64
"Apr 19, 2021",WAS,OKC,H,W,126.53,47.2,95.93,49.14,9.67,25.53,37.57,22.47,27.4,82.39,11.67,36.13,47.8,27.13,13.2,7.8,5.6,20.87,6.47
"Apr 17, 2021",WAS,DET,H,W,126.06,47.12,95.62,49.23,9.69,25.88,37.24,22.12,27.5,80.9,11.44,36.0,47.44,27.38,13.12,7.81,5.38,20.75,6.81
"Apr 16, 2021",WAS,NOP,H,W,125.76,47.29,95.53,49.46,9.65,25.29,38.36,21.53,27.0,79.86,11.35,36.12,47.47,27.24,13.18,8.0,5.41,20.94,7.65
"Apr 14, 2021",WAS,SAC,A,W,125.28,47.17,95.56,49.32,9.33,25.39,37.05,21.61,27.28,79.42,10.89,36.5,47.39,27.06,13.17,7.83,5.5,21.11,7.33
"Apr 12, 2021",WAS,UTA,A,W,125.16,47.16,95.26,49.47,9.21,25.32,36.64,21.63,27.26,79.53,11.05,36.79,47.84,26.84,13.84,8.05,5.37,20.95,7.58
"Apr 10, 2021",WAS,PHX,A,L,125.15,47.15,95.0,49.61,9.2,25.0,37.17,21.65,27.3,79.48,10.9,36.75,47.65,26.95,13.55,8.0,5.3,21.25,7.4
"Apr 09, 2021",WAS,GSW,A,W,124.24,46.76,94.48,49.45,9.19,25.0,37.12,21.52,27.33,78.93,10.71,37.0,47.71,26.95,13.67,7.71,5.1,20.81,5.71
"Apr 07, 2021",WAS,ORL,A,W,123.59,46.59,94.23,49.4,9.0,24.73,36.63,21.41,27.18,78.94,10.73,36.95,47.68,27.09,13.86,7.64,4.91,20.59,5.59
"Apr 05, 2021",WAS,TOR,A,L,123.91,46.7,93.83,49.76,9.43,25.22,37.33,21.09,26.7,79.31,10.48,36.74,47.22,27.43,13.83,7.61,4.83,20.48,6.0
"Apr 03, 2021",WAS,DAL,H,L,122.96,46.29,93.83,49.33,9.54,25.62,37.2,20.83,26.33,79.48,10.67,36.83,47.5,27.17,14.0,7.58,4.83,20.38,5.67
"Apr 01, 2021",WAS,DET,A,L,121.52,45.84,93.52,48.98,9.36,25.6,36.52,20.48,25.88,79.5,10.6,36.76,47.36,26.56,14.0,7.44,4.76,20.4,4.56
"Mar 30, 2021",WAS,CHA,H,L,120.35,45.62,93.19,48.91,9.19,25.35,36.12,19.92,25.62,77.66,10.35,36.73,47.08,26.5,14.04,7.38,4.81,20.42,3.27
"Mar 29, 2021",WAS,IND,H,W,119.74,45.44,93.44,48.61,9.22,25.78,35.79,19.63,25.22,77.74,10.52,36.7,47.22,26.33,14.0,7.3,4.67,20.37,2.78
"Mar 27, 2021",WAS,DET,H,W,120.18,45.79,93.64,48.86,9.25,25.54,36.39,19.36,24.96,77.35,10.57,36.93,47.5,26.46,14.18,7.21,4.79,20.5,2.96
