DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",DAL,POR,H,W,130.0,46.0,85.0,54.1,20.0,36.0,55.6,18.0,23.0,78.3,10.0,33.0,43.0,34.0,16.0,5.0,3.0,16.0,10.0
"Apr 06, 2022",DAL,DET,A,W,129.0,44.0,82.0,53.65,20.0,40.5,50.0,21.0,27.0,77.85,9.5,37.5,47.0,29.5,15.5,7.0,4.0,17.5,30.0
"Apr 03, 2022",DAL,MIL,A,W,129.67,44.33,81.33,54.53,18.33,38.0,48.5,22.67,29.33,77.4,9.0,36.0,45.0,29.0,13.67,7.33,3.0,19.67,26.0
"Apr 01, 2022",DAL,WAS,A,L,126.75,43.0,80.0,53.73,17.75,38.0,46.9,23.0,28.75,80.28,7.25,36.0,43.25,28.75,13.75,7.25,3.0,19.75,21.0
"Mar 30, 2022",DAL,CLE,A,W,122.0,41.2,79.6,51.7,16.4,38.0,43.3,23.2,28.2,82.68,6.8,35.0,41.8,25.8,13.6,6.4,3.0,19.0,10.4
"Mar 29, 2022",DAL,LAL,H,W,121.67,42.0,81.0,51.8,16.33,38.67,42.43,21.33,26.0,82.23,7.17,34.0,41.17,26.17,13.33,6.33,3.5,18.67,10.0
"Mar 27, 2022",DAL,UTA,H,W,122.57,42.43,81.86,51.79,16.86,39.71,42.59,20.86,25.57,81.67,7.71,34.14,41.86,26.29,12.57,6.14,3.14,18.0,11.14
"Mar 25, 2022",DAL,MIN,A,L,121.5,42.12,81.25,51.8,16.88,39.0,43.51,20.38,25.38,80.31,8.0,34.25,42.25,25.62,12.25,5.75,3.0,17.38,11.5
"Mar 23, 2022",DAL,HOU,H,W,118.56,41.33,82.22,50.37,16.11,39.44,41.27,19.78,24.67,80.16,8.22,34.33,42.56,25.11,12.11,5.56,3.22,17.56,7.89
"Mar 21, 2022",DAL,MIN,H,W,117.7,41.4,82.6,50.21,15.3,38.8,39.56,19.6,24.4,80.32,8.2,34.3,42.5,25.0,12.2,5.9,3.0,18.2,9.0
"Mar 19, 2022",DAL,CHA,A,L,117.0,41.27,82.64,50.03,15.18,39.45,38.73,19.27,24.09,79.95,8.09,34.82,42.91,25.18,12.18,5.82,3.0,18.45,8.36
"Mar 18, 2022",DAL,PHI,A,L,116.25,41.08,83.17,49.51,15.08,39.33,38.57,19.0,23.75,79.95,8.42,34.58,43.0,24.58,12.42,5.67,3.08,19.08,5.92
"Mar 16, 2022",DAL,BKN,A,W,115.08,40.77,82.92,49.26,14.85,38.77,38.48,18.69,23.54,79.29,8.62,34.15,42.77,24.31,12.38,5.54,3.08,18.92,4.69
"Mar 13, 2022",DAL,BOS,A,W,114.93,40.79,82.93,49.27,14.64,38.43,38.26,18.71,23.21,80.77,8.64,33.71,42.36,24.07,12.29,5.5,3.0,18.79,4.5
"Mar 11, 2022",DAL,HOU,A,W,113.6,40.27,82.33,48.96,14.67,38.33,38.41,18.4,22.93,80.3,8.33,34.0,42.33,23.8,12.67,5.6,3.13,18.6,4.4
"Mar 09, 2022",DAL,NYK,H,L,113.56,40.25,82.69,48.74,14.44,38.19,37.92,18.62,23.25,80.19,8.56,34.06,42.62,23.56,12.75,5.62,3.44,18.75,4.94
"Mar 07, 2022",DAL,UTA,H,W,111.41,39.47,82.88,47.72,13.94,38.53,36.49,18.53,23.35,79.48,8.76,33.53,42.29,22.82,12.47,5.47,3.47,19.06,2.88
"Mar 05, 2022",DAL,SAC,H,W,111.39,39.44,83.17,47.53,14.11,38.94,36.52,18.39,23.17,79.51,8.78,33.56,42.33,22.61,12.28,5.67,3.56,19.17,3.17
"Mar 03, 2022",DAL,GSW,H,W,111.53,39.47,83.21,47.54,14.11,38.79,36.64,18.47,23.37,79.22,8.84,33.32,42.16,22.58,12.16,5.74,3.47,19.32,3.05
"Mar 01, 2022",DAL,LAL,A,W,112.05,39.75,83.3,47.8,14.25,38.7,37.11,18.3,23.2,79.01,8.8,32.85,41.65,22.9,12.05,5.8,3.35,19.15,3.35
"Feb 27, 2022",DAL,GSW,A,W,111.9,39.81,83.24,47.91,14.05,38.52,36.7,18.24,23.38,78.25,8.86,32.95,41.81,22.95,12.14,5.9,3.52,19.14,3.43
"Feb 25, 2022",DAL,UTA,A,L,111.68,39.77,83.0,48.0,14.0,38.32,36.77,18.14,23.23,78.33,8.73,33.23,41.95,22.64,12.41,5.86,3.68,19.09,3.55
"Feb 17, 2022",DAL,NOP,A,W,111.57,39.87,83.22,47.99,14.13,38.35,37.07,17.7,22.57,79.27,8.7,32.74,41.43,22.61,12.39,6.0,3.65,19.17,3.17
"Feb 15, 2022",DAL,MIA,A,W,112.12,40.04,83.17,48.23,14.33,38.42,37.5,17.71,22.67,78.97,8.62,32.67,41.29,22.42,12.25,5.96,3.67,19.29,3.33
