DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2022",DEN,MEM,H,W,141.0,49.0,100.0,49.0,15.0,47.0,31.9,28.0,36.0,77.8,11.0,34.0,45.0,33.0,14.0,10.0,7.0,34.0,-5.0
"Apr 05, 2022",DEN,SAS,H,L,131.5,46.5,90.0,52.0,13.5,38.5,35.95,25.0,30.5,82.9,9.5,34.5,44.0,30.0,16.5,8.5,4.5,28.0,4.0
"Apr 03, 2022",DEN,LAL,A,W,120.0,44.67,92.67,48.6,11.33,36.67,31.03,19.33,24.33,77.5,9.67,36.67,46.33,27.33,14.67,7.0,3.67,25.0,-3.67
"Apr 01, 2022",DEN,MIN,H,L,122.25,45.25,90.0,50.78,11.5,35.25,32.95,20.25,25.5,77.95,8.75,35.5,44.25,28.75,14.0,7.75,4.0,23.25,0.0
"Mar 30, 2022",DEN,IND,A,W,123.8,45.4,89.2,51.32,11.6,35.2,33.22,21.4,26.2,80.3,9.0,35.2,44.2,30.2,14.8,7.6,3.6,23.2,-1.2
"Mar 28, 2022",DEN,CHA,A,W,124.0,46.17,87.67,53.18,11.67,34.0,34.83,20.0,24.17,82.4,8.83,35.17,44.0,30.67,15.67,7.33,3.67,22.67,0.17
"Mar 26, 2022",DEN,OKC,H,W,122.43,45.29,87.43,52.23,11.71,33.86,35.06,20.14,24.71,81.34,10.0,35.0,45.0,30.43,15.71,7.29,3.57,21.86,0.71
"Mar 24, 2022",DEN,PHX,H,L,121.25,44.75,87.12,51.73,11.25,33.5,33.9,20.5,24.62,83.15,10.0,35.25,45.25,30.75,15.62,7.75,3.75,21.5,1.38
"Mar 22, 2022",DEN,LAC,H,W,122.22,45.11,86.44,52.57,11.67,33.33,35.34,20.33,24.89,81.73,10.0,34.33,44.33,30.33,15.78,7.44,3.56,21.56,0.11
"Mar 20, 2022",DEN,BOS,H,L,122.7,45.1,86.1,52.73,12.1,33.2,36.81,20.4,24.7,82.69,9.6,34.3,43.9,30.4,15.3,7.1,3.7,21.3,1.3
"Mar 18, 2022",DEN,CLE,A,L,121.0,44.18,86.18,51.59,12.27,33.73,36.73,20.36,24.73,82.45,9.91,33.73,43.64,29.64,14.91,6.82,3.64,20.73,-0.64
"Mar 16, 2022",DEN,WAS,A,W,120.58,44.33,86.67,51.46,12.08,33.67,36.19,19.83,24.17,82.06,10.17,34.08,44.25,30.08,15.25,6.75,3.58,21.0,-0.83
"Mar 14, 2022",DEN,PHI,A,W,121.08,44.46,86.92,51.43,12.31,33.92,36.52,19.85,23.92,83.07,10.0,34.0,44.0,30.08,14.85,6.77,3.54,21.31,0.62
"Mar 12, 2022",DEN,TOR,H,L,120.57,44.43,86.57,51.59,12.36,33.86,36.73,19.36,23.64,81.78,9.71,34.14,43.86,30.0,14.79,6.86,3.5,21.5,0.86
