DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",OKC,LAL,A,L,88.0,37.0,98.0,37.8,9.0,34.0,26.5,5.0,9.0,55.6,12.0,28.0,40.0,17.0,10.0,6.0,2.0,16.0,-50.0
"Apr 06, 2022",OKC,UTA,A,L,94.5,38.5,93.0,41.65,7.5,31.5,23.6,10.0,14.0,67.25,10.5,31.5,42.0,19.0,12.0,5.5,2.5,21.0,-34.5
"Apr 05, 2022",OKC,POR,H,W,96.67,38.0,92.0,41.47,10.33,33.33,30.13,10.33,15.0,66.4,10.67,28.0,38.67,21.67,11.33,6.67,2.0,21.33,-35.0
"Apr 03, 2022",OKC,PHX,H,W,97.0,38.25,89.25,43.12,10.0,32.25,30.35,10.5,16.75,62.3,11.25,29.5,40.75,20.0,12.75,8.0,4.5,18.5,-25.25
"Apr 01, 2022",OKC,DET,H,L,101.0,39.2,88.8,44.38,11.4,34.0,32.58,11.2,17.0,65.4,11.4,32.0,43.4,22.6,13.8,7.8,4.4,18.4,-16.0
"Mar 30, 2022",OKC,ATL,H,L,101.0,38.67,88.0,44.13,11.33,34.0,32.55,12.33,19.0,64.85,11.5,33.67,45.17,22.83,14.33,6.67,5.0,17.83,-14.83
"Mar 28, 2022",OKC,POR,A,W,103.43,39.0,87.86,44.56,12.14,35.0,33.83,13.29,20.14,65.64,11.29,33.43,44.71,24.0,14.86,6.43,4.57,17.71,-15.29
"Mar 26, 2022",OKC,DEN,A,L,107.25,40.12,88.12,45.65,13.12,36.25,35.15,13.88,20.75,66.44,11.25,34.0,45.25,25.0,15.62,6.5,4.38,17.38,-13.0
"Mar 23, 2022",OKC,ORL,H,W,107.22,40.0,87.67,45.73,13.22,36.22,35.57,14.0,20.22,69.48,10.56,33.67,44.22,25.44,15.78,6.67,4.44,17.56,-12.22
"Mar 21, 2022",OKC,BOS,H,L,108.3,39.8,86.8,45.97,13.6,36.7,36.16,15.1,21.2,70.86,10.0,34.2,44.2,25.0,15.4,6.6,4.6,17.4,-9.4
"Mar 20, 2022",OKC,ORL,A,L,109.64,40.55,87.36,46.48,13.91,36.73,37.05,14.64,20.55,70.91,10.0,34.0,44.0,24.82,15.0,6.45,4.55,18.18,-9.36
"Mar 18, 2022",OKC,MIA,A,L,107.58,39.67,87.75,45.33,13.83,37.67,36.22,14.42,20.33,70.56,10.33,33.92,44.25,24.33,15.08,7.0,4.75,18.67,-9.0
"Mar 16, 2022",OKC,SAS,A,L,107.62,39.69,87.46,45.5,13.54,37.38,35.69,14.69,20.54,71.15,10.38,34.08,44.46,23.92,14.85,6.77,4.77,18.0,-9.23
"Mar 14, 2022",OKC,CHA,H,L,108.5,39.93,87.07,45.99,13.5,37.21,35.79,15.14,21.14,71.24,10.36,34.29,44.64,23.93,15.14,7.07,4.5,18.0,-8.71
"Mar 13, 2022",OKC,MEM,H,L,109.0,40.07,87.27,46.04,13.67,37.67,35.83,15.2,21.0,72.11,10.53,34.4,44.93,24.4,15.33,6.87,4.4,18.07,-9.33
"Mar 09, 2022",OKC,MIN,A,L,109.56,40.12,87.88,45.81,13.62,37.88,35.58,15.69,21.44,72.73,10.75,34.12,44.88,24.44,15.06,6.88,4.62,18.25,-9.19
"Mar 08, 2022",OKC,MIL,H,L,109.12,39.88,87.82,45.55,13.65,38.18,35.4,15.71,21.59,72.38,10.65,34.06,44.71,24.53,15.12,6.94,4.35,18.24,-10.41
"Mar 06, 2022",OKC,UTA,H,L,109.44,40.0,87.61,45.79,13.78,38.22,35.71,15.67,21.56,72.32,10.39,33.83,44.22,24.61,15.17,6.89,4.39,18.33,-11.33
"Mar 04, 2022",OKC,MIN,H,L,109.11,39.95,87.84,45.62,13.47,38.32,34.88,15.74,21.42,73.23,10.42,33.95,44.37,24.37,14.79,7.11,4.63,18.37,-11.42
"Mar 02, 2022",OKC,DEN,A,W,108.7,39.8,87.75,45.48,13.25,38.15,34.43,15.85,21.4,73.85,10.3,33.8,44.1,24.1,15.2,7.35,4.6,18.25,-12.7
"Feb 28, 2022",OKC,SAC,H,L,109.19,40.0,87.71,45.73,13.38,37.71,35.41,15.81,21.38,73.73,10.24,34.14,44.38,24.1,15.19,7.52,4.67,18.1,-11.52
