DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",DET,IND,A,W,81.0,31.0,85.0,36.5,9.0,33.0,27.3,10.0,13.0,76.9,15.0,44.0,59.0,20.0,25.0,1.0,3.0,16.0,-22.0
"Apr 05, 2023",DET,BKN,H,L,101.5,37.5,87.5,42.7,11.0,32.0,34.6,15.5,19.5,78.85,12.5,38.0,50.5,22.0,19.0,6.5,4.5,20.0,-7.5
"Apr 04, 2023",DET,MIA,H,L,103.67,38.67,86.33,44.73,11.67,30.67,38.53,14.67,17.67,83.53,11.33,33.67,45.0,23.67,17.33,6.0,4.0,19.33,-10.0
"Apr 02, 2023",DET,ORL,A,L,104.0,38.0,83.0,45.88,11.5,30.0,38.72,16.5,20.0,83.03,10.0,32.5,42.5,23.0,16.5,5.75,3.5,20.0,-10.75
"Mar 31, 2023",DET,HOU,A,L,103.6,36.8,82.0,44.9,11.0,30.6,36.44,19.0,23.2,82.54,9.8,31.8,41.6,22.8,16.4,5.4,3.0,21.8,-13.8
"Mar 29, 2023",DET,OKC,A,L,105.5,37.83,83.17,45.47,11.0,31.33,35.6,18.83,23.83,79.9,10.33,31.0,41.33,23.0,15.67,5.67,3.67,22.83,-12.5
"Mar 27, 2023",DET,MIL,H,L,105.57,38.14,82.71,46.11,11.71,31.57,37.44,17.57,22.43,78.69,10.29,31.14,41.43,23.57,16.0,5.0,3.57,22.71,-10.86
"Mar 24, 2023",DET,TOR,A,L,107.0,38.5,83.88,45.93,11.12,30.62,36.41,18.88,24.12,78.58,10.75,31.38,42.12,23.38,15.25,5.0,3.12,22.38,-10.62
"Mar 21, 2023",DET,ATL,A,L,105.89,38.0,82.67,46.0,10.56,30.0,35.03,19.33,24.78,78.37,10.44,31.33,41.78,23.33,16.0,5.33,3.22,21.89,-11.78
"Mar 19, 2023",DET,MIA,H,L,106.0,37.9,83.5,45.47,10.8,31.0,34.78,19.4,24.7,78.86,10.3,30.8,41.1,23.0,15.4,5.6,3.1,22.3,-12.8
"Mar 16, 2023",DET,DEN,H,L,105.45,37.91,83.36,45.55,10.73,31.09,34.46,18.91,24.0,79.18,10.18,30.73,40.91,23.27,15.18,5.45,3.0,22.09,-12.73
"Mar 14, 2023",DET,WAS,A,L,105.0,38.0,83.5,45.58,10.83,30.75,35.29,18.17,23.5,77.22,10.42,30.17,40.58,23.33,15.33,5.67,3.0,21.92,-13.25
"Mar 13, 2023",DET,IND,H,W,104.38,38.0,84.69,45.02,10.77,31.0,34.84,17.62,22.62,78.33,11.08,29.77,40.85,22.92,15.0,5.85,3.0,21.69,-13.77
"Mar 11, 2023",DET,IND,H,L,105.29,38.71,85.79,45.24,11.0,31.36,35.13,16.86,21.71,77.74,11.64,30.0,41.64,23.29,15.0,6.14,3.14,21.64,-11.36
"Mar 09, 2023",DET,CHA,H,L,105.93,39.0,86.33,45.27,11.0,31.53,34.95,16.93,22.07,77.0,11.67,30.0,41.67,23.4,14.8,6.2,3.4,21.8,-11.0
"Mar 07, 2023",DET,WAS,H,L,105.75,39.06,86.5,45.24,10.75,30.88,34.84,16.88,21.94,77.19,12.0,30.06,42.06,23.19,15.06,6.12,3.44,21.81,-10.94
"Mar 06, 2023",DET,POR,H,L,106.41,39.29,86.35,45.59,10.88,30.82,35.34,16.94,21.94,77.46,11.88,29.47,41.35,23.53,14.88,6.12,3.41,21.47,-10.41
