DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",MIL,MEM,H,L,105.0,38.0,82.0,46.3,12.0,34.0,35.3,17.0,21.0,81.0,7.0,31.0,38.0,28.0,14.0,5.0,2.0,13.0,-16.0
"Apr 05, 2023",MIL,CHI,H,W,109.5,40.0,87.0,46.0,16.5,41.5,39.1,13.0,16.0,81.4,9.0,29.0,38.0,29.0,16.5,5.0,2.5,14.0,-19.5
"Apr 04, 2023",MIL,WAS,A,W,108.0,39.67,88.67,44.8,17.0,43.0,39.1,11.67,14.33,81.53,10.33,32.67,43.0,28.0,15.33,5.67,2.67,13.67,-8.67
"Apr 02, 2023",MIL,PHI,H,W,116.0,42.25,89.5,47.17,18.5,42.75,43.02,13.0,18.0,75.8,10.75,35.5,46.25,29.25,16.0,5.75,3.75,15.0,-3.5
"Mar 30, 2023",MIL,BOS,H,L,116.2,43.0,87.6,49.24,16.8,39.8,41.56,13.4,18.6,74.92,10.0,35.4,45.4,29.0,15.2,6.2,4.0,15.4,-0.2
"Mar 29, 2023",MIL,IND,A,W,113.33,42.17,89.83,47.3,16.33,40.33,40.07,12.67,17.67,73.97,10.83,34.5,45.33,27.83,14.83,5.83,3.5,15.5,-7.0
"Mar 27, 2023",MIL,DET,A,W,118.43,44.43,90.29,49.46,15.43,38.14,40.06,14.14,19.43,74.36,11.29,35.0,46.29,27.86,15.43,5.71,3.71,15.86,-4.14
"Mar 25, 2023",MIL,DEN,A,L,119.38,44.5,90.88,49.2,15.25,39.0,38.94,15.12,20.25,75.64,11.75,35.0,46.75,27.88,14.62,5.62,3.75,16.75,-2.5
"Mar 24, 2023",MIL,UTA,A,W,117.89,43.89,90.56,48.66,14.56,38.67,37.39,15.56,20.33,77.29,10.89,35.11,46.0,27.67,14.11,5.78,3.56,17.0,-4.78
"Mar 22, 2023",MIL,SAS,H,W,120.5,45.0,91.4,49.35,15.3,39.8,38.05,15.2,19.9,77.06,10.7,35.7,46.4,29.1,14.0,5.8,4.3,17.3,-1.5
"Mar 19, 2023",MIL,TOR,H,W,121.36,45.55,92.0,49.59,15.27,40.09,37.76,15.0,20.27,74.98,10.64,36.45,47.09,28.64,14.09,6.18,4.27,17.0,1.91
"Mar 16, 2023",MIL,IND,H,L,121.08,45.33,91.17,49.82,15.33,40.5,37.58,15.08,20.33,75.08,10.33,36.58,46.92,29.17,13.92,5.92,4.58,16.67,2.33
"Mar 14, 2023",MIL,PHX,A,W,121.23,45.46,91.0,50.05,15.0,39.85,37.34,15.31,20.77,74.63,10.23,36.46,46.69,28.92,13.77,5.85,4.54,16.62,0.92
"Mar 13, 2023",MIL,SAC,A,W,120.86,45.07,90.57,49.84,14.79,39.79,36.87,15.93,21.93,73.94,10.43,36.21,46.64,28.57,13.71,6.0,4.64,16.5,1.71
"Mar 11, 2023",MIL,GSW,A,L,121.67,45.4,90.27,50.39,14.8,39.33,37.45,16.07,21.93,74.46,10.07,36.33,46.4,28.6,13.67,5.73,4.6,16.6,2.2
"Mar 09, 2023",MIL,BKN,H,W,121.31,45.25,90.88,49.93,15.19,40.06,37.68,15.62,21.25,74.92,9.88,36.62,46.5,28.56,13.88,5.94,4.75,16.44,1.5
"Mar 07, 2023",MIL,ORL,A,W,121.12,45.18,91.65,49.48,15.41,40.65,37.7,15.35,20.82,75.14,10.47,36.88,47.35,28.82,14.0,6.06,5.18,16.29,1.71
"Mar 05, 2023",MIL,WAS,A,W,121.83,45.22,90.89,50.01,15.11,39.94,37.59,16.28,21.56,76.19,10.06,36.78,46.83,28.78,14.17,6.0,5.17,16.39,2.22
"Mar 04, 2023",MIL,PHI,H,L,121.58,44.89,90.47,49.85,15.47,40.42,37.97,16.32,21.58,76.25,9.89,36.84,46.74,28.84,14.05,5.95,5.21,16.32,2.42
"Mar 01, 2023",MIL,ORL,H,W,122.0,44.85,90.1,50.01,15.55,40.1,38.58,16.75,21.9,76.9,9.95,36.6,46.55,28.9,14.0,5.8,5.1,16.65,2.15
"Feb 28, 2023",MIL,BKN,A,W,122.81,45.05,90.29,50.11,16.05,40.86,38.95,16.67,21.76,77.0,9.86,36.67,46.52,28.9,13.71,5.71,4.9,16.95,3.1
"Feb 26, 2023",MIL,PHX,H,W,122.59,45.27,90.82,50.06,15.95,40.68,38.9,16.09,21.32,75.01,9.91,37.0,46.91,29.05,13.86,5.91,4.82,17.14,3.59
"Feb 24, 2023",MIL,MIA,H,W,121.78,44.96,90.65,49.78,15.83,40.87,38.46,16.04,21.3,74.85,9.96,36.87,46.83,28.43,13.78,5.83,4.91,17.26,3.57
"Feb 16, 2023",MIL,CHI,A,W,122.04,45.04,90.96,49.71,15.96,41.08,38.58,16.0,21.21,75.02,9.96,37.29,47.25,28.38,13.71,5.83,4.75,17.29,4.62
"Feb 14, 2023",MIL,BOS,H,W,121.64,44.84,90.84,49.54,16.04,41.32,38.57,15.92,21.08,75.13,9.92,37.52,47.44,28.2,13.52,5.76,4.84,17.24,4.92
"Feb 10, 2023",MIL,LAC,A,W,122.0,44.77,90.81,49.47,16.12,41.35,38.73,16.35,21.62,75.21,9.92,37.69,47.62,28.23,13.73,5.77,4.77,17.46,4.96
"Feb 09, 2023",MIL,LAL,A,W,121.89,44.78,90.78,49.49,16.15,41.26,38.91,16.19,21.41,75.2,9.89,37.78,47.67,28.22,13.63,5.85,4.74,17.3,5.26
"Feb 06, 2023",MIL,POR,A,W,121.64,44.79,91.07,49.35,16.0,41.46,38.44,16.07,21.29,75.09,10.11,37.68,47.79,28.07,13.54,5.82,4.82,17.39,5.39
"Feb 04, 2023",MIL,MIA,H,W,121.83,44.86,90.93,49.51,16.0,41.48,38.42,16.1,21.28,75.3,10.0,38.03,48.03,28.03,13.62,5.76,4.72,17.72,5.86
"Feb 02, 2023",MIL,LAC,H,W,121.87,44.9,90.83,49.6,15.93,41.43,38.31,16.13,21.5,74.81,10.0,38.13,48.13,27.87,13.57,5.77,4.7,17.6,5.93
"Jan 31, 2023",MIL,CHA,H,W,121.35,44.71,90.81,49.4,15.71,41.29,37.86,16.23,21.68,74.67,9.94,38.35,48.29,27.48,13.45,5.65,4.55,17.58,5.77
"Jan 29, 2023",MIL,NOP,H,W,121.44,44.66,91.25,49.14,15.69,41.38,37.74,16.44,21.84,75.0,10.12,38.72,48.84,27.19,13.41,5.69,4.66,17.69,5.88
