DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2023",MIN,SAS,A,W,113.0,39.0,82.0,47.6,13.0,36.0,36.1,22.0,31.0,71.0,8.0,34.0,42.0,25.0,17.0,7.0,8.0,22.0,5.0
"Apr 04, 2023",MIN,BKN,A,W,132.0,47.5,91.5,51.5,18.5,39.5,45.95,18.5,26.0,71.2,9.5,34.0,43.5,33.5,12.0,7.5,8.0,20.0,12.5
"Apr 02, 2023",MIN,POR,H,L,123.67,45.33,89.33,50.4,15.0,34.33,41.73,18.0,24.67,73.23,8.67,35.0,43.67,29.33,12.0,7.33,7.33,17.67,10.0
"Mar 31, 2023",MIN,LAL,H,L,119.0,43.5,86.75,49.82,14.0,32.25,41.88,18.0,24.25,74.5,8.25,36.25,44.5,29.25,13.5,6.25,6.75,17.5,7.0
"Mar 29, 2023",MIN,PHX,A,L,117.4,43.0,88.4,48.5,13.8,33.6,40.16,17.6,23.2,76.44,9.0,34.4,43.4,28.4,14.0,7.0,6.2,18.4,3.2
"Mar 27, 2023",MIN,SAC,A,W,114.5,42.5,88.67,47.82,13.5,33.83,39.18,16.0,21.33,74.82,10.17,35.0,45.17,27.67,15.17,6.5,5.83,19.33,1.5
"Mar 26, 2023",MIN,GSW,A,W,115.14,42.71,88.29,48.3,12.86,32.43,38.94,16.86,23.14,73.37,10.29,34.14,44.43,28.43,13.86,6.43,5.43,20.43,1.86
"Mar 22, 2023",MIN,ATL,H,W,113.12,41.62,87.25,47.57,13.38,33.38,39.39,16.5,23.38,71.2,10.12,34.88,45.0,28.0,14.25,6.88,5.0,20.38,2.0
"Mar 20, 2023",MIN,NYK,A,W,114.44,42.0,87.78,47.72,13.11,32.56,39.71,17.33,24.0,72.49,10.22,34.44,44.67,27.89,13.89,6.89,4.78,20.33,1.89
"Mar 18, 2023",MIN,TOR,A,L,117.0,42.9,87.3,49.09,13.2,31.7,41.57,18.0,24.8,72.74,9.9,33.7,43.6,28.5,14.0,7.1,4.7,20.7,2.3
"Mar 17, 2023",MIN,CHI,A,L,116.09,42.55,87.09,48.8,12.45,30.91,39.76,18.55,25.09,73.92,9.82,33.64,43.45,28.36,14.09,6.91,4.45,20.91,0.73
"Mar 15, 2023",MIN,BOS,H,L,117.33,42.83,88.17,48.57,12.92,31.83,40.02,18.75,25.58,73.4,10.17,33.83,44.0,28.75,14.25,6.83,4.75,21.17,0.0
"Mar 13, 2023",MIN,ATL,A,W,116.15,42.38,87.85,48.22,12.85,32.15,39.51,18.54,25.31,73.35,10.0,34.15,44.15,28.62,14.15,6.54,4.54,21.31,-0.15
"Mar 10, 2023",MIN,BKN,H,L,117.57,43.21,88.14,48.96,12.79,31.86,39.75,18.36,25.14,73.08,9.64,34.0,43.64,29.36,14.07,6.93,4.93,21.36,1.36
"Mar 07, 2023",MIN,PHI,H,L,117.93,43.53,88.8,48.97,12.53,31.73,39.1,18.33,25.4,72.35,9.8,34.07,43.87,29.33,14.07,7.13,5.0,21.33,1.2
"Mar 04, 2023",MIN,SAC,A,W,116.44,42.94,88.62,48.38,12.44,32.0,38.57,18.12,25.12,72.29,9.56,33.69,43.25,28.69,13.88,7.25,5.12,21.0,-0.31
"Mar 03, 2023",MIN,LAL,A,W,117.71,43.24,88.12,49.06,12.88,32.41,39.32,18.35,25.47,72.21,9.35,33.71,43.06,28.82,13.76,7.06,5.18,21.0,-0.06
"Feb 28, 2023",MIN,LAC,A,W,117.28,43.17,88.17,48.96,12.94,32.5,39.42,18.0,24.94,72.37,9.39,33.83,43.22,28.83,13.78,7.22,5.22,21.0,0.39
"Feb 26, 2023",MIN,GSW,A,L,116.79,43.16,88.26,48.89,12.74,32.16,39.17,17.74,24.79,71.67,9.42,33.95,43.37,28.47,14.05,7.58,5.37,20.95,0.74
"Feb 24, 2023",MIN,CHA,H,L,116.15,42.9,88.35,48.56,12.95,32.8,39.1,17.4,24.6,70.71,9.45,33.9,43.35,28.35,14.15,7.75,5.5,20.8,0.45
"Feb 16, 2023",MIN,WAS,H,L,116.0,43.05,88.57,48.6,12.86,32.81,38.82,17.05,24.19,70.31,9.33,34.1,43.43,28.19,14.24,7.67,5.76,20.76,0.05
"Feb 13, 2023",MIN,DAL,A,W,115.55,42.86,88.86,48.26,12.64,32.64,38.31,17.18,24.09,71.25,9.64,34.23,43.86,27.86,14.41,7.68,5.73,20.55,-0.32
"Feb 10, 2023",MIN,MEM,A,L,115.91,43.09,88.61,48.68,12.48,32.48,38.0,17.26,24.17,71.33,9.65,34.0,43.65,27.87,14.3,7.7,5.57,20.78,-0.17
"Feb 08, 2023",MIN,UTA,A,W,115.54,43.0,88.58,48.59,12.58,32.67,38.1,16.96,23.67,71.83,9.54,33.75,43.29,27.75,14.46,7.67,5.5,20.75,-1.04
"Feb 07, 2023",MIN,DEN,A,L,116.64,43.52,88.96,48.93,13.0,33.08,38.72,16.6,23.04,72.96,9.48,33.96,43.44,28.04,14.32,7.6,5.52,20.68,0.0
"Feb 05, 2023",MIN,DEN,H,W,116.46,43.38,88.81,48.86,12.88,33.15,38.33,16.81,23.15,73.4,9.42,33.73,43.15,27.88,14.42,7.54,5.58,20.5,-1.31
"Feb 03, 2023",MIN,ORL,H,L,116.89,43.56,88.74,49.1,12.78,32.93,38.28,17.0,23.41,73.4,9.26,33.56,42.81,28.07,14.3,7.52,5.48,20.59,-0.15
"Feb 01, 2023",MIN,GSW,H,W,117.0,43.43,88.68,48.99,12.89,33.32,38.21,17.25,23.57,73.84,9.36,33.39,42.75,27.82,14.5,7.5,5.54,20.82,-0.39
"Jan 30, 2023",MIN,SAC,H,L,117.07,43.52,89.28,48.79,12.93,33.9,37.86,17.1,23.59,73.16,9.38,33.72,43.1,27.76,14.38,7.41,5.59,20.9,-0.21
"Jan 28, 2023",MIN,SAC,H,W,116.87,43.5,89.37,48.72,12.9,34.07,37.62,16.97,23.63,72.46,9.33,33.97,43.3,27.7,14.5,7.4,5.5,20.73,-0.43
"Jan 27, 2023",MIN,MEM,H,W,116.87,43.45,89.06,48.85,13.03,34.16,37.89,16.94,23.55,72.58,9.32,34.0,43.32,27.61,14.68,7.32,5.39,20.9,-0.19
"Jan 25, 2023",MIN,NOP,A,W,116.69,43.47,88.97,48.92,13.03,34.19,37.87,16.72,23.28,72.39,9.31,34.06,43.38,27.72,14.84,7.47,5.41,20.84,0.16
"Jan 23, 2023",MIN,HOU,A,L,116.52,43.36,88.76,48.92,12.97,34.03,37.87,16.82,23.42,72.36,9.15,34.0,43.15,27.58,14.67,7.48,5.39,20.76,0.42
"Jan 21, 2023",MIN,HOU,H,W,116.44,43.29,88.82,48.8,13.06,34.26,37.87,16.79,23.38,72.37,9.24,33.85,43.09,27.32,14.79,7.5,5.44,20.79,0.26
"Jan 19, 2023",MIN,TOR,H,W,116.34,43.14,88.66,48.72,13.17,34.46,37.98,16.89,23.4,72.69,9.06,33.66,42.71,27.11,14.71,7.63,5.54,20.94,0.51
"Jan 18, 2023",MIN,DEN,A,L,116.67,43.19,88.67,48.77,13.28,34.61,38.1,17.0,23.39,73.2,9.03,33.53,42.56,27.22,14.72,7.75,5.53,20.92,0.56
"Jan 16, 2023",MIN,UTA,H,L,116.7,43.16,88.46,48.85,13.24,34.54,38.09,17.14,23.51,73.35,9.11,33.27,42.38,27.19,14.84,7.7,5.65,21.08,0.43
"Jan 14, 2023",MIN,CLE,H,W,116.92,43.24,88.79,48.77,13.37,34.71,38.24,17.08,23.37,73.61,9.29,33.05,42.34,27.21,14.61,7.74,5.66,21.05,0.39
"Jan 13, 2023",MIN,PHX,H,W,116.74,43.28,88.56,48.96,13.26,34.54,38.08,16.92,23.15,73.6,9.15,32.9,42.05,27.08,14.62,7.79,5.64,21.05,0.59
"Jan 11, 2023",MIN,DET,A,L,116.85,43.38,88.6,49.04,13.18,34.38,38.02,16.93,23.07,73.89,9.03,32.9,41.92,27.0,14.62,7.92,5.58,21.07,0.7
"Jan 08, 2023",MIN,HOU,A,W,116.88,43.37,88.59,49.04,13.24,34.34,38.28,16.9,23.02,73.94,9.12,32.66,41.78,26.88,14.73,7.9,5.49,21.1,0.27
