DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",ORL,BKN,A,L,110.0,38.0,90.0,42.2,17.0,47.0,36.2,17.0,24.0,70.8,13.0,30.0,43.0,29.0,14.0,13.0,1.0,17.0,-13.0
"Apr 06, 2023",ORL,CLE,H,L,97.0,34.5,88.5,38.9,12.0,42.5,27.3,16.0,20.5,79.5,14.0,36.0,50.0,23.0,17.5,9.5,3.5,18.0,-15.0
"Apr 04, 2023",ORL,CLE,H,L,96.0,34.0,86.67,39.2,12.33,41.33,29.3,15.67,20.0,79.3,12.33,34.0,46.33,22.33,19.0,9.0,5.0,15.67,-18.0
"Apr 02, 2023",ORL,DET,H,W,100.25,36.75,87.25,42.05,11.75,36.75,32.85,15.0,19.25,78.6,12.5,34.0,46.5,23.0,17.5,8.25,4.0,17.25,-14.5
"Mar 31, 2023",ORL,WAS,A,W,105.8,38.0,84.8,45.1,12.8,36.0,36.58,17.0,23.4,75.38,11.4,34.0,45.4,24.4,17.2,8.8,4.4,19.0,-6.4
"Mar 28, 2023",ORL,MEM,A,L,107.5,39.0,85.33,45.92,12.0,34.0,36.03,17.5,23.83,75.63,10.5,35.33,45.83,24.67,16.17,7.67,6.0,18.5,-4.17
"Mar 26, 2023",ORL,BKN,H,W,107.57,39.29,87.43,45.21,12.29,36.14,34.97,16.71,22.57,76.26,10.14,35.86,46.0,24.57,16.14,7.86,6.29,18.0,-4.29
"Mar 23, 2023",ORL,NYK,H,W,109.0,40.0,87.12,46.17,11.62,34.38,34.57,17.38,23.25,76.55,10.0,36.12,46.12,25.25,15.5,7.75,5.88,18.38,-2.12
"Mar 21, 2023",ORL,WAS,H,W,109.22,40.0,87.11,46.16,11.78,34.11,35.24,17.44,23.0,77.57,9.78,36.0,45.78,25.22,15.56,7.78,6.0,18.44,-1.33
"Mar 19, 2023",ORL,LAL,A,L,110.5,40.3,86.4,46.92,11.8,33.4,36.16,18.1,23.2,79.41,9.5,35.9,45.4,25.4,15.6,7.7,5.9,18.7,-0.2
"Mar 18, 2023",ORL,LAC,A,W,110.0,40.36,87.82,46.31,11.64,33.82,35.26,17.64,22.64,79.15,9.82,35.45,45.27,25.27,14.91,7.73,5.64,19.55,-0.73
"Mar 16, 2023",ORL,PHX,A,L,110.25,40.5,87.5,46.62,11.5,33.58,35.02,17.75,22.83,78.88,9.75,35.5,45.25,25.08,15.17,8.25,5.58,19.75,-0.25
"Mar 14, 2023",ORL,SAS,A,L,110.46,40.69,87.38,46.88,11.23,33.15,34.52,17.85,22.85,79.17,9.85,35.54,45.38,25.08,15.46,8.15,5.38,19.77,-0.46
"Mar 11, 2023",ORL,MIA,H,W,110.71,40.93,88.07,46.77,11.14,32.86,34.52,17.71,22.71,78.96,10.07,35.07,45.14,25.0,15.0,8.07,5.14,19.5,-1.71
"Mar 09, 2023",ORL,UTA,H,L,111.73,41.4,88.8,46.89,11.27,33.13,34.56,17.67,22.53,79.36,10.4,35.33,45.73,25.6,15.27,8.2,5.47,19.53,-0.8
"Mar 07, 2023",ORL,MIL,H,L,112.5,41.56,89.12,46.88,11.56,33.19,35.34,17.81,23.06,78.43,10.5,34.62,45.12,25.31,14.94,8.25,5.38,19.31,-1.19
"Mar 05, 2023",ORL,POR,H,L,113.12,42.06,89.76,47.06,11.41,33.0,35.03,17.59,22.82,78.15,10.47,34.24,44.71,25.24,14.82,8.18,5.06,19.47,-1.76
"Mar 03, 2023",ORL,CHA,A,W,113.44,42.06,89.44,47.23,11.39,32.89,35.06,17.94,23.28,78.11,10.22,34.11,44.33,25.44,14.61,8.33,4.89,19.78,-1.83
"Mar 01, 2023",ORL,MIL,A,L,113.63,42.26,89.26,47.56,11.32,32.53,35.24,17.79,23.05,78.15,10.37,33.84,44.21,25.21,14.89,8.37,4.84,20.0,-1.16
"Feb 27, 2023",ORL,NOP,A,W,113.8,42.3,89.5,47.46,11.2,32.55,34.84,18.0,23.35,78.04,10.45,34.05,44.5,25.05,14.8,8.1,4.85,19.9,-2.2
"Feb 25, 2023",ORL,IND,H,L,113.19,42.0,89.0,47.38,11.1,32.62,34.44,18.1,23.48,77.99,10.48,33.95,44.43,24.86,14.9,8.14,4.67,19.9,-1.71
"Feb 23, 2023",ORL,DET,H,W,112.95,41.68,89.05,46.99,10.86,32.45,33.82,18.73,24.14,78.27,10.68,34.23,44.91,24.45,14.86,7.95,4.82,19.86,-2.23
"Feb 14, 2023",ORL,TOR,A,L,112.74,41.57,89.3,46.73,10.91,32.39,34.03,18.7,24.09,78.27,10.74,34.22,44.96,24.57,14.83,7.91,4.87,19.83,-2.04
"Feb 13, 2023",ORL,CHI,A,W,112.75,41.62,89.08,46.92,11.0,32.33,34.36,18.5,23.83,78.25,10.67,33.62,44.29,24.62,15.0,7.83,4.75,19.71,-2.38
"Feb 11, 2023",ORL,MIA,H,L,112.24,41.48,88.76,46.92,10.88,32.12,34.17,18.4,23.64,78.49,10.52,33.68,44.2,24.6,15.12,7.84,4.8,19.68,-1.92
"Feb 09, 2023",ORL,DEN,H,W,111.88,41.31,88.69,46.75,10.88,32.0,34.31,18.38,23.62,78.48,10.58,33.62,44.19,24.5,15.23,8.0,4.81,19.85,-2.0
"Feb 07, 2023",ORL,NYK,H,L,112.0,41.52,89.0,46.81,10.81,31.81,34.27,18.15,23.44,77.91,10.74,33.56,44.3,24.48,15.04,8.15,4.85,19.7,-1.52
