DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",TOR,BOS,A,L,121.0,48.0,95.0,50.5,11.0,33.0,33.3,14.0,16.0,87.5,7.0,38.0,45.0,29.0,9.0,8.0,2.0,19.0,16.0
"Apr 05, 2023",TOR,BOS,A,L,111.5,44.0,94.0,46.75,10.0,32.0,31.15,13.5,16.5,82.0,9.5,30.5,40.0,25.0,8.5,10.0,2.0,18.0,-1.5
"Apr 04, 2023",TOR,CHA,A,W,105.33,41.67,92.67,44.87,8.67,32.33,26.83,13.33,16.67,80.17,10.67,32.67,43.33,23.33,9.67,10.0,3.67,18.33,-2.33
"Apr 02, 2023",TOR,CHA,A,W,109.0,41.75,91.5,45.58,10.25,32.5,31.5,15.25,19.5,78.88,10.5,32.25,42.75,24.25,9.0,10.75,4.5,18.25,3.25
"Mar 31, 2023",TOR,PHI,A,L,112.8,44.6,94.0,47.22,9.8,31.6,30.92,13.8,17.2,83.1,11.4,31.8,43.2,27.0,8.8,10.2,4.8,17.4,6.6
"Mar 28, 2023",TOR,MIA,H,W,112.33,44.17,92.33,47.68,9.5,30.67,30.9,14.5,18.17,82.3,11.83,29.83,41.67,26.83,9.5,9.5,4.5,17.67,4.33
"Mar 26, 2023",TOR,WAS,H,W,111.43,44.29,92.43,47.79,9.29,31.43,29.66,13.57,16.86,83.24,12.29,30.14,42.43,27.57,9.43,9.29,4.86,17.0,5.71
"Mar 24, 2023",TOR,DET,H,W,111.75,44.38,93.12,47.55,9.5,31.38,30.39,13.5,16.75,83.0,13.0,30.75,43.75,26.88,9.88,9.75,5.0,17.25,6.25
"Mar 22, 2023",TOR,IND,H,L,112.44,44.0,93.0,47.22,9.89,32.0,30.91,14.56,18.11,82.59,13.22,30.78,44.0,26.67,10.0,10.0,5.44,18.0,7.89
"Mar 19, 2023",TOR,MIL,A,L,112.6,43.5,92.6,46.88,9.6,32.2,29.88,16.0,20.2,81.77,13.2,30.4,43.6,26.1,10.0,10.1,5.6,18.4,6.7
"Mar 18, 2023",TOR,MIN,H,W,112.45,43.55,93.18,46.65,10.0,32.36,30.91,15.36,19.45,81.15,12.82,30.55,43.36,26.0,9.73,9.73,5.45,18.09,5.45
"Mar 16, 2023",TOR,OKC,H,W,113.25,43.92,92.92,47.21,9.92,31.92,31.11,15.5,19.58,81.14,12.5,31.0,43.5,25.75,10.17,9.83,5.25,18.67,6.25
"Mar 14, 2023",TOR,DEN,H,W,114.38,44.15,93.23,47.31,10.23,31.92,32.08,15.85,20.23,80.39,13.0,31.69,44.69,26.0,10.15,9.85,5.31,18.77,7.08
"Mar 10, 2023",TOR,LAL,A,L,115.14,44.5,93.21,47.69,10.36,31.79,32.65,15.79,20.0,80.95,13.07,31.57,44.64,25.93,10.21,9.86,5.07,18.71,7.64
"Mar 08, 2023",TOR,LAC,A,L,114.93,44.6,93.13,47.85,10.33,31.53,32.85,15.4,19.53,80.68,12.87,31.27,44.13,26.13,10.4,10.13,4.93,18.53,6.47
"Mar 06, 2023",TOR,DEN,A,L,114.0,44.12,93.31,47.26,10.5,31.56,33.34,15.25,19.19,81.44,13.0,30.94,43.94,25.81,10.5,10.25,4.75,18.81,5.56
"Mar 04, 2023",TOR,WAS,A,W,113.94,44.06,92.88,47.42,10.47,31.29,33.55,15.35,19.24,81.65,12.88,30.88,43.76,26.0,10.76,10.0,4.71,18.88,4.94
"Mar 02, 2023",TOR,WAS,A,L,114.06,44.22,92.72,47.69,10.56,31.22,33.91,15.06,18.94,81.08,12.72,30.5,43.22,26.22,10.94,10.22,4.67,19.0,5.06
"Feb 28, 2023",TOR,CHI,H,W,113.74,44.05,92.68,47.53,10.47,31.32,33.56,15.16,18.84,82.08,12.74,30.47,43.21,26.32,11.11,10.11,4.79,19.11,4.21
"Feb 26, 2023",TOR,CLE,A,L,113.25,43.75,92.75,47.17,10.7,31.85,33.67,15.05,18.85,81.4,13.05,30.35,43.4,26.3,11.15,10.15,4.85,19.0,4.3
"Feb 25, 2023",TOR,DET,A,W,112.29,43.38,92.76,46.77,10.62,31.52,33.78,14.9,18.67,81.33,13.05,30.33,43.38,25.95,11.29,9.86,4.81,18.86,2.9
