DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024",CHA,BOS,A,L,120.0,46.0,91.0,50.5,19.0,40.0,47.5,9.0,11.0,81.8,10.0,37.0,47.0,36.0,10.0,10.0,9.0,11.0,10.0
"Apr 10, 2024",CHA,ATL,A,W,109.0,39.0,83.5,46.3,17.0,37.5,45.2,14.0,16.5,84.1,7.0,33.0,40.0,28.0,15.0,6.5,8.0,13.0,-11.5
"Apr 09, 2024",CHA,DAL,H,L,111.0,39.33,82.0,47.73,16.0,37.0,43.1,16.33,18.33,87.9,6.33,31.33,37.67,27.0,14.67,8.0,6.0,14.67,-7.33
"Apr 07, 2024",CHA,OKC,H,L,109.25,39.25,83.75,46.75,14.5,35.75,40.15,16.25,19.0,84.97,6.75,31.25,38.0,26.25,14.0,8.0,5.25,15.0,-12.0
"Apr 05, 2024",CHA,ORL,H,W,111.0,40.4,83.6,48.24,15.0,36.6,40.62,15.2,18.0,83.7,6.8,30.8,37.6,26.8,14.8,8.8,6.0,14.8,-10.2
"Apr 03, 2024",CHA,POR,H,L,113.17,40.83,81.67,50.15,15.0,35.5,42.18,16.5,18.83,86.42,6.33,31.0,37.33,27.17,15.67,8.33,5.67,16.0,-7.0
"Apr 01, 2024",CHA,BOS,H,L,109.29,39.57,81.14,48.84,13.57,34.86,38.46,16.57,19.29,85.11,5.71,31.43,37.14,26.43,15.0,8.57,6.0,15.86,-6.43
"Mar 31, 2024",CHA,LAC,H,L,108.62,39.75,82.38,48.38,13.5,35.12,38.04,15.62,18.25,84.7,6.0,31.5,37.5,26.62,14.0,7.88,5.5,15.75,-7.38
"Mar 29, 2024",CHA,GSW,H,L,109.67,40.22,83.0,48.56,14.56,37.0,38.72,14.67,17.44,82.36,5.89,30.89,36.78,27.22,13.44,7.33,5.11,16.78,-7.89
"Mar 27, 2024",CHA,CLE,H,W,108.4,39.6,83.1,47.75,14.3,37.9,37.46,14.9,18.1,81.2,6.5,30.7,37.2,26.8,13.2,7.0,4.8,16.1,-8.9
"Mar 25, 2024",CHA,CLE,A,L,109.27,40.0,82.45,48.67,14.18,37.45,37.64,15.09,18.45,80.85,6.64,30.64,37.27,27.09,13.45,7.09,4.55,15.91,-7.45
"Mar 23, 2024",CHA,ATL,A,L,107.83,39.5,82.25,48.16,13.75,36.67,37.18,15.08,18.42,81.05,6.58,30.33,36.92,26.67,13.33,6.92,4.5,15.67,-8.75
"Mar 19, 2024",CHA,ORL,A,L,106.54,39.15,82.38,47.66,13.54,36.85,36.48,14.69,18.08,80.31,6.92,30.15,37.08,26.54,13.46,6.62,4.46,15.15,-11.23
"Mar 16, 2024",CHA,PHI,A,L,105.5,39.07,82.14,47.69,13.21,36.29,36.09,14.14,17.43,80.13,6.71,29.86,36.57,26.0,13.71,6.71,4.21,15.0,-11.86
"Mar 15, 2024",CHA,PHX,H,L,105.0,38.93,82.13,47.52,13.0,35.93,35.84,14.13,17.47,79.97,7.07,29.73,36.8,25.67,13.87,7.0,4.2,15.4,-11.8
"Mar 13, 2024",CHA,MEM,A,W,104.44,38.69,82.88,46.88,12.56,36.0,34.61,14.5,18.06,79.61,7.38,30.12,37.5,25.31,13.31,6.94,4.12,15.44,-11.75
"Mar 11, 2024",CHA,DET,A,L,104.76,39.0,82.82,47.28,12.59,36.0,34.7,14.18,17.76,78.99,7.29,30.06,37.35,25.35,13.71,7.24,4.29,15.18,-10.35
"Mar 09, 2024",CHA,BKN,H,W,104.33,38.72,83.11,46.79,12.61,36.22,34.58,14.28,18.06,78.47,7.39,30.11,37.5,25.44,13.67,7.22,4.17,15.22,-10.72
"Mar 08, 2024",CHA,WAS,A,L,104.63,39.0,83.0,47.19,12.53,35.89,34.69,14.11,17.89,78.2,7.47,30.42,37.89,25.47,13.84,7.32,4.11,15.37,-9.58
"Mar 05, 2024",CHA,ORL,H,L,104.4,39.05,83.85,46.83,12.35,36.2,34.03,13.95,17.75,77.95,7.75,30.65,38.4,25.1,13.5,7.25,4.15,15.55,-9.7
