DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024",POR,HOU,H,L,82.0,31.0,98.0,31.6,7.0,45.0,15.6,13.0,17.0,76.5,23.0,31.0,54.0,18.0,18.0,11.0,2.0,19.0,-39.0
"Apr 11, 2024",POR,GSW,H,L,94.5,34.0,96.5,35.25,9.5,40.0,24.95,17.0,23.0,74.45,19.5,31.5,51.0,19.0,12.5,7.5,3.5,16.5,-24.0
"Apr 09, 2024",POR,NOP,H,L,93.67,34.33,96.67,35.53,9.0,38.0,24.47,16.0,21.0,77.1,19.67,30.67,50.33,20.0,12.67,8.0,3.33,17.0,-18.67
"Apr 07, 2024",POR,BOS,A,L,95.25,35.75,93.75,38.42,10.0,38.0,26.9,13.75,17.75,79.7,18.0,31.5,49.5,22.0,15.0,6.75,3.25,17.5,-16.5
"Apr 05, 2024",POR,WAS,A,W,97.6,36.6,95.4,38.58,10.8,38.0,28.88,13.6,16.8,83.76,18.8,31.4,50.2,22.8,15.0,7.0,3.0,16.4,-16.6
"Apr 03, 2024",POR,CHA,A,W,99.33,37.33,95.17,39.42,10.5,36.5,29.23,14.17,18.0,81.6,18.33,32.67,51.0,23.83,14.67,7.0,3.33,17.5,-12.83
"Apr 01, 2024",POR,ORL,A,L,97.86,37.29,94.86,39.47,10.0,35.0,28.9,13.29,17.14,79.47,17.71,33.86,51.57,23.14,14.86,6.57,3.14,17.71,-10.57
"Mar 29, 2024",POR,MIA,A,L,98.5,37.62,94.25,40.09,10.12,34.5,29.73,13.12,16.88,79.54,16.88,33.75,50.62,23.75,14.38,6.88,3.12,18.12,-9.38
"Mar 27, 2024",POR,ATL,A,L,96.67,37.33,93.44,40.1,9.56,34.0,28.28,12.44,16.22,77.77,16.11,33.67,49.78,23.33,15.44,6.56,3.0,18.22,-15.0
"Mar 25, 2024",POR,HOU,A,L,97.6,37.9,92.6,41.15,10.0,33.7,29.97,11.8,15.6,75.99,15.1,33.0,48.1,24.5,15.8,6.7,2.9,18.2,-14.9
"Mar 23, 2024",POR,DEN,H,L,97.09,37.73,92.09,41.17,9.73,33.64,29.17,11.91,15.55,76.96,14.64,33.09,47.73,23.55,15.91,6.55,3.18,18.82,-15.18
"Mar 22, 2024",POR,LAC,H,L,98.25,38.17,92.17,41.59,9.75,33.17,29.72,12.17,15.67,77.9,14.58,32.92,47.5,23.83,15.92,6.67,3.58,19.25,-14.17
"Mar 20, 2024",POR,LAC,H,L,99.69,38.69,92.23,42.12,9.92,33.15,30.23,12.38,16.38,76.52,14.62,32.38,47.0,24.23,15.46,7.0,3.38,19.23,-13.69
"Mar 18, 2024",POR,CHI,A,L,99.93,38.71,91.43,42.54,10.29,33.21,31.22,12.21,16.29,75.82,14.14,32.21,46.36,24.0,15.57,6.93,3.43,19.0,-13.64
"Mar 16, 2024",POR,NOP,A,L,100.4,38.8,91.2,42.74,10.13,32.87,31.05,12.67,16.87,75.83,14.07,32.07,46.13,23.8,15.4,6.93,3.53,19.33,-12.93
"Mar 14, 2024",POR,NYK,H,L,100.81,39.0,90.75,43.19,10.25,32.88,31.38,12.56,16.56,76.83,13.81,31.69,45.5,23.75,15.69,6.69,3.75,19.06,-13.31
"Mar 13, 2024",POR,ATL,H,W,100.35,38.71,90.35,43.04,10.29,32.88,31.49,12.65,16.53,77.45,13.76,31.71,45.47,23.47,15.82,6.88,3.65,19.06,-13.24
"Mar 11, 2024",POR,BOS,H,L,100.67,38.67,89.89,43.22,10.28,32.72,31.59,13.06,16.94,77.78,13.67,32.0,45.67,23.5,15.94,6.89,3.72,19.17,-12.28
"Mar 09, 2024",POR,TOR,H,W,100.58,38.68,89.74,43.3,10.26,32.47,31.81,12.95,16.63,78.95,13.42,31.84,45.26,23.47,15.68,6.68,3.79,18.74,-12.79
"Mar 08, 2024",POR,HOU,H,L,101.95,39.2,90.4,43.51,10.55,32.85,32.22,13.0,16.55,79.67,13.65,31.95,45.6,23.85,15.65,6.85,3.75,18.7,-11.65
"Mar 06, 2024",POR,OKC,H,L,102.19,39.1,90.33,43.42,10.81,32.95,32.86,13.19,16.95,79.11,13.9,31.86,45.76,23.76,15.71,6.76,3.81,18.57,-11.86
"Mar 04, 2024",POR,MIN,A,L,103.0,39.18,89.91,43.75,10.95,33.0,33.24,13.68,17.41,79.55,13.59,31.55,45.14,23.91,15.77,6.91,3.73,19.0,-11.68
"Mar 02, 2024",POR,MEM,A,W,103.48,39.43,90.0,43.97,11.17,33.26,33.58,13.43,17.13,79.26,13.52,31.43,44.96,24.09,15.7,6.83,3.7,19.3,-11.39
"Mar 01, 2024",POR,MEM,A,W,103.62,39.42,90.08,43.91,11.17,33.33,33.49,13.62,17.42,79.08,13.5,31.67,45.17,24.04,16.0,6.88,3.75,19.54,-10.62
