DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"May 13, 2021",ATL,ORL,H,124.0,49.0,90.0,54.4,7.0,21.0,33.3,19.0,26.0,73.1,11.0,45.0,56.0,32.0,13.0,10.0,8.0,16.0,29.0,107.0,34.5,79.5,43.6,10.0,29.0,34.5,28.0,34.5,80.2,9.5,36.0,45.5,22.0,15.0,4.0,4.0,20.0,-18.0
"May 12, 2021",ATL,WAS,H,120.0,45.0,92.0,49.0,10.5,28.5,36.1,19.5,25.0,78.2,11.5,41.0,52.5,25.5,10.0,9.5,6.0,16.0,26.0,117.5,42.5,90.0,47.25,8.5,28.0,30.15,24.0,29.0,82.4,11.0,39.0,50.0,22.5,12.5,6.5,4.5,19.5,10.0
"May 10, 2021",ATL,WAS,H,120.0,44.67,90.0,49.73,10.33,30.0,34.17,20.33,26.0,78.33,10.0,42.0,52.0,24.33,11.33,7.67,5.67,17.67,18.67,117.0,43.33,93.67,46.37,9.0,28.33,31.6,21.33,25.67,83.0,10.33,37.0,47.33,24.67,10.67,7.67,3.33,19.67,5.33
"May 06, 2021",IND,ATL,H,119.83,45.83,94.83,48.4,12.83,35.0,35.92,15.33,19.0,80.6,9.17,35.0,44.17,31.5,12.0,8.17,6.17,20.67,2.17,121.25,45.0,91.5,49.27,10.25,30.0,33.95,21.0,26.0,80.88,10.75,42.0,52.75,24.0,11.5,6.75,5.75,17.5,14.25
"May 05, 2021",ATL,PHX,H,122.2,45.6,92.0,49.64,11.2,31.4,35.26,19.8,24.4,81.36,10.6,38.4,49.0,24.6,11.6,7.0,5.8,17.4,10.0,122.5,44.83,88.33,50.82,14.33,33.83,42.38,18.5,20.33,92.33,7.17,34.5,41.67,27.5,10.33,6.33,4.0,18.5,7.33
"May 03, 2021",ATL,POR,H,124.33,46.83,90.67,51.88,11.5,30.5,37.72,19.17,23.33,82.62,10.33,38.17,48.5,26.33,11.5,7.17,5.83,18.0,13.67,123.57,44.57,89.71,49.76,14.86,36.0,41.31,19.57,24.57,79.64,9.71,37.57,47.29,23.71,9.71,5.71,5.0,17.86,13.71
"May 01, 2021",ATL,CHI,H,124.14,46.43,89.71,51.96,12.71,32.0,39.3,18.57,22.57,82.71,9.57,39.0,48.57,27.14,11.43,7.0,5.43,18.0,13.0,109.12,41.38,90.62,45.96,14.88,37.0,40.27,11.5,15.38,74.51,11.5,36.5,48.0,26.25,12.88,7.0,4.75,18.12,4.88
"Apr 30, 2021",PHI,ATL,H,113.22,41.67,87.11,47.87,12.33,31.44,38.36,17.56,21.89,79.8,9.11,33.89,43.0,26.0,12.67,8.67,5.56,19.11,7.22,122.12,45.25,87.75,51.71,12.88,32.5,39.25,18.75,23.0,81.99,9.12,38.88,48.0,26.12,11.88,7.5,5.38,18.38,12.75
"Apr 28, 2021",PHI,ATL,H,114.5,42.2,88.5,47.73,12.1,31.1,38.09,18.0,22.3,80.28,10.0,33.7,43.7,26.1,12.3,8.6,5.6,19.3,8.7,120.11,44.22,87.11,50.84,12.56,32.0,38.86,19.11,23.56,81.61,9.44,38.33,47.78,25.33,12.56,7.0,5.67,18.89,8.89
"Apr 26, 2021",DET,ATL,H,101.9,38.4,83.0,46.4,10.3,31.7,33.26,14.8,21.2,70.16,7.9,33.1,41.0,23.4,15.3,6.0,5.3,19.3,-9.0,116.4,42.5,86.5,49.09,11.9,30.7,38.13,19.5,24.1,81.38,10.2,37.5,47.7,24.5,12.8,6.6,5.4,18.8,3.6
