DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Mar 09, 2020",ATL,CHA,H,131.0,48.0,106.0,45.3,14.0,41.0,34.1,21.0,26.0,80.8,15.0,38.0,53.0,26.0,17.0,6.0,3.0,25.0,-5.0,109.0,37.0,82.0,45.1,17.0,34.0,50.0,18.0,22.0,81.8,15.0,35.0,50.0,20.0,14.0,7.0,4.0,9.0,11.0
"Mar 07, 2020",MEM,ATL,H,112.89,40.56,88.56,45.99,11.0,34.11,32.33,20.78,27.0,77.67,9.11,35.33,44.44,25.78,15.78,7.0,4.44,23.78,-1.44,137.0,50.5,101.0,50.25,17.5,42.0,41.45,18.5,26.5,70.05,13.5,39.5,53.0,29.5,16.5,3.5,4.0,25.5,0.0
"Mar 06, 2020",WAS,ATL,H,105.0,36.9,87.5,42.15,10.9,31.0,35.06,20.3,25.2,79.27,10.1,32.4,42.5,22.2,15.3,7.4,4.2,24.0,-8.1,125.0,44.33,99.0,44.73,16.0,44.33,36.47,20.33,27.0,75.27,13.67,37.0,50.67,27.33,15.67,5.33,3.33,25.0,-5.67
"Mar 02, 2020",ATL,MEM,A,121.75,44.75,95.75,46.92,15.0,41.25,36.73,17.25,23.25,73.12,11.75,35.25,47.0,26.75,16.25,6.25,3.5,25.0,-5.75,112.33,40.83,89.0,46.06,11.67,34.5,33.57,19.0,25.25,76.21,10.33,36.67,47.0,25.75,15.83,7.25,4.58,21.83,1.5
"Feb 29, 2020",ATL,POR,H,115.0,42.2,96.4,44.0,13.8,40.0,34.52,16.8,21.8,77.26,12.6,33.6,46.2,25.4,16.4,6.2,4.4,24.2,-12.4,124.0,44.62,91.15,49.05,14.77,35.92,41.16,20.0,24.08,83.28,9.92,34.23,44.15,23.92,11.85,7.77,5.62,22.62,4.54
"Feb 28, 2020",ATL,BKN,H,117.33,42.83,94.33,45.8,14.5,40.33,35.92,17.17,21.83,78.78,11.33,33.17,44.5,26.83,16.83,6.33,4.5,23.17,-8.33,116.64,41.64,90.07,46.34,13.79,40.29,34.31,19.57,25.71,75.4,10.21,35.79,46.0,26.14,14.21,5.64,3.86,22.71,-0.64
"Feb 26, 2020",ATL,ORL,A,120.71,43.86,94.71,46.61,15.14,40.14,37.74,17.86,23.0,78.0,11.86,33.71,45.57,27.57,15.86,6.57,4.43,22.0,-3.86,117.6,42.27,88.27,48.04,12.33,33.8,36.85,20.73,25.8,80.69,9.6,34.33,43.93,26.13,14.13,7.07,3.67,21.07,0.8
"Feb 24, 2020",PHI,ATL,H,118.0,43.07,89.27,48.25,14.33,34.07,41.78,17.53,22.73,76.55,11.33,32.13,43.47,25.87,12.8,7.2,4.6,21.13,2.47,120.62,43.62,94.62,46.38,14.88,39.62,37.54,18.5,23.25,79.75,11.5,33.62,45.12,27.88,15.0,6.38,4.5,22.0,-4.62
"Feb 22, 2020",ATL,DAL,H,119.67,43.22,94.89,45.8,14.11,39.44,35.71,19.11,23.67,80.77,11.78,33.22,45.0,26.89,14.78,6.22,4.22,22.44,-6.0,119.06,42.22,92.17,45.91,15.0,42.0,35.46,19.61,25.28,77.44,9.17,37.22,46.39,25.89,12.89,6.61,4.89,20.72,1.67
"Feb 20, 2020",ATL,MIA,H,118.8,43.2,95.2,45.61,13.5,39.2,34.3,18.9,23.9,79.23,11.9,33.9,45.8,26.9,14.3,6.5,4.2,22.3,-5.0,112.39,39.0,83.22,47.1,14.72,38.11,38.83,19.67,24.89,79.53,7.83,34.33,42.17,27.56,14.89,8.11,5.61,21.33,2.17
