MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 13, 2020 - SAS @ UTA",L,48,112,39,79,49.4,10,20,50.0,24,36,66.7,9,35,44,24,15,4,8,20,-6
"Aug 11, 2020 - SAS vs. HOU",W,48,123,46,93,49.5,13,32,40.6,18,20,90.0,9,50,59,28,22,10,5,20,18
"Aug 09, 2020 - SAS @ NOP",W,48,122,40,89,44.9,11,28,39.3,31,32,96.9,15,36,51,22,17,12,6,27,9
"Aug 07, 2020 - SAS vs. UTA",W,48,119,45,89,50.6,9,22,40.9,20,26,76.9,8,39,47,27,13,10,5,18,8
"Aug 05, 2020 - SAS vs. DEN",L,48,126,46,93,49.5,11,30,36.7,23,27,85.2,10,25,35,29,9,10,5,20,-6
"Aug 03, 2020 - SAS @ PHI",L,48,130,46,93,49.5,12,26,46.2,26,29,89.7,13,31,44,21,14,7,6,23,-2
"Aug 02, 2020 - SAS @ MEM",W,48,108,36,86,41.9,12,29,41.4,24,33,72.7,12,37,49,22,17,5,6,20,2
"Jul 31, 2020 - SAS vs. SAC",W,48,129,48,90,53.3,11,25,44.0,22,27,81.5,9,33,42,32,15,6,4,17,9
"Mar 10, 2020 - SAS vs. DAL",W,48,119,46,89,51.7,15,32,46.9,12,15,80.0,6,34,40,32,12,11,10,15,10
"Mar 08, 2020 - SAS @ CLE",L,53,129,43,98,43.9,10,26,38.5,33,36,91.7,6,38,44,20,9,15,6,34,-3
"Mar 06, 2020 - SAS @ BKN",L,48,120,43,92,46.7,10,34,29.4,24,27,88.9,2,36,38,25,6,3,5,20,-19
"Mar 03, 2020 - SAS @ CHA",W,48,104,38,80,47.5,11,32,34.4,17,20,85.0,6,27,33,25,10,12,5,16,1
"Mar 02, 2020 - SAS vs. IND",L,48,111,40,77,51.9,16,32,50.0,15,19,78.9,3,30,33,21,15,6,5,19,-5
"Feb 29, 2020 - SAS vs. ORL",W,48,114,44,84,52.4,14,31,45.2,12,16,75.0,4,27,31,28,17,11,5,20,1
"Feb 26, 2020 - SAS vs. DAL",L,48,103,39,92,42.4,11,33,33.3,14,19,73.7,13,42,55,22,16,8,7,21,-6
"Feb 23, 2020 - SAS @ OKC",L,48,103,38,103,36.9,11,38,28.9,16,19,84.2,14,29,43,27,9,5,1,23,-28
"Feb 21, 2020 - SAS @ UTA",W,48,113,40,91,44.0,10,20,50.0,23,26,88.5,7,41,48,22,7,12,7,20,9
"Feb 11, 2020 - SAS @ OKC",W,48,114,41,84,48.8,7,25,28.0,25,27,92.6,7,39,46,20,12,9,7,19,8
"Feb 10, 2020 - SAS @ DEN",L,48,120,41,85,48.2,16,32,50.0,22,25,88.0,9,27,36,33,10,7,1,17,-7
"Feb 08, 2020 - SAS @ SAC",L,48,102,41,81,50.6,7,24,29.2,13,18,72.2,8,33,41,23,15,7,4,22,-20
"Feb 06, 2020 - SAS @ POR",L,48,117,41,92,44.6,10,28,35.7,25,28,89.3,8,31,39,25,4,9,3,10,-8
"Feb 04, 2020 - SAS @ LAL",L,48,102,40,91,44.0,13,27,48.1,9,15,60.0,7,21,28,21,6,6,2,16,-27
"Feb 03, 2020 - SAS @ LAC",L,48,105,40,95,42.1,12,37,32.4,13,16,81.3,6,40,46,21,8,5,9,20,-3
"Feb 01, 2020 - SAS vs. CHA",W,48,114,45,87,51.7,10,28,35.7,14,21,66.7,7,37,44,27,12,13,2,14,24
"Jan 29, 2020 - SAS vs. UTA",W,48,127,46,82,56.1,8,31,25.8,27,30,90.0,4,31,35,23,9,5,2,27,7
"Jan 27, 2020 - SAS @ CHI",L,48,109,38,82,46.3,10,25,40.0,23,34,67.6,12,35,47,21,12,2,6,12,-1
"Jan 26, 2020 - SAS vs. TOR",L,48,106,34,82,41.5,16,37,43.2,22,24,91.7,7,41,48,27,17,5,8,15,-4
"Jan 24, 2020 - SAS vs. PHX",L,48,99,33,78,42.3,5,25,20.0,28,33,84.8,10,33,43,19,14,9,8,22,-4
"Jan 22, 2020 - SAS @ NOP",W,48,121,45,89,50.6,11,27,40.7,20,25,80.0,9,35,44,17,11,7,4,23,4
"Jan 20, 2020 - SAS @ PHX",W,48,120,43,87,49.4,17,31,54.8,17,22,77.3,6,25,31,30,9,12,7,23,2
"Jan 19, 2020 - SAS vs. MIA",W,48,107,36,85,42.4,12,33,36.4,23,24,95.8,9,34,43,27,11,5,4,18,5
"Jan 17, 2020 - SAS vs. ATL",L,48,120,45,98,45.9,8,29,27.6,22,23,95.7,14,34,48,28,15,12,6,27,-1
"Jan 15, 2020 - SAS @ MIA",L,48,100,39,89,43.8,10,33,30.3,12,15,80.0,6,35,41,22,8,8,4,17,-6
"Jan 12, 2020 - SAS @ TOR",W,48,105,38,87,43.7,7,32,21.9,22,30,73.3,9,42,51,24,11,6,5,11,1
"Jan 10, 2020 - SAS @ MEM",L,48,121,42,87,48.3,17,40,42.5,20,23,87.0,5,32,37,29,11,3,6,17,-13
"Jan 08, 2020 - SAS @ BOS",W,48,129,48,87,55.2,9,29,31.0,24,26,92.3,8,41,49,28,15,9,6,25,15
"Jan 06, 2020 - SAS vs. MIL",W,48,126,45,88,51.1,19,35,54.3,17,19,89.5,10,44,54,23,13,4,2,16,22
"Jan 04, 2020 - SAS @ MIL",L,48,118,38,92,41.3,11,32,34.4,31,34,91.2,11,39,50,20,8,7,0,20,-9
"Jan 02, 2020 - SAS vs. OKC",L,48,103,40,92,43.5,13,31,41.9,10,12,83.3,14,31,45,22,9,1,8,22,-6
"Dec 31, 2019 - SAS vs. GSW",W,53,117,45,96,46.9,14,31,45.2,13,17,76.5,10,43,53,30,10,6,6,18,4
"Dec 28, 2019 - SAS vs. DET",W,48,136,53,93,57.0,18,35,51.4,12,15,80.0,7,44,51,30,11,8,7,20,27
"Dec 26, 2019 - SAS @ DAL",L,48,98,40,83,48.2,8,29,27.6,10,15,66.7,5,40,45,18,13,9,7,16,-4
"Dec 23, 2019 - SAS @ MEM",W,48,145,60,89,67.4,15,24,62.5,10,14,71.4,4,42,46,36,12,9,4,14,30
"Dec 21, 2019 - SAS vs. LAC",L,48,109,42,82,51.2,10,28,35.7,15,19,78.9,4,32,36,24,18,5,8,20,-25
"Dec 19, 2019 - SAS vs. BKN",W,48,118,43,96,44.8,13,33,39.4,19,23,82.6,13,34,47,26,11,10,8,19,13
"Dec 16, 2019 - SAS @ HOU",L,48,107,39,91,42.9,12,33,36.4,17,20,85.0,8,45,53,23,18,5,4,22,-2
"Dec 14, 2019 - SAS @ PHX",W,53,121,44,106,41.5,8,30,26.7,25,34,73.5,10,52,62,23,11,6,9,22,2
"Dec 12, 2019 - SAS vs. CLE",L,53,109,42,86,48.8,5,16,31.3,20,25,80.0,2,34,36,19,12,11,7,21,-8
"Dec 06, 2019 - SAS vs. SAC",W,53,105,41,96,42.7,11,32,34.4,12,17,70.6,13,39,52,25,16,10,5,16,1
"Dec 03, 2019 - SAS vs. HOU",W,58,135,50,106,47.2,13,30,43.3,22,32,68.8,12,44,56,35,21,10,8,27,2
"Dec 01, 2019 - SAS @ DET",L,48,98,36,88,40.9,7,26,26.9,19,22,86.4,7,24,31,20,8,11,6,15,-34
"Nov 29, 2019 - SAS vs. LAC",W,48,107,40,93,43.0,14,36,38.9,13,14,92.9,8,40,48,28,11,8,8,15,10
"Nov 27, 2019 - SAS vs. MIN",L,48,101,41,97,42.3,5,29,17.2,14,17,82.4,8,38,46,25,6,4,8,18,-12
"Nov 25, 2019 - SAS vs. LAL",L,48,104,41,88,46.6,10,25,40.0,12,15,80.0,9,32,41,23,13,4,5,22,-10
"Nov 23, 2019 - SAS @ NYK",W,48,111,40,75,53.3,12,23,52.2,19,28,67.9,9,38,47,26,22,7,3,17,7
"Nov 22, 2019 - SAS @ PHI",L,48,104,43,85,50.6,6,18,33.3,12,16,75.0,3,29,32,21,11,6,3,15,-11
"Nov 20, 2019 - SAS @ WAS",L,48,132,49,93,52.7,12,32,37.5,22,29,75.9,12,29,41,32,12,8,8,13,-6
"Nov 18, 2019 - SAS @ DAL",L,48,110,44,96,45.8,8,24,33.3,14,16,87.5,17,31,48,18,10,6,2,18,-7
"Nov 16, 2019 - SAS vs. POR",L,48,116,41,88,46.6,5,18,27.8,29,34,85.3,7,36,43,25,10,8,7,17,-5
"Nov 15, 2019 - SAS @ ORL",L,48,109,45,89,50.6,13,26,50.0,6,10,60.0,8,33,41,23,11,8,8,25,-2
"Nov 13, 2019 - SAS @ MIN",L,48,114,44,90,48.9,3,17,17.6,23,29,79.3,10,34,44,24,12,4,4,23,-15
"Nov 11, 2019 - SAS vs. MEM",L,48,109,42,90,46.7,12,30,40.0,13,17,76.5,7,35,42,29,14,4,4,17,-4
"Nov 09, 2019 - SAS vs. BOS",L,48,115,39,99,39.4,14,30,46.7,23,30,76.7,21,36,57,24,15,1,8,22,-20
"Nov 07, 2019 - SAS vs. OKC",W,48,121,51,94,54.3,9,20,45.0,10,11,90.9,12,35,47,32,13,5,3,21,9
"Nov 05, 2019 - SAS @ ATL",L,48,100,38,91,41.8,8,33,24.2,16,23,69.6,11,30,41,18,15,9,8,17,-8
"Nov 03, 2019 - SAS vs. LAL",L,48,96,33,83,39.8,6,25,24.0,24,29,82.8,8,39,47,23,18,11,4,18,-7
"Nov 01, 2019 - SAS @ GSW",W,48,127,44,93,47.3,13,35,37.1,26,30,86.7,16,36,52,23,11,4,2,19,17
"Oct 31, 2019 - SAS @ LAC",L,48,97,36,80,45.0,7,21,33.3,18,27,66.7,9,40,49,15,19,6,5,28,-6
"Oct 28, 2019 - SAS vs. POR",W,48,113,41,85,48.2,7,22,31.8,24,32,75.0,7,43,50,25,18,5,9,19,3
"Oct 26, 2019 - SAS vs. WAS",W,48,124,50,108,46.3,10,28,35.7,14,17,82.4,21,32,53,29,9,6,7,19,2
"Oct 23, 2019 - SAS vs. NYK",W,48,120,42,83,50.6,7,21,33.3,29,36,80.6,10,41,51,22,21,6,5,18,9
