MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - POR vs. DEN",W,48,132,46,87,52.9,18,43,41.9,22,26,84.6,11,40,51,24,14,3,6,16,16
"May 13, 2021 - POR @ PHX",L,48,117,44,81,54.3,15,33,45.5,14,18,77.8,1,32,33,23,13,7,3,18,-1
"May 12, 2021 - POR @ UTA",W,48,105,40,91,44.0,13,32,40.6,12,17,70.6,9,30,39,17,5,7,6,18,7
"May 10, 2021 - POR vs. HOU",W,48,140,47,92,51.1,18,40,45.0,28,35,80.0,12,35,47,30,9,7,4,18,11
"May 08, 2021 - POR vs. SAS",W,48,124,45,97,46.4,12,34,35.3,22,30,73.3,18,45,63,24,8,3,5,15,22
"May 07, 2021 - POR vs. LAL",W,48,106,37,88,42.0,12,37,32.4,20,21,95.2,6,38,44,22,9,6,2,20,5
"May 05, 2021 - POR @ CLE",W,48,141,53,92,57.6,16,33,48.5,19,25,76.0,11,43,54,26,10,7,9,20,36
"May 03, 2021 - POR @ ATL",L,48,114,43,95,45.3,17,41,41.5,11,14,78.6,8,31,39,25,8,7,4,15,-9
"May 02, 2021 - POR @ BOS",W,48,129,44,85,51.8,19,38,50.0,22,26,84.6,3,33,36,27,10,8,5,18,10
"Apr 30, 2021 - POR @ BKN",W,48,128,47,91,51.6,16,36,44.4,18,20,90.0,8,42,50,24,10,3,2,17,19
"Apr 28, 2021 - POR @ MEM",W,48,130,45,92,48.9,15,40,37.5,25,28,89.3,11,40,51,23,10,7,6,20,21
"Apr 27, 2021 - POR @ IND",W,48,133,50,106,47.2,20,35,57.1,13,16,81.3,20,37,57,26,13,6,5,19,21
"Apr 25, 2021 - POR vs. MEM",L,48,113,39,105,37.1,14,38,36.8,21,25,84.0,15,38,53,21,11,11,6,22,-7
