MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022 - GSW @ NOP",W,48,128,49,81,60.5,19,33,57.6,11,13,84.6,7,34,41,33,17,5,2,15,21
"Apr 09, 2022 - GSW @ SAS",W,48,100,33,81,40.7,8,32,25.0,26,33,78.8,13,38,51,23,12,8,1,22,6
"Apr 07, 2022 - GSW vs. LAL",W,48,128,51,97,52.6,16,32,50.0,10,10,100,9,36,45,39,15,10,5,26,16
"Apr 03, 2022 - GSW @ SAC",W,48,109,41,79,51.9,16,34,47.1,11,15,73.3,7,40,47,29,17,8,8,28,19
"Apr 02, 2022 - GSW vs. UTA",W,48,111,40,84,47.6,20,48,41.7,11,12,91.7,6,35,41,30,11,5,6,22,4
"Mar 30, 2022 - GSW vs. PHX",L,48,103,35,83,42.2,13,38,34.2,20,25,80.0,10,38,48,26,21,7,4,24,-4
"Mar 28, 2022 - GSW @ MEM",L,48,95,33,81,40.7,9,29,31.0,20,26,76.9,7,33,40,18,17,6,7,27,-28
"Mar 27, 2022 - GSW @ WAS",L,48,115,38,89,42.7,8,33,24.2,31,39,79.5,13,33,46,20,10,8,2,24,-8
"Mar 25, 2022 - GSW @ ATL",L,48,110,43,90,47.8,14,41,34.1,10,13,76.9,14,33,47,27,16,4,1,22,-11
"Mar 23, 2022 - GSW @ MIA",W,48,118,40,77,51.9,15,36,41.7,23,27,85.2,7,38,45,23,13,5,2,24,14
"Mar 22, 2022 - GSW @ ORL",L,48,90,34,85,40.0,11,32,34.4,11,16,68.8,12,36,48,21,18,6,3,23,-4
"Mar 20, 2022 - GSW vs. SAS",L,48,108,41,90,45.6,11,33,33.3,15,21,71.4,20,37,57,26,15,5,1,20,-2
"Mar 16, 2022 - GSW vs. BOS",L,48,88,32,86,37.2,11,48,22.9,13,16,81.3,7,31,38,19,8,8,4,21,-22
"Mar 14, 2022 - GSW vs. WAS",W,48,126,45,84,53.6,18,45,40.0,18,22,81.8,6,38,44,26,13,7,4,21,14
"Mar 12, 2022 - GSW vs. MIL",W,48,122,45,93,48.4,18,45,40.0,14,15,93.3,12,43,55,33,12,3,7,19,13
"Mar 10, 2022 - GSW @ DEN",W,48,113,42,88,47.7,14,42,33.3,15,20,75.0,8,28,36,26,8,9,4,25,11
"Mar 08, 2022 - GSW vs. LAC",W,48,112,44,92,47.8,13,34,38.2,11,13,84.6,10,41,51,33,16,8,6,20,15
"Mar 07, 2022 - GSW @ DEN",L,48,124,45,88,51.1,17,40,42.5,17,23,73.9,9,32,41,29,14,5,0,30,-7
"Mar 05, 2022 - GSW @ LAL",L,48,116,46,92,50.0,15,34,44.1,9,19,47.4,10,31,41,22,16,11,4,20,-8
"Mar 03, 2022 - GSW @ DAL",L,48,113,44,81,54.3,15,30,50.0,10,13,76.9,10,27,37,26,15,7,5,19,-9
"Mar 01, 2022 - GSW @ MIN",L,48,114,41,90,45.6,13,45,28.9,19,22,86.4,8,32,40,26,17,11,3,25,-15
"Feb 27, 2022 - GSW vs. DAL",L,48,101,39,91,42.9,11,39,28.2,12,20,60.0,12,32,44,27,11,15,2,23,-6
"Feb 24, 2022 - GSW @ POR",W,48,132,45,88,51.1,15,41,36.6,27,32,84.4,10,36,46,36,12,10,7,23,37
"Feb 16, 2022 - GSW vs. DEN",L,48,116,45,87,51.7,10,34,29.4,16,24,66.7,8,29,37,26,11,13,5,21,-1
"Feb 14, 2022 - GSW @ LAC",L,48,104,39,86,45.3,16,41,39.0,10,13,76.9,7,31,38,23,14,7,3,18,-15
"Feb 12, 2022 - GSW vs. LAL",W,48,117,40,90,44.4,12,38,31.6,25,34,73.5,10,40,50,24,9,4,3,24,2
"Feb 10, 2022 - GSW vs. NYK",L,48,114,42,91,46.2,15,45,33.3,15,17,88.2,5,33,38,27,8,4,5,24,-2
"Feb 09, 2022 - GSW @ UTA",L,48,85,28,78,35.9,16,43,37.2,13,17,76.5,3,32,35,17,13,8,3,19,-26
"Feb 07, 2022 - GSW @ OKC",W,48,110,41,82,50.0,15,43,34.9,13,17,76.5,6,34,40,30,15,12,3,19,12
"Feb 03, 2022 - GSW vs. SAC",W,48,126,47,84,56.0,20,42,47.6,12,16,75.0,9,31,40,27,16,11,3,19,12
"Feb 01, 2022 - GSW @ SAS",W,48,124,43,96,44.8,20,46,43.5,18,18,100,15,31,46,30,16,10,3,17,4
"Jan 31, 2022 - GSW @ HOU",W,48,122,43,80,53.8,17,40,42.5,19,23,82.6,7,34,41,23,15,10,8,24,14
"Jan 29, 2022 - GSW vs. BKN",W,48,110,40,98,40.8,14,45,31.1,16,18,88.9,16,39,55,24,12,8,8,23,4
"Jan 27, 2022 - GSW vs. MIN",W,48,124,44,82,53.7,21,36,58.3,15,21,71.4,10,37,47,31,19,8,3,23,9
"Jan 25, 2022 - GSW vs. DAL",W,48,130,49,92,53.3,17,43,39.5,15,18,83.3,12,46,58,31,14,8,2,17,38
"Jan 23, 2022 - GSW vs. UTA",W,48,94,36,83,43.4,13,42,31.0,9,10,90.0,10,30,40,19,10,8,5,19,2
"Jan 21, 2022 - GSW vs. HOU",W,48,105,39,81,48.1,10,30,33.3,17,22,77.3,7,34,41,25,19,4,9,18,2
"Jan 20, 2022 - GSW vs. IND",L,53,117,42,94,44.7,9,42,21.4,24,29,82.8,15,38,53,28,21,11,6,28,-4
"Jan 18, 2022 - GSW vs. DET",W,48,102,34,83,41.0,14,42,33.3,20,27,74.1,13,41,54,26,13,12,3,25,16
"Jan 16, 2022 - GSW @ MIN",L,48,99,32,82,39.0,13,42,31.0,22,29,75.9,7,40,47,20,15,6,3,17,-20
"Jan 14, 2022 - GSW @ CHI",W,48,138,53,94,56.4,19,42,45.2,13,17,76.5,9,38,47,39,7,12,5,17,42
"Jan 13, 2022 - GSW @ MIL",L,48,99,33,95,34.7,16,48,33.3,17,24,70.8,12,37,49,20,15,9,2,15,-19
"Jan 11, 2022 - GSW @ MEM",L,48,108,35,82,42.7,13,36,36.1,25,29,86.2,4,41,45,25,17,8,5,19,-8
"Jan 09, 2022 - GSW vs. CLE",W,48,96,39,97,40.2,10,42,23.8,8,10,80.0,22,32,54,24,15,16,5,20,14
"Jan 06, 2022 - GSW @ NOP",L,48,96,37,87,42.5,7,33,21.2,15,18,83.3,8,35,43,22,14,12,6,24,-5
"Jan 05, 2022 - GSW @ DAL",L,48,82,33,81,40.7,5,28,17.9,11,16,68.8,8,38,46,20,17,10,5,20,-17
"Jan 03, 2022 - GSW vs. MIA",W,48,115,45,92,48.9,14,38,36.8,11,13,84.6,7,36,43,39,12,11,6,17,7
"Jan 01, 2022 - GSW @ UTA",W,48,123,46,86,53.5,17,32,53.1,14,21,66.7,7,33,40,39,15,10,2,24,7
"Dec 28, 2021 - GSW vs. DEN",L,48,86,30,72,41.7,10,32,31.3,16,31,51.6,8,35,43,20,17,8,2,20,-3
"Dec 25, 2021 - GSW @ PHX",W,48,116,42,85,49.4,14,37,37.8,18,21,85.7,12,30,42,28,11,11,7,22,9
"Dec 23, 2021 - GSW vs. MEM",W,48,113,40,82,48.8,19,40,47.5,14,18,77.8,8,31,39,30,19,9,9,19,9
"Dec 20, 2021 - GSW vs. SAC",W,48,113,46,88,52.3,15,37,40.5,6,9,66.7,10,32,42,28,16,12,9,18,15
"Dec 18, 2021 - GSW @ TOR",L,48,100,37,79,46.8,11,36,30.6,15,21,71.4,11,36,47,26,20,5,5,21,-19
"Dec 17, 2021 - GSW @ BOS",W,48,111,39,90,43.3,16,46,34.8,17,21,81.0,12,33,45,27,14,9,8,25,4
"Dec 14, 2021 - GSW @ NYK",W,48,105,35,77,45.5,15,40,37.5,20,27,74.1,7,42,49,28,12,3,6,22,9
"Dec 13, 2021 - GSW @ IND",W,48,102,42,84,50.0,8,30,26.7,10,14,71.4,9,38,47,21,18,6,6,25,2
