MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - MIA vs. ORL",W,48,123,45,83,54.2,18,44,40.9,15,20,75.0,7,37,44,30,18,10,3,20,13
"Apr 07, 2023 - MIA @ WAS",L,48,108,43,98,43.9,15,47,31.9,7,12,58.3,14,33,47,26,16,7,4,29,-6
"Apr 06, 2023 - MIA @ PHI",W,48,129,49,88,55.7,18,39,46.2,13,15,86.7,10,32,42,39,11,3,0,13,28
"Apr 04, 2023 - MIA @ DET",W,48,118,41,80,51.3,13,36,36.1,23,26,88.5,5,28,33,26,8,12,2,18,13
"Apr 01, 2023 - MIA vs. DAL",W,48,129,45,86,52.3,13,37,35.1,26,29,89.7,10,26,36,27,11,6,0,16,7
"Mar 29, 2023 - MIA @ NYK",L,48,92,35,79,44.3,13,39,33.3,9,14,64.3,6,29,35,20,11,5,0,18,-9
"Mar 28, 2023 - MIA @ TOR",L,48,92,32,80,40.0,10,33,30.3,18,19,94.7,12,31,43,18,16,6,3,10,-14
"Mar 25, 2023 - MIA vs. BKN",L,48,100,38,80,47.5,12,30,40.0,12,14,85.7,8,24,32,22,14,5,4,19,-29
"Mar 22, 2023 - MIA vs. NYK",W,48,127,45,79,57.0,16,28,57.1,21,26,80.8,2,27,29,28,10,9,1,18,7
"Mar 19, 2023 - MIA @ DET",W,48,112,38,79,48.1,13,39,33.3,23,25,92.0,8,34,42,33,10,4,4,17,12
"Mar 18, 2023 - MIA @ CHI",L,48,99,35,82,42.7,10,37,27.0,19,24,79.2,14,25,39,23,14,4,2,10,-14
"Mar 15, 2023 - MIA vs. MEM",W,48,138,49,82,59.8,13,29,44.8,27,33,81.8,8,33,41,33,13,8,5,16,19
"Mar 13, 2023 - MIA vs. UTA",W,48,119,37,79,46.8,14,34,41.2,31,36,86.1,9,28,37,20,13,12,4,13,4
"Mar 11, 2023 - MIA @ ORL",L,53,114,42,94,44.7,11,37,29.7,19,20,95.0,5,30,35,19,17,8,2,17,-12
"Mar 10, 2023 - MIA vs. CLE",W,48,119,42,82,51.2,14,29,48.3,21,23,91.3,11,35,46,22,16,7,4,20,4
"Mar 08, 2023 - MIA vs. CLE",L,48,100,35,70,50.0,8,29,27.6,22,29,75.9,10,27,37,22,24,7,4,19,-4
"Mar 06, 2023 - MIA vs. ATL",W,48,130,41,77,53.2,16,29,55.2,32,37,86.5,8,24,32,27,11,6,4,17,2
"Mar 04, 2023 - MIA vs. ATL",W,48,117,42,83,50.6,13,35,37.1,20,23,87.0,12,31,43,31,20,5,3,19,8
"Mar 03, 2023 - MIA vs. NYK",L,48,120,39,81,48.1,12,25,48.0,30,32,93.8,11,28,39,23,12,7,2,17,-2
"Mar 01, 2023 - MIA vs. PHI",L,48,96,34,78,43.6,7,29,24.1,21,23,91.3,5,28,33,18,13,3,2,17,-23
"Feb 27, 2023 - MIA @ PHI",W,48,101,35,81,43.2,15,37,40.5,16,22,72.7,12,25,37,21,13,10,3,20,2
"Feb 25, 2023 - MIA @ CHA",L,48,103,32,80,40.0,11,36,30.6,28,34,82.4,7,35,42,24,18,7,3,25,-5
"Feb 24, 2023 - MIA @ MIL",L,48,99,36,92,39.1,9,40,22.5,18,25,72.0,9,36,45,21,10,5,5,17,-29
"Feb 15, 2023 - MIA @ BKN",L,48,105,38,83,45.8,8,28,28.6,21,29,72.4,12,29,41,19,8,4,3,18,-11
"Feb 13, 2023 - MIA vs. DEN",L,48,108,39,89,43.8,12,35,34.3,18,20,90.0,9,25,34,25,9,9,4,14,-4
"Feb 11, 2023 - MIA @ ORL",W,53,107,37,85,43.5,12,39,30.8,21,23,91.3,11,35,46,24,20,7,6,22,4
"Feb 10, 2023 - MIA vs. HOU",W,48,97,32,77,41.6,12,38,31.6,21,22,95.5,6,34,40,21,17,11,6,23,2
"Feb 08, 2023 - MIA vs. IND",W,48,116,37,79,46.8,6,19,31.6,36,39,92.3,15,33,48,21,13,7,3,22,5
"Feb 04, 2023 - MIA @ MIL",L,48,115,45,101,44.6,8,31,25.8,17,21,81.0,13,31,44,23,7,9,2,23,-8
"Feb 02, 2023 - MIA @ NYK",L,48,104,39,87,44.8,13,36,36.1,13,16,81.3,9,24,33,24,11,8,3,15,-2
"Jan 31, 2023 - MIA @ CLE",W,48,100,34,78,43.6,14,31,45.2,18,25,72.0,9,36,45,21,15,7,3,17,3
"Jan 29, 2023 - MIA @ CHA",L,48,117,45,93,48.4,10,31,32.3,17,23,73.9,10,26,36,26,11,11,0,17,-5
"Jan 27, 2023 - MIA vs. ORL",W,48,110,39,85,45.9,10,33,30.3,22,26,84.6,5,32,37,28,11,9,3,19,5
"Jan 24, 2023 - MIA vs. BOS",W,48,98,34,94,36.2,12,33,36.4,18,23,78.3,14,37,51,21,8,7,2,18,3
"Jan 22, 2023 - MIA vs. NOP",W,48,100,35,80,43.8,8,34,23.5,22,27,81.5,12,30,42,17,22,16,1,14,4
"Jan 20, 2023 - MIA @ DAL",L,48,90,33,69,47.8,4,20,20.0,20,27,74.1,5,34,39,15,16,3,1,22,-25
"Jan 18, 2023 - MIA @ NOP",W,48,124,50,94,53.2,12,35,34.3,12,16,75.0,10,33,43,37,11,11,2,17,26
"Jan 16, 2023 - MIA @ ATL",L,48,113,43,89,48.3,8,31,25.8,19,20,95.0,12,29,41,30,16,10,4,22,-8
"Jan 14, 2023 - MIA vs. MIL",W,48,111,45,87,51.7,11,22,50.0,10,12,83.3,13,38,51,17,11,9,3,14,16
"Jan 12, 2023 - MIA vs. MIL",W,48,108,42,95,44.2,9,34,26.5,15,16,93.8,18,43,61,22,13,8,1,8,6
"Jan 10, 2023 - MIA vs. OKC",W,48,112,31,79,39.2,10,33,30.3,40,40,100,13,28,41,18,20,10,4,19,1
"Jan 08, 2023 - MIA vs. BKN",L,48,101,38,92,41.3,13,35,37.1,12,17,70.6,16,25,41,22,12,8,4,17,-1
"Jan 06, 2023 - MIA @ PHX",W,48,104,33,78,42.3,12,38,31.6,26,31,83.9,5,32,37,19,13,10,3,14,8
"Jan 04, 2023 - MIA @ LAL",L,48,109,43,95,45.3,8,29,27.6,15,21,71.4,14,29,43,24,13,9,4,20,-3
"Jan 02, 2023 - MIA @ LAC",W,48,110,39,85,45.9,12,36,33.3,20,24,83.3,12,36,48,22,11,7,2,23,10
"Dec 31, 2022 - MIA @ UTA",W,48,126,45,89,50.6,13,39,33.3,23,30,76.7,10,27,37,32,12,10,1,32,3
"Dec 30, 2022 - MIA @ DEN",L,48,119,39,87,44.8,14,35,40.0,27,30,90.0,11,25,36,21,15,13,4,19,-5
"Dec 28, 2022 - MIA vs. LAL",W,48,112,44,92,47.8,11,35,31.4,13,16,81.3,10,27,37,20,6,14,4,15,14
"Dec 26, 2022 - MIA vs. MIN",W,48,113,47,102,46.1,13,49,26.5,6,8,75.0,13,27,40,27,10,9,3,17,3
"Dec 23, 2022 - MIA vs. IND",L,48,108,41,95,43.2,13,33,39.4,13,14,92.9,13,25,38,23,10,7,3,13,-3
"Dec 20, 2022 - MIA vs. CHI",L,48,103,38,81,46.9,15,44,34.1,12,17,70.6,9,26,35,26,13,9,0,16,-10
"Dec 17, 2022 - MIA @ SAS",W,48,111,42,82,51.2,11,30,36.7,16,23,69.6,8,32,40,25,14,14,3,27,10
"Dec 15, 2022 - MIA @ HOU",W,48,111,39,88,44.3,16,47,34.0,17,23,73.9,14,26,40,21,14,10,6,19,3
"Dec 14, 2022 - MIA @ OKC",W,48,110,37,86,43.0,24,56,42.9,12,15,80.0,7,32,39,25,14,9,1,21,2
