MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - NOP @ MIN",L,48,108,40,90,44.4,3,21,14.3,25,29,86.2,11,38,49,18,15,13,3,24,-5
"Apr 07, 2023 - NOP vs. NYK",W,48,113,42,79,53.2,10,28,35.7,19,20,95.0,4,39,43,27,12,4,7,17,8
"Apr 05, 2023 - NOP vs. MEM",W,53,138,44,88,50.0,21,39,53.8,29,39,74.4,8,36,44,35,16,9,8,22,7
"Apr 04, 2023 - NOP vs. SAC",L,48,103,37,84,44.0,7,20,35.0,22,27,81.5,9,28,37,20,14,6,4,14,-18
"Apr 01, 2023 - NOP vs. LAC",W,48,122,42,86,48.8,7,17,41.2,31,35,88.6,14,26,40,21,7,6,5,15,8
"Mar 30, 2023 - NOP @ DEN",W,48,107,38,80,47.5,13,27,48.1,18,22,81.8,8,38,46,22,12,6,1,24,19
"Mar 28, 2023 - NOP @ GSW",L,48,109,42,90,46.7,12,27,44.4,13,14,92.9,11,30,41,30,19,6,4,18,-11
"Mar 27, 2023 - NOP @ POR",W,48,124,49,86,57.0,12,28,42.9,14,17,82.4,8,45,53,31,17,5,6,16,34
"Mar 25, 2023 - NOP @ LAC",W,48,131,51,96,53.1,21,34,61.8,8,9,88.9,12,33,45,36,16,11,3,21,21
"Mar 23, 2023 - NOP vs. CHA",W,48,115,45,98,45.9,11,34,32.4,14,15,93.3,11,41,52,26,11,11,0,14,19
"Mar 21, 2023 - NOP vs. SAS",W,48,119,45,81,55.6,10,24,41.7,19,23,82.6,5,44,49,31,16,8,2,19,35
"Mar 19, 2023 - NOP @ HOU",W,48,117,42,85,49.4,13,31,41.9,20,24,83.3,10,29,39,28,10,7,4,23,10
"Mar 17, 2023 - NOP @ HOU",L,48,112,39,82,47.6,12,28,42.9,22,25,88.0,8,27,35,22,9,8,5,17,-2
"Mar 14, 2023 - NOP vs. LAL",L,48,108,42,98,42.9,11,43,25.6,13,20,65.0,15,26,41,23,12,9,3,24,-15
"Mar 12, 2023 - NOP vs. POR",W,48,127,43,86,50.0,19,40,47.5,22,29,75.9,8,35,43,35,15,11,7,19,17
"Mar 11, 2023 - NOP vs. OKC",L,48,96,34,81,42.0,12,34,35.3,16,19,84.2,8,35,43,23,22,3,4,25,-14
"Mar 08, 2023 - NOP vs. DAL",W,48,113,42,83,50.6,13,27,48.1,16,18,88.9,9,40,49,32,15,4,6,19,7
"Mar 06, 2023 - NOP @ SAC",L,48,108,43,80,53.8,11,29,37.9,11,14,78.6,7,33,40,29,16,6,4,19,-15
"Mar 03, 2023 - NOP @ GSW",L,48,99,34,77,44.2,10,29,34.5,21,27,77.8,7,22,29,20,13,9,4,22,-9
"Mar 01, 2023 - NOP @ POR",W,48,121,46,89,51.7,9,25,36.0,20,23,87.0,11,30,41,23,6,9,4,20,11
"Feb 27, 2023 - NOP vs. ORL",L,48,93,34,76,44.7,6,27,22.2,19,23,82.6,9,29,38,23,17,9,2,26,-8
"Feb 25, 2023 - NOP @ NYK",L,48,106,40,102,39.2,8,38,21.1,18,21,85.7,13,26,39,25,7,11,0,15,-22
"Feb 23, 2023 - NOP @ TOR",L,48,110,39,84,46.4,13,30,43.3,19,25,76.0,6,37,43,23,13,6,2,19,-5
"Feb 15, 2023 - NOP @ LAL",L,48,102,39,89,43.8,7,25,28.0,17,24,70.8,13,37,50,24,15,5,3,28,-18
"Feb 13, 2023 - NOP @ OKC",W,48,103,39,74,52.7,9,30,30.0,16,18,88.9,4,29,33,19,19,13,8,21,3
"Feb 10, 2023 - NOP vs. CLE",L,48,107,39,82,47.6,9,24,37.5,20,25,80.0,11,23,34,25,14,8,3,18,-11
"Feb 07, 2023 - NOP vs. ATL",W,48,116,45,91,49.5,12,32,37.5,14,21,66.7,13,34,47,28,10,8,2,19,9
"Feb 05, 2023 - NOP vs. SAC",W,48,136,48,85,56.5,14,26,53.8,26,34,76.5,12,36,48,26,11,11,3,23,32
"Feb 04, 2023 - NOP vs. LAL",W,48,131,52,100,52.0,9,30,30.0,18,20,90.0,14,34,48,28,11,6,0,22,5
"Feb 02, 2023 - NOP @ DAL",L,48,106,42,84,50.0,5,20,25.0,17,21,81.0,12,38,50,27,17,6,5,26,-5
"Jan 31, 2023 - NOP @ DEN",L,48,113,42,85,49.4,8,27,29.6,21,25,84.0,8,28,36,28,15,13,2,24,-9
"Jan 29, 2023 - NOP @ MIL",L,48,110,41,93,44.1,13,34,38.2,15,21,71.4,8,30,38,25,12,7,3,20,-25
"Jan 28, 2023 - NOP vs. WAS",L,48,103,39,92,42.4,8,29,27.6,17,19,89.5,8,34,42,21,10,9,8,26,-10
"Jan 25, 2023 - NOP vs. MIN",L,48,102,37,85,43.5,12,38,31.6,16,21,76.2,8,34,42,25,15,4,7,21,-9
"Jan 24, 2023 - NOP vs. DEN",L,48,98,38,85,44.7,5,26,19.2,17,20,85.0,14,29,43,18,16,5,3,14,-1
"Jan 22, 2023 - NOP @ MIA",L,48,96,37,78,47.4,8,30,26.7,14,18,77.8,8,33,41,24,25,17,4,22,-4
"Jan 20, 2023 - NOP @ ORL",L,48,110,41,91,45.1,10,35,28.6,18,24,75.0,11,28,39,29,11,9,5,21,-13
"Jan 18, 2023 - NOP vs. MIA",L,48,98,37,80,46.3,13,30,43.3,11,18,61.1,9,29,38,27,18,5,3,17,-26
"Jan 16, 2023 - NOP @ CLE",L,48,103,38,75,50.7,10,27,37.0,17,22,77.3,3,25,28,26,17,9,1,23,-10
"Jan 13, 2023 - NOP @ DET",W,48,116,42,86,48.8,11,31,35.5,21,30,70.0,8,40,48,29,17,7,3,21,6
"Jan 11, 2023 - NOP @ BOS",L,48,114,45,87,51.7,11,30,36.7,13,17,76.5,4,29,33,22,9,5,4,17,-11
"Jan 09, 2023 - NOP @ WAS",W,48,132,49,93,52.7,10,26,38.5,24,31,77.4,12,32,44,24,10,9,5,21,20
"Jan 07, 2023 - NOP @ DAL",L,48,117,45,94,47.9,5,29,17.2,22,35,62.9,15,29,44,26,13,14,4,25,-10
"Jan 06, 2023 - NOP vs. BKN",L,48,102,35,88,39.8,12,29,41.4,20,25,80.0,14,37,51,16,16,7,4,20,-6
"Jan 04, 2023 - NOP vs. HOU",W,48,119,41,89,46.1,14,38,36.8,23,26,88.5,15,36,51,25,15,6,6,19,11
"Jan 02, 2023 - NOP @ PHI",L,48,111,42,84,50.0,11,29,37.9,16,20,80.0,10,39,49,26,17,3,6,22,-9
"Dec 31, 2022 - NOP @ MEM",L,48,101,32,91,35.2,8,30,26.7,29,36,80.6,15,31,46,16,20,6,4,21,-15
