MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - DEN @ MEM",W,48,126,46,89,51.7,12,36,33.3,22,26,84.6,16,38,54,32,18,9,5,17,15
"Apr 12, 2024 - DEN @ SAS",L,48,120,49,97,50.5,13,36,36.1,9,10,90.0,6,27,33,31,9,9,4,19,-1
"Apr 10, 2024 - DEN vs. MIN",W,48,116,46,83,55.4,11,25,44.0,13,23,56.5,11,33,44,31,14,7,8,21,9
"Apr 09, 2024 - DEN @ UTA",W,48,111,46,94,48.9,14,37,37.8,5,11,45.5,13,30,43,30,10,12,12,10,16
"Apr 06, 2024 - DEN vs. ATL",W,48,142,53,88,60.2,23,41,56.1,13,16,81.3,6,41,47,38,17,9,7,21,32
"Apr 04, 2024 - DEN @ LAC",L,48,100,36,83,43.4,11,35,31.4,17,25,68.0,6,45,51,27,14,3,4,19,-2
"Apr 02, 2024 - DEN vs. SAS",W,48,110,43,98,43.9,11,34,32.4,13,16,81.3,11,41,52,28,8,5,10,15,5
"Mar 31, 2024 - DEN vs. CLE",W,48,130,50,87,57.5,21,33,63.6,9,13,69.2,11,40,51,36,17,7,4,19,29
"Mar 29, 2024 - DEN vs. MIN",L,48,98,35,88,39.8,8,28,28.6,20,27,74.1,13,33,46,29,13,6,1,24,-13
"Mar 27, 2024 - DEN vs. PHX",L,48,97,38,88,43.2,10,40,25.0,11,12,91.7,9,29,38,24,8,9,4,13,-7
"Mar 25, 2024 - DEN vs. MEM",W,48,128,48,90,53.3,15,32,46.9,17,18,94.4,15,35,50,38,16,10,7,23,25
"Mar 23, 2024 - DEN @ POR",W,48,114,41,91,45.1,8,24,33.3,24,33,72.7,19,30,49,25,14,8,9,17,3
"Mar 21, 2024 - DEN vs. NYK",W,48,113,45,84,53.6,6,20,30.0,17,20,85.0,9,33,42,31,10,5,4,14,13
"Mar 19, 2024 - DEN @ MIN",W,48,115,42,81,51.9,14,27,51.9,17,22,77.3,11,38,49,26,17,5,1,19,3
"Mar 17, 2024 - DEN @ DAL",L,48,105,37,84,44.0,12,28,42.9,19,22,86.4,6,31,37,26,8,7,6,16,-2
"Mar 15, 2024 - DEN @ SAS",W,48,117,49,89,55.1,10,25,40.0,9,12,75.0,7,33,40,37,13,13,5,20,11
"Mar 13, 2024 - DEN @ MIA",W,48,100,40,82,48.8,11,33,33.3,9,13,69.2,7,34,41,24,10,4,2,13,12
"Mar 11, 2024 - DEN vs. TOR",W,48,125,52,95,54.7,10,29,34.5,11,18,61.1,11,31,42,36,9,8,8,14,6
"Mar 09, 2024 - DEN vs. UTA",W,48,142,55,83,66.3,19,32,59.4,13,16,81.3,5,27,32,40,14,8,10,22,21
"Mar 07, 2024 - DEN vs. BOS",W,48,115,45,90,50.0,4,21,19.0,21,22,95.5,8,37,45,27,8,10,4,19,6
"Mar 05, 2024 - DEN vs. PHX",L,53,107,41,96,42.7,15,40,37.5,10,14,71.4,10,41,51,25,15,6,6,15,-10
"Mar 02, 2024 - DEN @ LAL",W,48,124,54,92,58.7,11,26,42.3,5,7,71.4,11,36,47,34,10,5,7,8,10
"Feb 29, 2024 - DEN vs. MIA",W,48,103,36,84,42.9,12,34,35.3,19,21,90.5,9,32,41,22,15,10,8,23,6
