MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - WAS @ BOS",L,48,122,49,103,47.6,14,38,36.8,10,10,100,8,28,36,33,12,9,4,16,-10
"Apr 12, 2024 - WAS vs. CHI",L,48,127,45,86,52.3,18,43,41.9,19,29,65.5,4,35,39,32,12,6,5,22,-2
"Apr 09, 2024 - WAS @ MIN",L,48,121,44,89,49.4,20,43,46.5,13,17,76.5,7,34,41,26,13,5,4,22,-9
"Apr 07, 2024 - WAS @ TOR",L,48,122,42,89,47.2,16,40,40.0,22,30,73.3,8,35,43,29,15,9,11,25,-8
"Apr 05, 2024 - WAS vs. POR",L,48,102,38,88,43.2,5,33,15.2,21,30,70.0,12,33,45,24,10,9,5,21,-6
"Apr 03, 2024 - WAS vs. LAL",L,48,120,45,91,49.5,18,42,42.9,12,13,92.3,6,33,39,26,18,11,4,22,-5
"Apr 02, 2024 - WAS vs. MIL",W,48,117,47,93,50.5,9,38,23.7,14,17,82.4,5,39,44,26,11,9,2,20,4
"Mar 31, 2024 - WAS vs. MIA",L,48,107,40,88,45.5,11,38,28.9,16,21,76.2,7,35,42,27,16,6,1,22,-12
"Mar 29, 2024 - WAS vs. DET",L,48,87,36,88,40.9,9,33,27.3,6,8,75.0,9,38,47,22,19,2,4,18,-9
"Mar 27, 2024 - WAS vs. BKN",L,53,119,46,91,50.5,14,34,41.2,13,17,76.5,5,39,44,26,14,4,4,21,-3
"Mar 25, 2024 - WAS @ CHI",W,48,107,39,97,40.2,14,49,28.6,15,18,83.3,14,38,52,32,14,8,5,21,2
"Mar 23, 2024 - WAS vs. TOR",W,48,112,44,92,47.8,11,35,31.4,13,19,68.4,16,39,55,28,18,7,8,18,3
"Mar 21, 2024 - WAS vs. SAC",W,48,109,41,81,50.6,10,25,40.0,17,23,73.9,10,35,45,20,20,9,3,19,7
"Mar 19, 2024 - WAS vs. HOU",L,48,114,42,98,42.9,15,39,38.5,15,20,75.0,17,27,44,24,11,6,2,27,-23
"Mar 17, 2024 - WAS vs. BOS",L,48,104,41,89,46.1,10,34,29.4,12,14,85.7,10,30,40,24,16,3,5,20,-26
"Mar 16, 2024 - WAS @ CHI",L,48,98,36,84,42.9,13,32,40.6,13,22,59.1,9,23,32,27,16,12,7,21,-29
"Mar 14, 2024 - WAS @ HOU",L,48,119,46,93,49.5,12,38,31.6,15,19,78.9,7,25,32,29,14,11,2,19,-16
"Mar 12, 2024 - WAS @ MEM",L,48,97,37,82,45.1,11,36,30.6,12,16,75.0,4,24,28,26,13,9,3,18,-12
"Mar 10, 2024 - WAS @ MIA",W,48,110,39,81,48.1,16,39,41.0,16,22,72.7,6,34,40,35,15,5,5,18,2
"Mar 08, 2024 - WAS vs. CHA",W,48,112,43,87,49.4,6,33,18.2,20,23,87.0,10,44,54,25,11,5,11,20,12
"Mar 06, 2024 - WAS vs. ORL",L,48,109,40,88,45.5,12,38,31.6,17,20,85.0,9,26,35,26,9,7,4,20,-10
"Mar 04, 2024 - WAS @ UTA",L,48,115,40,94,42.6,16,38,42.1,19,23,82.6,10,33,43,26,15,6,3,15,-12
"Mar 01, 2024 - WAS @ LAC",L,48,115,46,98,46.9,12,34,35.3,11,15,73.3,9,30,39,29,10,5,3,17,-25
"Feb 29, 2024 - WAS @ LAL",L,53,131,52,102,51.0,17,41,41.5,10,12,83.3,10,35,45,35,15,6,6,19,-3
"Feb 27, 2024 - WAS vs. GSW",L,48,112,46,93,49.5,12,35,34.3,8,10,80.0,11,30,41,34,21,5,5,12,-11
"Feb 25, 2024 - WAS vs. CLE",L,48,105,40,90,44.4,12,40,30.0,13,18,72.2,4,36,40,29,9,6,2,22,-9
