DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Mar 09, 2020",CHA,ATL,A,L,109.0,37.0,82.0,45.1,17.0,34.0,50.0,18.0,22.0,81.8,15.0,35.0,50.0,20.0,14.0,7.0,4.0,9.0,11.0
"Mar 07, 2020",CHA,HOU,H,W,123.5,43.0,93.0,46.1,18.0,41.0,44.8,19.5,22.5,86.55,11.5,31.0,42.5,25.5,9.5,8.0,5.0,15.5,3.0
"Mar 05, 2020",CHA,DEN,H,L,118.33,41.0,85.33,48.37,17.0,38.0,45.5,19.33,23.33,83.03,9.67,28.67,38.33,26.67,12.0,7.67,3.67,15.33,5.0
"Mar 03, 2020",CHA,SAS,H,L,116.75,40.25,83.25,48.62,16.0,36.75,43.98,20.25,24.5,82.8,9.5,27.75,37.25,26.0,12.5,7.5,3.25,17.25,3.25
"Mar 01, 2020",CHA,MIL,H,L,114.0,40.0,83.0,48.42,15.2,35.2,43.46,18.8,23.2,80.68,10.4,28.6,39.0,25.8,13.4,6.8,3.0,17.0,2.4
"Feb 28, 2020",CHA,TOR,A,W,109.17,39.0,85.17,46.25,14.0,35.17,40.03,17.17,21.0,82.23,10.67,29.67,40.33,25.17,12.83,6.83,3.83,17.17,0.67
"Feb 26, 2020",CHA,NYK,H,W,107.71,38.29,84.14,45.87,13.86,34.43,40.5,17.29,21.57,80.77,10.71,32.14,42.86,24.86,13.57,6.29,4.43,17.86,1.0
"Feb 25, 2020",CHA,IND,A,L,107.62,38.38,84.0,46.01,13.38,33.88,39.6,17.5,22.0,80.17,10.62,31.5,42.12,24.88,13.62,6.38,4.38,18.0,1.62
"Feb 22, 2020",CHA,BKN,H,L,104.56,37.56,85.0,44.6,13.0,33.78,38.57,16.44,21.56,76.2,10.89,30.89,41.78,24.56,13.33,6.78,4.0,17.44,-2.89
"Feb 20, 2020",CHA,CHI,A,W,102.7,36.9,85.3,43.66,12.9,33.9,38.14,16.0,21.5,74.29,10.7,31.4,42.1,24.3,13.3,6.6,3.8,17.3,-5.5
"Feb 12, 2020",CHA,MIN,A,W,102.73,36.73,84.27,43.99,12.45,33.36,37.27,16.82,22.18,75.37,10.55,31.73,42.27,24.09,13.73,6.82,3.82,17.18,-4.09
"Feb 10, 2020",CHA,DET,A,W,103.75,37.25,84.92,44.22,12.58,33.42,37.6,16.67,22.25,74.53,10.67,32.42,43.08,23.92,13.75,6.83,3.83,17.08,-3.17
"Feb 08, 2020",CHA,DAL,H,L,102.46,36.92,85.15,43.7,12.31,33.62,36.63,16.31,21.62,75.38,10.85,32.38,43.23,23.54,13.62,7.08,3.77,16.92,-2.08
"Feb 04, 2020",CHA,HOU,A,L,102.29,37.0,85.29,43.7,12.21,33.79,36.2,16.07,21.36,75.16,10.93,32.0,42.93,22.93,13.43,6.93,3.79,16.64,-3.07
"Feb 03, 2020",CHA,ORL,H,L,102.8,37.13,85.13,43.92,12.27,33.73,36.41,16.27,21.53,75.43,11.0,32.6,43.6,22.87,13.67,6.6,3.67,16.73,-3.87
"Feb 01, 2020",CHA,SAS,A,L,102.62,37.38,85.38,44.06,12.06,33.56,35.95,15.81,21.06,74.73,11.25,32.5,43.75,22.94,13.56,6.69,3.56,16.69,-4.38
"Jan 30, 2020",CHA,WAS,A,L,101.88,37.24,85.24,43.95,11.94,33.71,35.47,15.47,20.53,75.24,10.94,32.41,43.35,23.29,13.76,6.59,3.76,16.76,-5.53
"Jan 28, 2020",CHA,NYK,H,W,102.17,37.56,86.0,43.92,11.78,33.5,35.17,15.28,20.44,74.57,11.22,31.83,43.06,23.78,13.5,6.72,3.78,17.17,-6.0
"Jan 24, 2020",CHA,MIL,H,L,101.89,37.37,86.11,43.64,11.58,33.42,34.63,15.58,20.79,74.74,11.47,32.0,43.47,23.68,13.53,6.63,3.79,17.0,-5.42
"Jan 20, 2020",CHA,ORL,H,L,101.95,37.1,86.1,43.32,11.7,33.7,34.7,16.05,21.25,75.16,11.3,31.95,43.25,23.7,13.5,6.6,3.75,17.25,-5.8
"Jan 15, 2020",CHA,DEN,A,L,101.05,36.71,85.62,43.07,11.62,33.67,34.49,16.0,21.19,75.16,11.19,31.86,43.05,23.57,13.71,6.48,3.81,17.29,-6.62
"Jan 13, 2020",CHA,POR,A,L,100.36,36.55,85.41,42.96,11.64,33.73,34.48,15.64,20.86,74.34,11.09,31.91,43.0,23.77,13.77,6.36,3.91,17.59,-6.95
"Jan 12, 2020",CHA,PHX,A,L,100.87,36.7,85.61,43.03,11.91,33.91,35.04,15.57,20.74,74.49,11.04,31.91,42.96,23.78,13.52,6.39,3.87,17.7,-6.78
