MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Mar 07, 2020 - GSW vs. PHI",W,107.0,37.0,79.0,46.8,11.0,38.0,28.9,22.0,27.0,81.5,4.0,31.0,35.0,25.0,10.0,3.0,0.0,17.0,-24.0
"Mar 05, 2020 - GSW vs. TOR",L,112.5,40.5,79.5,50.9,10.0,31.5,32.45,21.5,27.5,78.25,5.5,29.5,35.0,27.5,8.5,3.5,1.0,18.0,-10.0
"Mar 03, 2020 - GSW @ DEN",W,112.67,40.33,85.67,47.53,11.33,38.33,30.6,20.67,26.67,77.5,8.33,32.33,40.67,29.67,11.0,3.67,2.33,19.67,-9.33
"Mar 01, 2020 - GSW vs. WAS",L,113.5,40.75,84.75,48.45,13.0,39.0,33.93,19.0,25.5,74.03,7.5,31.75,39.25,30.0,11.0,4.75,2.5,20.5,-3.0
"Feb 29, 2020 - GSW @ PHX",W,112.8,41.0,85.6,48.2,12.2,36.8,33.56,18.6,25.2,73.38,9.6,32.2,41.8,29.0,13.2,5.2,3.4,21.2,-5.2
"Feb 27, 2020 - GSW vs. LAL",L,113.17,41.0,85.83,48.02,11.67,35.67,32.97,19.5,26.33,73.65,10.17,32.83,43.0,29.17,12.67,5.83,3.83,21.17,-1.67
"Feb 25, 2020 - GSW vs. SAC",L,109.29,40.0,85.0,47.23,11.29,35.14,32.27,18.0,24.0,75.99,9.43,32.71,42.14,28.86,14.71,6.0,3.71,22.0,-5.71
"Feb 23, 2020 - GSW vs. NOP",L,107.38,39.38,84.25,46.86,10.38,34.25,30.03,18.25,24.0,76.9,8.88,32.25,41.12,27.88,15.0,6.12,3.5,22.38,-7.25
"Feb 20, 2020 - GSW vs. HOU",L,106.67,39.44,85.11,46.49,10.44,34.33,30.18,17.33,23.0,75.77,9.11,32.78,41.89,27.89,15.0,6.44,3.89,21.67,-8.0
"Feb 12, 2020 - GSW @ PHX",L,106.5,39.9,85.5,46.78,10.1,34.2,29.28,16.6,21.9,76.52,9.5,32.2,41.7,27.7,15.8,6.9,4.2,21.1,-10.2
"Feb 10, 2020 - GSW vs. MIA",L,106.45,39.82,84.73,47.13,10.18,33.91,29.85,16.64,21.64,77.7,9.0,32.36,41.36,27.64,16.36,7.0,4.45,21.0,-9.82
"Feb 08, 2020 - GSW vs. LAL",L,106.0,39.0,84.08,46.45,10.25,33.92,30.06,17.75,22.67,78.58,8.75,32.5,41.25,27.25,16.33,7.08,4.25,21.0,-10.0
"Feb 05, 2020 - GSW @ BKN",L,107.08,39.54,84.46,46.85,10.46,33.77,30.87,17.54,22.69,77.55,8.69,31.92,40.62,27.54,16.46,7.69,4.38,21.46,-9.62
"Feb 03, 2020 - GSW @ WAS",W,105.71,39.21,85.29,46.11,10.07,34.14,29.58,17.21,22.36,77.16,8.57,31.57,40.14,27.0,15.79,7.57,4.57,20.93,-11.86
"Feb 01, 2020 - GSW @ CLE",W,107.0,39.47,85.4,46.33,10.4,33.87,30.94,17.67,22.93,77.18,8.8,31.6,40.4,27.27,15.67,7.6,4.67,21.2,-10.53
