DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 12, 2020",OKC,MIA,H,W,103.0,38.0,106.0,35.8,14.0,44.0,31.8,13.0,22.0,59.1,11.0,37.0,48.0,18.0,16.0,5.0,6.0,29.0,-4.0
"Aug 10, 2020",OKC,PHX,A,L,109.5,38.5,97.5,39.8,15.0,43.0,34.95,17.5,24.5,70.3,12.5,36.5,49.0,19.0,16.0,6.0,5.0,24.0,-1.5
"Aug 09, 2020",OKC,WAS,H,W,106.67,37.33,95.0,39.5,14.33,41.67,34.4,17.67,23.33,75.43,11.0,35.0,46.0,20.67,17.0,7.33,4.0,23.67,-10.0
"Aug 07, 2020",OKC,MEM,A,L,110.25,38.75,92.25,42.42,15.25,41.0,37.35,17.5,23.0,75.9,10.25,35.0,45.25,21.75,15.75,7.25,3.75,22.25,-3.0
"Aug 05, 2020",OKC,LAL,A,W,106.6,37.8,93.2,40.96,14.8,41.4,35.92,16.2,21.4,75.38,10.6,32.8,43.4,21.2,14.6,8.2,3.4,21.8,-8.2
"Aug 03, 2020",OKC,DEN,H,L,106.33,37.17,90.83,41.3,13.17,38.5,33.4,18.83,23.83,77.63,9.5,35.33,44.83,20.5,14.5,8.33,3.17,22.0,-3.67
"Aug 01, 2020",OKC,UTA,H,W,107.29,37.14,90.29,41.47,13.43,38.14,34.59,19.57,24.86,77.6,9.29,35.14,44.43,20.43,14.71,7.71,3.43,23.43,-4.29
"Mar 08, 2020",OKC,BOS,A,W,107.62,37.62,88.62,42.94,13.0,36.62,35.08,19.38,24.75,77.28,9.5,35.25,44.75,20.25,15.62,7.88,4.0,23.12,-1.75
"Mar 06, 2020",OKC,NYK,A,W,107.33,37.33,87.56,43.09,12.67,35.33,35.62,20.0,25.78,76.86,8.89,35.22,44.11,19.78,15.89,8.0,4.33,23.0,-1.44
"Mar 04, 2020",OKC,DET,A,W,109.2,38.3,88.4,43.68,12.6,34.9,35.93,20.0,25.7,77.17,9.0,34.5,43.5,20.4,14.7,8.0,4.5,22.5,1.0
"Mar 03, 2020",OKC,LAC,H,L,109.64,39.0,87.18,45.28,12.36,33.91,36.45,19.27,24.91,76.57,8.36,34.18,42.55,20.82,14.82,8.45,4.82,22.09,1.55
"Feb 28, 2020",OKC,MIL,A,L,108.33,38.58,86.67,45.01,12.08,33.42,36.09,19.08,25.0,75.64,8.33,34.25,42.58,20.42,14.83,8.33,5.0,22.08,0.17
"Feb 27, 2020",OKC,SAC,H,W,106.62,38.15,87.0,44.34,11.62,33.54,34.63,18.69,24.62,75.21,8.08,34.0,42.08,19.92,14.77,8.31,4.85,21.54,-3.46
