MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 11, 2020 - ORL vs. BKN",L,133.0,48.0,84.0,57.1,15.0,28.0,53.6,22.0,30.0,73.3,6.0,27.0,33.0,25.0,12.0,6.0,2.0,22.0,6.0
"Aug 09, 2020 - ORL @ BOS",L,114.5,40.0,83.5,47.85,11.0,25.5,42.0,23.5,29.5,79.75,9.0,32.0,41.0,19.0,14.5,7.5,2.5,23.0,-3.0
"Aug 07, 2020 - ORL @ PHI",L,116.0,40.33,89.67,45.3,12.33,32.67,38.63,23.0,28.33,81.37,10.0,34.67,44.67,20.67,14.33,7.33,3.0,23.67,-3.0
"Aug 05, 2020 - ORL vs. TOR",L,112.25,39.5,89.25,44.48,11.25,32.5,35.23,22.0,27.5,80.03,10.0,35.25,45.25,19.75,13.5,6.75,2.75,23.75,-4.0
"Aug 04, 2020 - ORL @ IND",L,109.6,38.6,88.8,43.62,11.2,34.2,33.54,21.2,27.2,77.86,9.6,35.2,44.8,21.0,13.4,7.0,3.0,24.2,-5.2
"Aug 02, 2020 - ORL vs. SAC",W,109.5,38.67,87.67,44.28,11.33,34.17,33.83,20.83,26.5,78.65,9.83,34.67,44.5,21.0,14.17,6.33,2.83,23.83,-6.17
"Jul 31, 2020 - ORL @ BKN",W,112.71,39.29,86.86,45.44,12.29,34.71,35.77,21.86,27.71,78.84,10.14,34.57,44.71,22.43,14.71,6.86,3.0,24.0,-3.0
"Mar 10, 2020 - ORL @ MEM",W,114.62,40.12,86.88,46.38,12.12,34.25,35.74,22.25,27.75,80.15,9.62,34.75,44.38,23.5,14.62,7.0,3.0,23.88,-1.38
"Mar 08, 2020 - ORL @ HOU",W,115.22,40.44,87.44,46.41,12.33,34.11,36.48,22.0,27.11,81.34,9.89,34.11,44.0,24.33,14.78,7.33,3.0,24.11,-0.67
"Mar 06, 2020 - ORL @ MIN",W,116.3,40.8,87.8,46.61,12.4,33.6,37.31,22.3,27.5,81.27,10.2,34.3,44.5,24.0,14.8,7.7,3.1,23.4,1.4
"Mar 04, 2020 - ORL @ MIA",L,117.73,41.73,87.45,47.89,11.91,32.45,36.95,22.36,27.82,80.63,9.82,34.73,44.55,24.64,14.45,7.45,3.27,22.91,2.55
"Mar 02, 2020 - ORL vs. POR",L,117.33,41.92,87.17,48.27,12.0,32.25,37.48,21.5,26.67,81.05,9.42,34.33,43.75,24.92,14.25,7.33,3.42,22.42,2.08
