DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 11, 2020",SAC,NOP,H,W,136.0,54.0,95.0,56.8,21.0,47.0,44.7,7.0,12.0,58.3,9.0,35.0,44.0,37.0,15.0,12.0,2.0,15.0,14.0
"Aug 09, 2020",SAC,HOU,H,L,124.0,48.5,91.5,52.85,16.0,36.5,43.5,11.0,14.0,76.05,11.5,33.0,44.5,32.0,18.0,8.0,4.0,18.5,10.0
"Aug 07, 2020",SAC,BKN,A,L,120.0,46.0,90.0,50.93,14.0,36.67,38.0,14.0,17.0,79.7,9.33,34.0,43.33,31.0,18.0,8.33,3.33,19.67,1.0
"Aug 06, 2020",SAC,NOP,H,W,116.5,44.0,89.75,48.88,13.5,37.5,36.0,15.0,18.75,78.53,10.25,34.75,45.0,28.0,17.25,7.0,3.5,21.25,-2.5
"Aug 04, 2020",SAC,DAL,H,L,121.2,45.2,90.4,49.86,14.0,36.6,38.5,16.8,21.6,77.36,10.8,33.0,43.8,27.6,15.4,7.8,3.4,21.0,1.0
"Aug 02, 2020",SAC,ORL,A,L,119.33,44.83,92.67,48.43,14.33,37.67,38.28,15.33,20.0,75.58,10.33,34.0,44.33,27.33,14.67,7.83,3.33,23.67,0.17
"Jul 31, 2020",SAC,SAS,A,L,118.86,44.86,92.43,48.59,13.43,36.29,36.9,15.71,20.29,76.47,10.14,33.43,43.57,27.71,14.71,8.14,2.86,24.29,-2.14
"Mar 08, 2020",SAC,TOR,H,L,119.0,45.0,92.75,48.56,13.25,36.5,36.24,15.75,20.25,76.91,9.88,33.5,43.38,27.0,15.12,8.5,2.75,24.38,-3.0
"Mar 07, 2020",SAC,POR,A,W,118.33,44.67,92.44,48.36,12.67,35.89,35.08,16.33,20.56,78.51,9.89,34.22,44.11,26.67,14.67,8.11,3.22,24.11,-3.22
"Mar 05, 2020",SAC,PHI,H,L,118.8,44.3,91.7,48.34,13.5,36.2,36.95,16.7,20.8,79.36,10.0,34.4,44.4,27.0,14.7,8.2,3.2,24.0,-1.7
"Mar 03, 2020",SAC,WAS,H,W,117.82,44.09,90.55,48.78,13.27,35.55,37.04,16.36,20.55,78.71,9.45,34.27,43.73,26.64,15.0,8.09,3.27,23.73,-3.09
