MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 11, 2020 - SAS vs. HOU",W,112.0,39.0,79.0,49.4,10.0,20.0,50.0,24.0,36.0,66.7,9.0,35.0,44.0,24.0,15.0,4.0,8.0,20.0,-6.0
"Aug 09, 2020 - SAS @ NOP",W,117.5,42.5,86.0,49.45,11.5,26.0,45.3,21.0,28.0,78.35,9.0,42.5,51.5,26.0,18.5,7.0,6.5,20.0,6.0
"Aug 07, 2020 - SAS vs. UTA",W,119.0,41.67,87.0,47.93,11.33,26.67,43.3,24.33,29.33,84.53,11.0,40.33,51.33,24.67,18.0,8.67,6.33,22.33,7.0
"Aug 05, 2020 - SAS vs. DEN",L,119.0,42.5,87.5,48.6,10.75,25.5,42.7,23.25,28.5,82.62,10.25,40.0,50.25,25.25,16.75,9.0,6.0,21.25,7.25
"Aug 03, 2020 - SAS @ PHI",L,120.4,43.2,88.6,48.78,10.8,26.4,41.5,23.2,28.2,83.14,10.2,37.0,47.2,26.0,15.2,9.2,5.8,21.0,4.6
"Aug 02, 2020 - SAS @ MEM",W,122.0,43.67,89.33,48.9,11.0,26.33,42.28,23.67,28.33,84.23,10.67,36.0,46.67,25.17,15.0,8.83,5.83,21.33,3.5
"Jul 31, 2020 - SAS vs. SAC",W,120.0,42.57,88.86,47.9,11.14,26.71,42.16,23.71,29.0,82.59,10.86,36.14,47.0,24.71,15.29,8.29,5.86,21.14,3.29
"Mar 10, 2020 - SAS vs. DAL",W,121.12,43.25,89.0,48.57,11.12,26.5,42.39,23.5,28.75,82.45,10.62,35.75,46.38,25.62,15.25,8.0,5.62,20.62,4.0
"Mar 08, 2020 - SAS @ CLE",L,120.89,43.56,89.0,48.92,11.56,27.11,42.89,22.22,27.22,82.18,10.11,35.56,45.67,26.33,14.89,8.33,6.11,20.0,4.67
"Mar 06, 2020 - SAS @ BKN",L,121.7,43.5,89.9,48.42,11.4,27.0,42.45,23.3,28.1,83.13,9.7,35.8,45.5,25.7,14.3,9.0,6.1,21.4,3.9
"Mar 03, 2020 - SAS @ CHA",W,121.55,43.45,90.09,48.26,11.27,27.64,41.26,23.36,28.0,83.65,9.0,35.82,44.82,25.64,13.55,8.45,6.0,21.27,1.82
"Mar 02, 2020 - SAS vs. IND",L,120.08,43.0,89.25,48.2,11.25,28.0,40.69,22.83,27.33,83.77,8.75,35.08,43.83,25.58,13.25,8.75,5.92,20.83,1.75
"Feb 29, 2020 - SAS vs. ORL",W,119.38,42.77,88.31,48.48,11.62,28.31,41.41,22.23,26.69,83.39,8.31,34.69,43.0,25.23,13.38,8.54,5.85,20.69,1.23
"Feb 26, 2020 - SAS vs. DAL",L,119.0,42.86,88.0,48.76,11.79,28.5,41.68,21.5,25.93,82.79,8.0,34.14,42.14,25.43,13.64,8.71,5.79,20.64,1.21
"Feb 23, 2020 - SAS @ OKC",L,117.93,42.6,88.27,48.34,11.73,28.8,41.12,21.0,25.47,82.19,8.33,34.67,43.0,25.2,13.8,8.67,5.87,20.67,0.73
"Feb 21, 2020 - SAS @ UTA",W,117.0,42.31,89.19,47.62,11.69,29.38,40.36,20.69,25.06,82.31,8.69,34.31,43.0,25.31,13.5,8.44,5.56,20.81,-1.06
"Feb 11, 2020 - SAS @ OKC",W,116.76,42.18,89.29,47.41,11.59,28.82,40.92,20.82,25.12,82.68,8.59,34.71,43.29,25.12,13.12,8.65,5.65,20.76,-0.47
"Feb 10, 2020 - SAS @ DEN",L,116.61,42.11,89.0,47.49,11.33,28.61,40.21,21.06,25.22,83.23,8.5,34.94,43.44,24.83,13.06,8.67,5.72,20.67,0.0
"Feb 08, 2020 - SAS @ SAC",L,116.79,42.05,88.79,47.53,11.58,28.79,40.72,21.11,25.21,83.48,8.53,34.53,43.05,25.26,12.89,8.58,5.47,20.47,-0.37
"Feb 06, 2020 - SAS @ POR",L,116.05,42.0,88.4,47.68,11.35,28.55,40.14,20.7,24.85,82.92,8.5,34.45,42.95,25.15,13.0,8.5,5.4,20.55,-1.35
"Feb 04, 2020 - SAS @ LAL",L,116.1,41.95,88.57,47.53,11.29,28.52,39.93,20.9,25.0,83.22,8.48,34.29,42.76,25.14,12.57,8.52,5.29,20.05,-1.67
"Feb 03, 2020 - SAS @ LAC",L,115.45,41.86,88.68,47.37,11.36,28.45,40.3,20.36,24.55,82.16,8.41,33.68,42.09,24.95,12.27,8.41,5.14,19.86,-2.82
"Feb 01, 2020 - SAS vs. CHA",W,115.0,41.78,88.96,47.14,11.39,28.83,39.96,20.04,24.17,82.13,8.3,33.96,42.26,24.78,12.09,8.26,5.3,19.87,-2.83
"Jan 29, 2020 - SAS vs. UTA",W,114.96,41.92,88.88,47.33,11.33,28.79,39.78,19.79,24.04,81.48,8.25,34.08,42.33,24.88,12.08,8.46,5.17,19.62,-1.71
"Jan 27, 2020 - SAS @ CHI",L,115.44,42.08,88.6,47.68,11.2,28.88,39.22,20.08,24.28,81.82,8.08,33.96,42.04,24.8,11.96,8.32,5.04,19.92,-1.36
"Jan 26, 2020 - SAS vs. TOR",L,115.19,41.92,88.35,47.63,11.15,28.73,39.25,20.19,24.65,81.28,8.23,34.0,42.23,24.65,11.96,8.08,5.08,19.62,-1.35
"Jan 24, 2020 - SAS vs. PHX",L,114.85,41.63,88.11,47.4,11.33,29.04,39.4,20.26,24.63,81.66,8.19,34.26,42.44,24.74,12.15,7.96,5.19,19.44,-1.44
"Jan 22, 2020 - SAS @ NOP",W,114.29,41.32,87.75,47.22,11.11,28.89,38.71,20.54,24.93,81.78,8.25,34.21,42.46,24.54,12.21,8.0,5.29,19.54,-1.54
"Jan 20, 2020 - SAS @ PHX",W,114.52,41.45,87.79,47.34,11.1,28.83,38.78,20.52,24.93,81.71,8.28,34.24,42.52,24.28,12.17,7.97,5.24,19.66,-1.34
"Jan 19, 2020 - SAS vs. MIA",W,114.7,41.5,87.77,47.41,11.3,28.9,39.31,20.4,24.83,81.57,8.2,33.93,42.13,24.47,12.07,8.1,5.3,19.77,-1.23
"Jan 17, 2020 - SAS vs. ATL",L,114.45,41.32,87.68,47.25,11.32,29.03,39.22,20.48,24.81,82.03,8.23,33.94,42.16,24.55,12.03,8.0,5.26,19.71,-1.03
"Jan 15, 2020 - SAS @ MIA",L,114.62,41.44,88.0,47.2,11.22,29.03,38.85,20.53,24.75,82.45,8.41,33.94,42.34,24.66,12.12,8.12,5.28,19.94,-1.03
"Jan 12, 2020 - SAS @ TOR",W,114.18,41.36,88.03,47.1,11.18,29.15,38.59,20.27,24.45,82.38,8.33,33.97,42.3,24.58,12.0,8.12,5.24,19.85,-1.18
"Jan 10, 2020 - SAS @ MEM",L,113.91,41.26,88.0,47.0,11.06,29.24,38.1,20.32,24.62,82.11,8.35,34.21,42.56,24.56,11.97,8.06,5.24,19.59,-1.12
"Jan 08, 2020 - SAS @ BOS",W,114.11,41.29,87.97,47.04,11.23,29.54,38.23,20.31,24.57,82.25,8.26,34.14,42.4,24.69,11.94,7.91,5.26,19.51,-1.46
"Jan 06, 2020 - SAS vs. MIL",W,114.53,41.47,87.94,47.26,11.17,29.53,38.03,20.42,24.61,82.53,8.25,34.33,42.58,24.78,12.03,7.94,5.28,19.67,-1.0
"Jan 04, 2020 - SAS @ MIL",L,114.84,41.57,87.95,47.37,11.38,29.68,38.47,20.32,24.46,82.72,8.3,34.59,42.89,24.73,12.05,7.84,5.19,19.57,-0.38
"Jan 02, 2020 - SAS vs. OKC",L,114.92,41.47,88.05,47.21,11.37,29.74,38.36,20.61,24.71,82.94,8.37,34.71,43.08,24.61,11.95,7.82,5.05,19.58,-0.61
"Dec 31, 2019 - SAS vs. GSW",W,114.62,41.44,88.15,47.11,11.41,29.77,38.45,20.33,24.38,82.95,8.51,34.62,43.13,24.54,11.87,7.64,5.13,19.64,-0.74
"Dec 28, 2019 - SAS vs. DET",W,114.67,41.52,88.35,47.11,11.47,29.8,38.62,20.15,24.2,82.79,8.55,34.83,43.38,24.68,11.82,7.6,5.15,19.6,-0.62
"Dec 26, 2019 - SAS @ DAL",L,115.2,41.8,88.46,47.35,11.63,29.93,38.93,19.95,23.98,82.72,8.51,35.05,43.56,24.8,11.8,7.61,5.2,19.61,0.05
"Dec 23, 2019 - SAS @ MEM",W,114.79,41.76,88.33,47.37,11.55,29.9,38.66,19.71,23.76,82.34,8.43,35.17,43.6,24.64,11.83,7.64,5.24,19.52,-0.05
"Dec 21, 2019 - SAS vs. LAC",L,115.49,42.19,88.35,47.83,11.63,29.77,39.22,19.49,23.53,82.09,8.33,35.33,43.65,24.91,11.84,7.67,5.21,19.4,0.65
"Dec 19, 2019 - SAS vs. BKN",W,115.34,42.18,88.2,47.91,11.59,29.73,39.14,19.39,23.43,82.01,8.23,35.25,43.48,24.89,11.98,7.61,5.27,19.41,0.07
"Dec 16, 2019 - SAS @ HOU",L,115.4,42.2,88.38,47.84,11.62,29.8,39.14,19.38,23.42,82.03,8.33,35.22,43.56,24.91,11.96,7.67,5.33,19.4,0.36
"Dec 14, 2019 - SAS @ PHX",W,115.22,42.13,88.43,47.73,11.63,29.87,39.08,19.33,23.35,82.09,8.33,35.43,43.76,24.87,12.09,7.61,5.3,19.46,0.3
"Dec 12, 2019 - SAS vs. CLE",L,115.34,42.17,88.81,47.6,11.55,29.87,38.82,19.45,23.57,81.91,8.36,35.79,44.15,24.83,12.06,7.57,5.38,19.51,0.34
"Dec 06, 2019 - SAS vs. SAC",W,115.21,42.17,88.75,47.63,11.42,29.58,38.66,19.46,23.6,81.87,8.23,35.75,43.98,24.71,12.06,7.65,5.42,19.54,0.17
"Dec 03, 2019 - SAS vs. HOU",W,115.0,42.14,88.9,47.53,11.41,29.63,38.58,19.31,23.47,81.64,8.33,35.82,44.14,24.71,12.14,7.69,5.41,19.47,0.18
"Dec 01, 2019 - SAS @ DET",L,115.4,42.3,89.24,47.52,11.44,29.64,38.67,19.36,23.64,81.38,8.4,35.98,44.38,24.92,12.32,7.74,5.46,19.62,0.22
"Nov 29, 2019 - SAS vs. LAC",W,115.06,42.18,89.22,47.39,11.35,29.57,38.44,19.35,23.61,81.48,8.37,35.75,44.12,24.82,12.24,7.8,5.47,19.53,-0.45
"Nov 27, 2019 - SAS vs. MIN",L,114.9,42.13,89.29,47.31,11.4,29.69,38.45,19.23,23.42,81.7,8.37,35.83,44.19,24.88,12.21,7.81,5.52,19.44,-0.25
"Nov 25, 2019 - SAS vs. LAL",L,114.64,42.11,89.43,47.21,11.28,29.68,38.05,19.13,23.3,81.71,8.36,35.87,44.23,24.89,12.09,7.74,5.57,19.42,-0.47
"Nov 23, 2019 - SAS @ NYK",W,114.44,42.09,89.41,47.2,11.26,29.59,38.08,19.0,23.15,81.68,8.37,35.8,44.17,24.85,12.11,7.67,5.56,19.46,-0.65
"Nov 22, 2019 - SAS @ PHI",L,114.38,42.05,89.15,47.31,11.27,29.47,38.34,19.0,23.24,81.43,8.38,35.84,44.22,24.87,12.29,7.65,5.51,19.42,-0.51
"Nov 20, 2019 - SAS @ WAS",L,114.2,42.07,89.07,47.37,11.18,29.27,38.25,18.88,23.11,81.32,8.29,35.71,44.0,24.8,12.27,7.62,5.46,19.34,-0.7
"Nov 18, 2019 - SAS @ DAL",L,114.51,42.19,89.14,47.46,11.19,29.32,38.24,18.93,23.21,81.22,8.35,35.6,43.95,24.93,12.26,7.63,5.51,19.23,-0.79
"Nov 16, 2019 - SAS vs. POR",L,114.43,42.22,89.26,47.43,11.14,29.22,38.15,18.84,23.09,81.33,8.5,35.52,44.02,24.81,12.22,7.6,5.45,19.21,-0.9
"Nov 15, 2019 - SAS @ ORL",L,114.46,42.2,89.24,47.42,11.03,29.03,37.98,19.02,23.27,81.4,8.47,35.53,44.0,24.81,12.19,7.61,5.47,19.17,-0.97
"Nov 13, 2019 - SAS @ MIN",L,114.37,42.25,89.23,47.47,11.07,28.98,38.18,18.8,23.05,81.04,8.47,35.48,43.95,24.78,12.17,7.62,5.52,19.27,-0.98
"Nov 11, 2019 - SAS vs. MEM",L,114.36,42.28,89.25,47.5,10.93,28.79,37.84,18.87,23.15,81.01,8.49,35.46,43.95,24.77,12.16,7.56,5.49,19.33,-1.21
"Nov 09, 2019 - SAS vs. BOS",L,114.27,42.27,89.26,47.48,10.95,28.81,37.87,18.77,23.05,80.94,8.47,35.45,43.92,24.84,12.19,7.5,5.47,19.29,-1.26
"Nov 07, 2019 - SAS vs. OKC",W,114.29,42.22,89.41,47.36,11.0,28.83,38.01,18.84,23.16,80.87,8.67,35.46,44.13,24.83,12.24,7.4,5.51,19.33,-1.56
"Nov 05, 2019 - SAS @ ATL",L,114.39,42.36,89.48,47.46,10.97,28.69,38.12,18.7,22.97,81.03,8.72,35.45,44.17,24.94,12.25,7.36,5.47,19.36,-1.39
"Nov 03, 2019 - SAS vs. LAL",L,114.17,42.29,89.51,47.38,10.92,28.75,37.91,18.66,22.97,80.85,8.75,35.37,44.12,24.83,12.29,7.38,5.51,19.32,-1.49
"Nov 01, 2019 - SAS @ GSW",W,113.89,42.15,89.41,47.26,10.85,28.7,37.7,18.74,23.06,80.88,8.74,35.42,44.17,24.8,12.38,7.44,5.48,19.3,-1.58
"Oct 31, 2019 - SAS @ LAC",L,114.09,42.18,89.46,47.26,10.88,28.79,37.69,18.85,23.16,80.97,8.85,35.43,44.28,24.78,12.36,7.39,5.43,19.3,-1.3
"Oct 28, 2019 - SAS vs. POR",W,113.84,42.09,89.32,47.23,10.82,28.68,37.63,18.84,23.22,80.76,8.85,35.5,44.35,24.63,12.46,7.37,5.43,19.43,-1.37
"Oct 26, 2019 - SAS vs. WAS",W,113.83,42.07,89.26,47.24,10.77,28.58,37.54,18.91,23.35,80.68,8.83,35.61,44.43,24.64,12.54,7.33,5.48,19.42,-1.3
"Oct 23, 2019 - SAS vs. NYK",W,113.97,42.19,89.53,47.23,10.76,28.57,37.51,18.84,23.26,80.7,9.0,35.56,44.56,24.7,12.49,7.31,5.5,19.41,-1.26
