DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 15, 2021",CHI,BKN,A,L,118.0,45.0,87.0,51.7,14.0,32.0,43.8,14.0,19.0,73.7,8.0,37.0,45.0,23.0,16.0,8.0,8.0,20.0,6.0
"May 13, 2021",CHI,TOR,H,W,104.5,39.5,92.5,43.2,12.5,36.5,35.3,13.0,18.0,72.15,13.5,35.0,48.5,23.5,12.5,7.5,6.0,16.5,-4.0
"May 11, 2021",CHI,BKN,H,L,107.67,41.33,89.33,46.87,14.0,36.33,39.27,11.0,15.33,71.43,11.67,37.67,49.33,26.0,14.67,6.33,5.33,16.0,1.33
"May 09, 2021",CHI,DET,A,W,107.5,40.75,91.0,45.3,15.0,38.25,39.67,11.0,15.0,73.22,11.25,37.0,48.25,24.75,13.25,5.75,5.25,17.0,-1.0
"May 07, 2021",CHI,BOS,H,W,107.6,41.2,89.6,46.48,14.4,37.0,39.24,10.8,14.8,72.86,10.0,37.2,47.2,25.2,12.4,5.8,4.8,18.0,1.6
"May 06, 2021",CHI,CHA,A,W,109.83,41.5,91.17,45.97,15.0,37.5,40.2,11.83,15.33,76.45,10.83,37.17,48.0,25.33,11.83,6.5,4.67,18.33,5.0
"May 03, 2021",CHI,PHI,H,L,111.29,42.14,91.14,46.61,15.43,37.43,41.4,11.57,15.57,73.93,11.43,37.71,49.14,26.43,12.57,7.0,5.14,18.57,7.29
"May 01, 2021",CHI,ATL,A,L,109.12,41.38,90.62,45.96,14.88,37.0,40.27,11.5,15.38,74.51,11.5,36.5,48.0,26.25,12.88,7.0,4.75,18.12,4.88
"Apr 30, 2021",CHI,MIL,H,L,107.78,41.22,90.0,46.09,13.89,35.56,38.58,11.44,15.56,73.42,11.11,35.89,47.0,25.78,12.89,7.44,4.22,18.56,3.11
"Apr 28, 2021",CHI,NYK,A,L,106.8,40.8,90.6,45.33,13.5,35.3,37.75,11.7,16.1,72.75,11.4,35.9,47.3,25.5,12.6,7.2,4.3,18.5,1.8
"Apr 26, 2021",CHI,MIA,A,W,105.64,40.64,90.09,45.38,13.18,34.73,37.45,11.18,15.55,71.59,11.0,35.91,46.91,25.82,12.73,6.73,4.27,17.91,-0.09
"Apr 24, 2021",CHI,MIA,A,L,106.0,40.67,89.0,46.03,13.0,34.25,37.49,11.67,16.08,72.07,10.83,36.42,47.25,26.42,13.17,6.42,4.25,18.17,0.58
"Apr 22, 2021",CHI,CHA,H,W,105.62,40.46,88.23,46.19,13.0,34.54,37.24,11.69,15.85,73.62,10.46,36.38,46.85,26.54,13.54,6.46,4.08,18.31,0.15
"Apr 21, 2021",CHI,CLE,A,L,105.79,40.64,88.14,46.42,13.07,35.14,36.91,11.43,15.5,73.56,10.5,36.57,47.07,26.79,13.86,6.57,3.93,18.0,1.36
"Apr 19, 2021",CHI,BOS,A,W,105.73,40.53,87.53,46.62,13.07,35.27,36.79,11.6,15.67,73.84,10.27,36.4,46.67,26.8,14.27,6.53,3.93,18.4,0.2
"Apr 17, 2021",CHI,CLE,H,W,105.5,40.56,87.75,46.52,12.94,35.06,36.64,11.44,15.31,74.85,10.19,36.06,46.25,27.0,14.12,6.81,4.19,18.19,0.56
