DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021",CLE,WAS,A,L,109.0,38.0,85.0,44.7,12.0,39.0,30.8,21.0,31.0,67.7,11.0,34.0,45.0,16.0,16.0,8.0,5.0,14.0,-14.0
"May 12, 2021",CLE,BOS,H,W,107.0,38.5,84.5,45.55,11.0,37.5,29.3,19.0,26.0,74.35,9.0,35.5,44.5,20.0,16.5,6.0,4.0,17.5,-14.5
"May 10, 2021",CLE,IND,H,L,105.33,37.67,83.0,45.37,10.0,33.0,30.63,20.0,26.33,76.73,8.33,39.67,48.0,22.33,16.33,5.33,4.67,16.0,-7.0
"May 09, 2021",CLE,DAL,H,L,104.5,36.5,85.5,42.9,10.75,34.5,31.3,20.75,27.25,76.72,10.0,38.5,48.5,22.0,15.25,6.0,4.0,15.25,-7.5
"May 07, 2021",CLE,DAL,A,L,103.0,35.8,85.6,42.0,10.8,33.8,32.14,20.6,28.0,74.28,10.0,36.4,46.4,21.2,15.4,5.8,3.6,14.6,-11.4
"May 05, 2021",CLE,POR,H,L,100.83,35.17,85.17,41.43,10.0,33.0,30.23,20.5,27.67,74.72,10.17,35.67,45.83,20.5,15.33,5.83,3.0,15.17,-12.83
"May 04, 2021",CLE,PHX,H,L,101.43,35.43,86.14,41.26,10.43,33.71,30.8,20.14,27.43,73.93,10.43,34.86,45.29,20.86,14.43,6.29,3.0,15.57,-16.14
"May 01, 2021",CLE,MIA,H,L,103.5,36.12,86.62,41.8,10.75,33.12,32.55,20.5,27.38,75.34,10.25,34.62,44.88,21.88,14.88,5.88,3.0,15.25,-16.12
"Apr 30, 2021",CLE,WAS,H,L,103.89,36.22,85.22,42.71,11.78,33.89,34.49,19.67,26.22,75.47,10.11,34.11,44.22,22.78,15.33,5.56,3.11,15.44,-16.22
"Apr 28, 2021",CLE,ORL,H,L,102.8,36.0,84.9,42.59,11.3,33.8,33.16,19.5,26.4,74.35,10.5,33.9,44.4,22.4,16.3,5.6,3.2,15.6,-17.5
"Apr 26, 2021",CLE,TOR,A,L,102.91,36.09,85.55,42.37,11.36,34.73,32.63,19.36,26.18,74.41,10.73,33.73,44.45,23.09,16.0,6.18,3.18,15.55,-16.36
"Apr 25, 2021",CLE,WAS,A,L,102.33,36.08,85.33,42.46,11.25,35.0,32.1,18.92,25.33,75.5,10.58,33.25,43.83,23.25,15.83,6.17,3.17,15.58,-16.33
"Apr 23, 2021",CLE,CHA,A,L,102.92,36.38,84.77,43.14,11.15,34.38,32.48,19.0,25.31,75.85,10.54,32.77,43.31,23.62,16.08,6.08,3.23,16.31,-15.77
