DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021",HOU,LAC,H,W,95.0,31.0,92.0,33.7,18.0,63.0,28.6,15.0,20.0,75.0,11.0,32.0,43.0,25.0,16.0,8.0,5.0,18.0,-29.0
"May 12, 2021",HOU,LAL,A,L,108.5,38.5,89.0,43.6,16.0,50.0,33.2,15.5,21.0,73.85,9.5,32.5,42.0,27.5,16.0,6.0,4.5,19.0,-11.0
"May 10, 2021",HOU,POR,A,L,113.0,40.0,87.67,45.93,16.67,47.33,36.43,16.33,23.0,71.47,9.0,32.67,41.67,29.33,15.67,6.33,4.33,20.33,-8.0
"May 08, 2021",HOU,UTA,A,L,117.0,40.5,87.0,46.8,17.0,45.0,39.18,19.0,24.25,77.7,8.5,33.75,42.25,29.5,15.0,6.0,3.75,21.75,-8.75
"May 07, 2021",HOU,MIL,A,L,116.8,41.0,89.2,46.22,17.2,46.2,38.4,17.6,22.8,76.28,8.6,33.2,41.8,28.6,13.8,7.0,3.6,20.4,-8.6
"May 05, 2021",HOU,PHI,H,L,119.5,42.17,90.33,46.85,18.5,47.33,39.87,16.67,22.0,74.68,8.33,32.67,41.0,29.83,14.17,7.5,3.83,20.5,-8.5
"May 02, 2021",HOU,NYK,H,L,118.86,42.14,90.71,46.61,18.29,47.0,39.57,16.29,21.43,75.13,8.86,31.71,40.57,29.57,14.0,7.29,4.0,19.86,-10.14
"May 01, 2021",HOU,GSW,H,L,116.12,41.12,89.25,46.16,17.0,45.5,37.49,16.88,22.75,73.94,9.5,31.88,41.38,28.25,14.5,7.12,4.12,19.62,-12.0
"Apr 29, 2021",HOU,MIL,H,W,112.89,40.11,89.22,45.03,16.11,45.11,35.7,16.56,22.67,72.79,9.56,32.67,42.22,27.33,15.11,7.33,4.0,19.44,-13.56
"Apr 27, 2021",HOU,MIN,H,L,115.9,41.0,90.1,45.53,17.0,45.2,37.56,16.9,22.8,73.84,10.2,33.0,43.2,26.9,15.4,7.2,4.2,19.8,-11.5
