MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021 - MEM vs. SAC",W,101.0,40.0,92.0,43.5,6.0,25.0,24.0,15.0,19.0,78.9,12.0,27.0,39.0,25.0,13.0,12.0,5.0,21.0,-12.0
"May 13, 2021 - MEM vs. SAC",W,104.0,38.5,88.0,43.75,8.5,29.0,28.65,18.5,27.0,70.9,10.5,33.5,44.0,24.0,13.0,10.0,5.0,20.5,-5.5
"May 11, 2021 - MEM vs. DAL",W,108.0,40.67,88.67,45.83,9.33,30.33,30.2,17.33,24.0,75.03,11.0,34.33,45.33,26.0,14.67,7.33,6.33,18.0,-1.67
"May 10, 2021 - MEM vs. NOP",W,114.25,43.25,88.75,48.7,11.0,31.0,34.77,16.75,22.0,79.73,10.75,34.25,45.0,27.5,13.75,8.25,6.25,17.5,6.0
"May 08, 2021 - MEM @ TOR",W,114.4,43.6,89.2,48.86,10.6,30.8,33.82,16.6,23.0,75.64,10.6,35.2,45.8,28.6,13.4,8.2,8.8,17.4,5.8
"May 06, 2021 - MEM @ DET",L,113.5,42.67,88.5,48.17,11.17,32.83,33.62,17.0,23.5,75.22,11.17,36.33,47.5,27.83,14.0,8.0,8.67,18.0,6.5
"May 05, 2021 - MEM @ MIN",W,111.14,42.0,88.57,47.39,11.0,33.43,32.67,16.14,22.57,73.71,11.29,35.43,46.71,27.43,14.14,7.86,8.14,17.43,3.57
"May 03, 2021 - MEM vs. NYK",L,114.62,43.25,89.62,48.16,11.38,32.88,34.62,16.75,23.25,73.88,11.38,35.25,46.62,27.75,14.12,7.62,7.62,17.62,3.62
"May 01, 2021 - MEM @ ORL",L,113.44,42.22,89.22,47.2,11.89,33.78,35.11,17.11,23.33,74.92,11.56,35.0,46.56,27.56,13.89,7.56,7.22,17.22,1.67
"Apr 30, 2021 - MEM vs. ORL",W,113.2,42.4,89.9,47.06,11.7,33.3,35.05,16.7,23.1,73.62,12.1,35.3,47.4,26.9,14.2,7.4,7.5,17.5,1.4
"Apr 28, 2021 - MEM vs. POR",L,111.27,41.64,90.73,45.9,11.64,33.82,34.43,16.36,22.45,74.32,12.36,35.91,48.27,26.73,13.73,7.64,7.55,17.27,2.82
"Apr 26, 2021 - MEM @ DEN",L,111.08,41.25,90.5,45.58,11.42,33.67,33.9,17.17,23.08,75.35,12.0,35.92,47.92,26.67,13.5,7.58,7.42,17.58,0.83
"Apr 25, 2021 - MEM @ POR",W,109.92,40.69,89.77,45.3,10.85,33.54,32.25,17.69,23.69,75.51,11.54,36.15,47.69,26.15,13.69,7.62,7.31,17.92,-1.08
"Apr 23, 2021 - MEM @ POR",W,110.64,40.79,89.86,45.36,10.93,32.79,33.68,18.14,24.0,76.24,11.29,36.86,48.14,25.86,13.79,7.71,7.29,18.21,-0.5
"Apr 21, 2021 - MEM @ LAC",L,111.93,41.53,90.4,45.88,10.8,32.6,33.43,18.07,23.87,76.31,11.07,36.47,47.53,26.33,13.47,7.67,7.13,18.4,-0.33
"Apr 19, 2021 - MEM @ DEN",L,111.5,41.31,90.0,45.84,10.94,32.44,34.05,17.94,23.81,75.89,11.06,36.12,47.19,25.88,13.44,7.56,7.19,19.06,-1.06
"Apr 17, 2021 - MEM @ MIL",W,113.0,41.88,91.0,45.95,11.29,32.88,34.55,17.94,23.82,75.84,11.0,36.18,47.18,26.29,13.53,8.0,6.94,19.35,-1.12
"Apr 16, 2021 - MEM @ CHI",W,113.83,42.39,91.11,46.44,11.5,33.28,34.71,17.56,23.17,76.72,10.78,36.17,46.94,26.56,13.39,8.11,6.72,19.28,-0.33
"Apr 14, 2021 - MEM vs. DAL",L,114.47,42.53,90.84,46.75,11.79,33.63,35.12,17.63,23.21,76.85,10.53,36.16,46.68,26.89,13.0,8.16,6.58,19.16,0.26
"Apr 12, 2021 - MEM vs. CHI",W,114.4,42.5,90.8,46.75,11.85,33.65,35.27,17.55,23.1,76.81,10.55,36.05,46.6,26.9,12.7,8.1,6.4,19.1,0.2
"Apr 11, 2021 - MEM vs. IND",L,113.76,42.38,90.52,46.76,11.71,33.38,35.12,17.29,22.67,77.24,10.52,36.29,46.81,26.9,13.05,8.05,6.43,19.14,0.71
"Apr 09, 2021 - MEM @ NYK",L,114.27,42.86,91.64,46.73,11.45,32.77,34.89,17.09,22.5,76.84,11.14,35.82,46.95,26.91,12.73,8.18,6.41,18.82,0.36
"Apr 07, 2021 - MEM @ ATL",W,114.91,43.04,91.74,46.87,11.57,32.65,35.4,17.26,23.0,76.18,11.09,35.7,46.78,27.17,12.78,8.13,6.39,19.17,0.17
"Apr 06, 2021 - MEM @ MIA",W,115.58,43.25,91.62,47.17,11.79,32.96,35.7,17.29,22.92,76.58,11.08,36.0,47.08,27.29,12.83,8.0,6.33,19.08,0.92
"Apr 04, 2021 - MEM @ PHI",W,115.92,43.36,91.32,47.47,12.0,33.28,35.93,17.2,22.8,76.52,11.0,35.88,46.88,27.4,12.88,8.12,6.16,18.84,1.36
"Apr 02, 2021 - MEM vs. MIN",W,115.92,43.38,91.23,47.55,12.15,33.46,36.17,17.0,22.5,76.65,10.96,36.0,46.96,27.5,12.85,8.04,6.31,19.0,1.92
"Mar 31, 2021 - MEM vs. UTA",L,116.07,43.33,91.37,47.42,12.41,33.67,36.63,17.0,22.59,76.33,11.07,36.11,47.19,27.44,12.81,8.04,6.22,19.04,2.3
"Mar 29, 2021 - MEM @ HOU",W,115.75,43.29,91.32,47.4,12.14,33.11,36.32,17.04,22.61,76.4,11.07,36.07,47.14,27.29,12.75,8.11,6.14,19.07,2.07
"Mar 27, 2021 - MEM @ UTA",L,115.9,43.38,91.1,47.63,12.1,33.03,36.29,17.03,22.66,76.21,10.93,36.21,47.14,27.41,12.86,8.1,6.07,19.03,2.34
"Mar 26, 2021 - MEM @ UTA",L,115.7,43.23,91.3,47.38,12.0,33.03,35.99,17.23,22.9,76.22,11.1,36.03,47.13,27.3,12.93,8.37,5.93,18.87,1.73
"Mar 24, 2021 - MEM @ OKC",W,115.65,43.26,91.48,47.32,12.0,32.94,36.12,17.13,22.74,76.27,11.13,36.03,47.16,27.29,12.74,8.19,5.81,18.71,1.58
"Mar 22, 2021 - MEM vs. BOS",W,115.66,43.38,91.72,47.32,11.97,32.84,36.14,16.94,22.44,76.53,11.22,36.22,47.44,27.03,12.91,8.31,5.94,18.44,1.81
"Mar 20, 2021 - MEM vs. GSW",W,116.15,43.73,92.27,47.4,11.97,32.91,36.08,16.73,22.21,76.24,11.39,36.24,47.64,27.36,12.82,8.3,5.94,18.48,1.94
"Mar 19, 2021 - MEM vs. GSW",L,116.0,43.53,92.35,47.15,11.91,32.88,35.94,17.03,22.47,76.56,11.44,36.56,48.0,27.29,12.79,8.29,5.91,18.59,2.12
"Mar 17, 2021 - MEM vs. MIA",W,115.63,43.4,92.11,47.13,11.8,32.69,35.79,17.03,22.43,76.68,11.37,36.57,47.94,27.2,13.03,8.34,5.91,18.54,1.69
"Mar 15, 2021 - MEM @ PHX",L,114.89,43.03,91.92,46.8,11.75,32.94,35.46,17.08,22.5,76.66,11.28,36.72,48.0,27.06,12.94,8.25,5.86,18.5,1.75
"Mar 14, 2021 - MEM @ OKC",L,114.46,42.89,91.78,46.72,11.57,32.68,35.09,17.11,22.59,76.46,11.24,36.51,47.76,26.73,12.89,8.32,5.7,18.46,1.08
"Mar 12, 2021 - MEM vs. DEN",L,114.66,43.0,91.79,46.83,11.45,32.39,35.0,17.21,22.76,76.36,11.24,36.11,47.34,26.74,12.74,8.45,5.63,18.53,0.89
"Mar 10, 2021 - MEM vs. WAS",W,114.33,42.92,91.67,46.81,11.51,32.28,35.39,16.97,22.38,76.96,11.15,36.13,47.28,26.74,12.85,8.38,5.62,18.44,0.85
"Mar 04, 2021 - MEM vs. MIL",L,114.65,43.1,91.85,46.91,11.43,32.05,35.37,17.02,22.55,76.67,11.22,36.38,47.6,26.85,12.93,8.28,5.62,18.62,1.2
"Mar 02, 2021 - MEM @ WAS",W,114.56,43.02,92.07,46.73,11.34,32.1,35.08,17.17,22.59,77.14,11.37,36.44,47.8,26.71,12.9,8.39,5.68,18.66,1.15
"Feb 28, 2021 - MEM @ HOU",W,114.81,43.12,92.14,46.79,11.38,32.02,35.31,17.19,22.6,77.17,11.31,36.4,47.71,26.69,12.9,8.55,5.57,18.71,1.45
"Feb 26, 2021 - MEM vs. LAC",L,115.23,43.28,92.19,46.94,11.35,31.98,35.27,17.33,22.72,77.28,11.3,36.6,47.91,26.7,13.02,8.72,5.51,19.0,2.56
"Feb 25, 2021 - MEM vs. LAC",W,114.86,43.18,92.3,46.79,11.3,31.89,35.2,17.2,22.57,77.23,11.23,36.43,47.66,26.64,12.93,8.75,5.48,18.89,2.05
"Feb 22, 2021 - MEM @ DAL",L,115.02,43.33,92.29,46.96,11.29,31.6,35.7,17.07,22.42,77.04,11.13,36.53,47.67,26.64,12.8,8.71,5.38,18.84,2.62
