MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 15, 2021 - MIN vs. BOS",L,136.0,49.0,90.0,54.4,17.0,40.0,42.5,21.0,25.0,84.0,11.0,27.0,38.0,35.0,10.0,11.0,4.0,22.0,15.0
"May 13, 2021 - MIN vs. DEN",L,122.0,44.0,92.5,47.75,11.0,38.5,28.0,23.0,29.5,78.75,15.5,29.0,44.5,28.5,11.5,9.5,5.5,20.5,-0.5
"May 11, 2021 - MIN @ DET",W,115.67,40.67,88.33,46.0,12.67,39.33,31.67,21.67,30.33,72.3,14.0,30.0,44.0,25.67,12.67,7.33,5.33,19.33,-4.0
"May 09, 2021 - MIN @ ORL",W,116.5,41.75,90.75,45.98,13.0,41.5,31.05,20.0,28.0,72.08,13.25,30.75,44.0,26.75,13.25,9.5,6.0,20.0,1.75
"May 07, 2021 - MIN @ MIA",L,118.8,42.8,92.0,46.48,13.6,42.2,31.96,19.6,27.2,72.66,13.0,33.6,46.6,27.4,12.6,8.6,6.6,20.0,7.8
"May 05, 2021 - MIN vs. MEM",L,117.67,42.5,90.83,46.77,13.0,41.33,31.13,19.67,27.67,71.67,12.33,33.33,45.67,27.33,13.17,8.33,6.17,20.67,5.0
"May 01, 2021 - MIN vs. NOP",L,120.14,43.43,91.29,47.53,13.86,41.0,33.64,19.43,26.86,73.11,12.29,32.71,45.0,28.0,13.29,8.14,6.0,20.86,3.71
"Apr 29, 2021 - MIN vs. GSW",W,122.12,44.0,93.12,47.25,14.0,41.88,33.35,20.12,27.5,73.74,12.38,33.38,45.75,28.88,13.62,9.25,5.88,22.0,2.75
"Apr 27, 2021 - MIN @ HOU",W,122.56,43.89,93.22,47.08,14.67,41.78,35.07,20.11,27.67,73.21,12.78,34.22,47.0,29.11,13.67,8.78,5.44,21.89,3.78
"Apr 26, 2021 - MIN vs. UTA",W,121.7,44.0,93.2,47.21,14.2,41.4,34.19,19.5,27.4,71.49,12.7,34.4,47.1,29.1,13.7,8.9,5.5,21.7,4.1
"Apr 24, 2021 - MIN @ UTA",W,120.18,43.36,92.27,46.97,14.36,41.64,34.39,19.09,26.82,71.48,12.27,34.91,47.18,29.09,13.91,8.73,5.36,21.64,3.82
"Apr 21, 2021 - MIN @ SAC",L,118.58,43.08,92.25,46.68,13.92,41.33,33.5,18.5,26.25,70.52,12.17,35.0,47.17,27.92,13.92,9.08,5.08,21.42,3.92
"Apr 20, 2021 - MIN @ SAC",W,119.08,43.31,91.85,47.16,14.0,40.77,34.32,18.46,25.92,71.39,11.92,34.23,46.15,28.08,13.77,8.92,5.0,21.38,3.38
"Apr 18, 2021 - MIN @ LAC",L,120.14,43.86,91.71,47.84,14.29,40.93,34.86,18.14,25.43,71.56,11.93,34.5,46.43,28.5,14.07,8.64,5.29,21.0,4.14
"Apr 16, 2021 - MIN vs. MIA",W,119.13,43.33,91.47,47.38,14.47,41.2,35.05,18.0,25.13,71.87,11.53,34.27,45.8,28.4,13.87,8.47,5.4,21.0,2.6
"Apr 14, 2021 - MIN vs. MIL",L,119.12,43.25,90.81,47.66,14.5,40.88,35.47,18.12,25.38,71.69,11.44,34.31,45.75,28.5,14.31,8.44,5.19,21.06,2.94
"Apr 13, 2021 - MIN vs. BKN",L,118.29,42.71,90.88,47.04,14.53,40.88,35.54,18.35,25.71,71.65,11.35,34.47,45.82,28.12,14.41,8.71,5.29,20.82,1.29
"Apr 11, 2021 - MIN vs. CHI",W,117.11,42.0,90.67,46.34,14.44,41.33,35.03,18.67,26.11,71.71,11.33,34.39,45.72,27.44,14.39,8.94,5.67,20.78,-0.44
"Apr 09, 2021 - MIN @ BOS",L,117.32,41.89,90.16,46.5,14.53,41.05,35.53,19.0,26.05,73.19,10.89,34.32,45.21,27.42,14.42,8.84,5.68,20.42,-0.21
"Apr 07, 2021 - MIN @ IND",L,118.25,42.15,90.45,46.62,14.55,41.1,35.54,19.4,26.25,74.03,10.8,34.0,44.8,27.55,14.45,9.1,5.4,20.7,-0.65
"Apr 05, 2021 - MIN vs. SAC",W,119.14,42.43,90.48,46.91,14.33,40.48,35.54,19.95,26.9,74.2,10.9,33.76,44.67,27.67,14.38,9.0,5.24,20.52,-0.81
"Apr 03, 2021 - MIN @ PHI",L,119.0,42.23,90.5,46.68,14.23,40.09,35.63,20.32,27.18,74.68,11.09,33.86,44.95,27.41,14.36,9.05,5.18,20.32,-0.32
"Apr 02, 2021 - MIN @ MEM",L,118.74,41.91,89.96,46.6,14.13,39.91,35.53,20.78,27.57,75.18,10.87,33.7,44.57,26.96,14.22,8.96,5.17,20.48,-0.7
"Mar 31, 2021 - MIN vs. NYK",W,118.29,41.75,89.75,46.53,14.04,39.62,35.57,20.75,27.38,75.67,10.62,33.71,44.33,26.71,14.08,8.83,5.21,20.46,-1.17
"Mar 29, 2021 - MIN @ BKN",L,117.64,41.52,89.64,46.32,14.04,39.64,35.54,20.56,27.04,76.01,10.56,33.6,44.16,26.64,14.04,8.84,5.32,20.2,-1.08
"Mar 27, 2021 - MIN vs. HOU",L,117.23,41.46,90.15,46.03,14.04,39.81,35.4,20.27,26.65,76.03,10.81,33.62,44.42,26.5,14.08,8.88,5.5,20.38,-1.23
"Mar 26, 2021 - MIN vs. HOU",W,116.85,41.26,89.96,45.9,14.0,39.81,35.29,20.33,26.7,76.13,10.78,33.48,44.26,26.48,14.04,8.85,5.52,20.19,-2.0
"Mar 24, 2021 - MIN vs. DAL",L,116.5,41.18,90.43,45.61,13.86,39.75,34.97,20.29,26.61,76.24,10.89,33.57,44.46,26.61,13.86,8.96,5.43,19.93,-1.71
"Mar 22, 2021 - MIN vs. OKC",L,116.21,41.07,90.28,45.56,13.79,39.69,34.86,20.28,26.59,76.26,10.72,33.48,44.21,26.52,13.79,8.86,5.31,20.1,-2.34
"Mar 19, 2021 - MIN @ PHX",L,115.77,40.97,90.33,45.42,13.8,39.67,34.89,20.03,26.3,76.12,10.73,33.4,44.13,26.43,13.73,8.93,5.27,20.0,-2.57
"Mar 18, 2021 - MIN @ PHX",W,115.29,40.84,89.97,45.46,13.77,39.52,34.96,19.84,26.03,76.18,10.55,33.42,43.97,26.29,13.94,8.9,5.29,19.97,-2.87
"Mar 16, 2021 - MIN @ LAL",L,115.53,40.94,90.06,45.52,13.69,39.34,34.88,19.97,26.31,75.94,10.56,33.22,43.78,26.16,13.88,9.06,5.25,19.84,-2.66
"Mar 14, 2021 - MIN vs. POR",W,115.7,41.12,90.06,45.72,13.61,39.21,34.78,19.85,26.18,75.84,10.48,33.0,43.48,26.21,13.82,9.06,5.27,19.88,-3.06
"Mar 13, 2021 - MIN vs. POR",L,115.65,40.97,89.56,45.83,13.59,39.18,34.76,20.12,26.56,75.8,10.32,33.21,43.53,26.15,13.76,8.97,5.24,19.94,-2.91
"Mar 11, 2021 - MIN @ NOP",W,115.8,41.06,89.46,45.98,13.49,38.8,34.87,20.2,26.69,75.75,10.57,33.31,43.89,26.06,13.89,8.86,5.29,20.06,-2.94
"Mar 03, 2021 - MIN vs. CHA",L,116.33,41.33,89.61,46.2,13.64,38.83,35.22,20.03,26.39,76.08,10.47,33.25,43.72,26.11,13.83,8.92,5.42,20.06,-2.03
"Feb 28, 2021 - MIN vs. PHX",L,115.95,41.27,89.78,46.05,13.51,38.86,34.87,19.89,26.16,76.28,10.51,33.24,43.76,26.08,14.03,8.97,5.32,20.0,-2.86
"Feb 27, 2021 - MIN @ WAS",L,115.5,41.11,89.87,45.82,13.37,38.76,34.56,19.92,26.11,76.57,10.5,33.26,43.76,25.95,14.08,9.05,5.29,20.05,-3.29
"Feb 24, 2021 - MIN @ CHI",L,115.41,41.1,90.0,45.76,13.31,38.67,34.48,19.9,26.18,76.29,10.54,33.38,43.92,25.87,14.18,9.05,5.41,20.28,-3.62
