DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021",NOP,GSW,A,L,98.0,37.0,78.0,47.4,9.0,25.0,36.0,15.0,21.0,71.4,8.0,39.0,47.0,26.0,21.0,4.0,5.0,18.0,-12.0
"May 12, 2021",NOP,DAL,A,L,110.0,41.5,88.5,46.95,10.0,26.0,38.35,17.0,24.5,69.65,10.0,39.0,49.0,23.5,15.0,5.0,4.0,20.5,-7.5
"May 10, 2021",NOP,MEM,A,L,109.0,39.67,88.0,45.1,9.0,26.67,33.9,20.67,29.0,71.0,10.33,37.0,47.33,21.67,14.33,5.0,3.33,19.67,-11.0
"May 09, 2021",NOP,CHA,A,W,109.25,40.5,90.25,44.9,9.25,25.75,36.3,19.0,27.0,69.92,11.25,36.75,48.0,23.5,13.75,6.0,3.5,19.25,-9.5
"May 07, 2021",NOP,PHI,A,L,109.8,41.4,91.4,45.3,9.8,28.0,35.52,17.2,26.0,65.04,12.2,36.4,48.6,24.0,14.2,7.0,4.6,19.4,-7.2
"May 04, 2021",NOP,GSW,H,W,109.33,41.33,93.0,44.52,9.67,29.33,33.77,17.0,25.33,66.32,12.83,36.33,49.17,24.33,13.67,7.83,4.83,19.67,-6.33
"May 03, 2021",NOP,GSW,H,L,109.14,41.0,93.57,43.9,10.0,29.43,34.66,17.14,24.86,68.53,13.0,37.29,50.29,24.86,13.43,8.14,4.57,18.14,-4.71
"May 01, 2021",NOP,MIN,A,W,109.0,40.75,93.12,43.83,9.38,28.88,32.83,18.12,25.75,69.72,13.0,36.88,49.88,24.25,13.88,7.88,4.5,16.88,-6.0
"Apr 29, 2021",NOP,OKC,A,W,112.44,41.44,93.0,44.63,9.89,29.67,33.5,19.67,28.0,69.71,13.11,37.0,50.11,25.33,14.67,7.89,4.56,17.22,-4.89
"Apr 28, 2021",NOP,DEN,A,L,112.1,41.8,93.8,44.63,9.4,29.6,31.87,19.1,27.1,70.11,13.3,37.4,50.7,25.4,14.4,8.2,4.7,17.7,-3.0
"Apr 26, 2021",NOP,LAC,H,W,112.09,41.91,93.18,45.06,9.64,29.64,32.61,18.64,26.36,70.44,12.64,37.27,49.91,25.55,15.0,8.64,4.73,18.27,-2.91
"Apr 24, 2021",NOP,SAS,H,L,112.75,42.08,92.25,45.78,10.08,29.58,34.2,18.5,26.33,70.02,12.25,37.17,49.42,25.75,15.08,9.0,4.75,18.25,-1.25
"Apr 22, 2021",NOP,ORL,A,W,112.38,42.0,91.85,45.88,10.0,29.0,34.72,18.38,26.77,68.72,12.08,37.23,49.31,25.31,15.46,9.23,4.46,18.69,-1.31
"Apr 20, 2021",NOP,BKN,H,L,114.0,42.57,91.71,46.58,10.14,28.93,35.3,18.71,26.71,70.13,12.07,37.86,49.93,25.93,15.43,8.71,4.36,18.5,1.29
"Apr 18, 2021",NOP,NYK,A,L,115.0,43.13,91.67,47.21,10.27,29.2,35.37,18.47,26.53,69.62,11.73,37.33,49.07,26.07,15.27,8.47,4.2,18.67,0.87
"Apr 16, 2021",NOP,WAS,A,L,114.81,43.0,92.25,46.79,10.0,29.06,34.55,18.81,26.75,70.27,12.25,37.0,49.25,26.0,15.12,8.31,4.19,18.5,0.19
"Apr 14, 2021",NOP,NYK,H,L,114.82,42.82,92.53,46.46,9.82,29.0,33.99,19.35,27.12,71.12,12.18,37.47,49.65,26.0,15.18,8.47,4.35,18.71,0.06
"Apr 12, 2021",NOP,SAC,H,W,114.33,42.67,92.28,46.41,9.61,28.94,33.29,19.39,26.94,71.8,12.0,37.61,49.61,25.94,14.83,8.17,4.39,18.33,-0.5
"Apr 11, 2021",NOP,CLE,A,W,114.47,42.63,91.47,46.84,9.42,28.42,33.2,19.79,27.58,71.66,11.84,37.84,49.68,25.84,15.26,8.16,4.42,18.58,-0.11
"Apr 09, 2021",NOP,PHI,H,W,114.55,42.7,91.2,47.06,9.3,28.2,33.0,19.85,27.5,72.12,11.95,37.75,49.7,26.05,15.3,8.2,4.35,18.45,0.25
"Apr 07, 2021",NOP,BKN,A,L,113.9,42.52,91.14,46.88,9.05,27.9,32.3,19.81,27.62,71.7,11.86,38.14,50.0,25.86,15.24,8.33,4.48,18.38,0.57
"Apr 06, 2021",NOP,ATL,A,L,113.77,42.32,91.05,46.69,8.91,27.86,31.84,20.23,28.14,71.82,12.09,37.45,49.55,25.73,15.23,8.36,4.36,18.18,-0.73
"Apr 04, 2021",NOP,HOU,A,W,113.48,42.09,91.04,46.43,9.04,28.3,31.83,20.26,28.13,71.96,12.26,37.26,49.52,25.65,15.17,8.3,4.48,18.04,-1.39
"Apr 02, 2021",NOP,ATL,H,L,113.83,42.08,91.04,46.42,9.33,28.67,32.3,20.33,28.42,71.58,12.42,37.33,49.75,25.67,15.17,8.46,4.67,18.42,-1.04
