MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021 - PHI vs. ORL",W,128.0,46.0,94.0,48.9,19.0,40.0,47.5,17.0,23.0,73.9,9.0,32.0,41.0,35.0,12.0,8.0,5.0,27.0,11.0
"May 13, 2021 - PHI @ MIA",L,125.0,45.0,93.5,48.1,17.5,37.0,47.3,17.5,21.0,84.3,9.5,34.0,43.5,35.0,10.5,8.5,6.5,26.0,18.0
"May 11, 2021 - PHI @ IND",L,114.67,42.0,88.33,47.47,14.0,33.0,40.87,16.67,20.67,81.2,9.0,30.0,39.0,30.0,11.33,8.33,4.67,23.33,8.0
"May 08, 2021 - PHI vs. DET",W,109.5,41.0,88.0,46.52,12.5,31.25,38.35,15.0,19.0,78.75,8.0,30.0,38.0,28.25,11.25,8.5,4.75,21.75,3.75
"May 07, 2021 - PHI vs. NOP",W,111.2,41.0,87.2,46.98,11.8,31.0,36.68,17.4,21.4,80.42,8.2,31.0,39.2,27.0,11.2,9.0,4.6,21.0,5.8
"May 05, 2021 - PHI @ HOU",W,110.83,40.5,86.83,46.6,12.33,31.67,37.72,17.5,21.5,80.65,8.5,32.67,41.17,27.0,12.17,8.33,4.83,20.67,5.17
"May 03, 2021 - PHI @ CHI",W,114.29,41.86,87.86,47.54,12.71,32.14,38.46,17.86,21.57,82.11,8.86,33.14,42.0,26.86,11.86,8.57,5.0,20.0,7.29
"May 02, 2021 - PHI @ SAS",W,113.25,41.62,86.25,48.26,12.5,31.62,38.56,17.5,21.5,80.78,8.62,33.62,42.25,26.38,12.62,8.88,5.12,19.12,7.88
"Apr 30, 2021 - PHI vs. ATL",W,113.22,41.67,87.11,47.87,12.33,31.44,38.36,17.56,21.89,79.8,9.11,33.89,43.0,26.0,12.67,8.67,5.56,19.11,7.22
"Apr 28, 2021 - PHI vs. ATL",W,114.5,42.2,88.5,47.73,12.1,31.1,38.09,18.0,22.3,80.28,10.0,33.7,43.7,26.1,12.3,8.6,5.6,19.3,8.7
"Apr 26, 2021 - PHI vs. OKC",W,115.64,42.73,88.55,48.29,12.45,31.55,38.66,17.73,22.27,79.18,10.09,33.82,43.91,26.36,11.91,8.91,6.0,19.55,11.91
"Apr 24, 2021 - PHI @ MIL",L,116.08,43.08,88.33,48.82,12.58,31.5,39.21,17.33,21.92,78.6,10.08,33.58,43.67,26.42,12.67,10.0,6.08,19.5,13.5
"Apr 22, 2021 - PHI @ MIL",L,114.38,42.15,87.85,47.98,12.15,31.46,37.93,17.92,22.85,78.21,10.08,33.38,43.46,25.54,13.0,10.08,5.92,19.54,9.54
"Apr 21, 2021 - PHI vs. PHX",L,114.57,42.43,88.07,48.16,12.14,31.14,38.39,17.57,22.5,77.78,9.86,32.86,42.71,25.64,12.71,9.86,5.71,19.36,8.36
"Apr 19, 2021 - PHI vs. GSW",L,114.47,42.33,87.53,48.37,12.2,30.73,39.3,17.6,22.73,77.21,10.13,32.67,42.8,25.53,13.0,9.67,5.8,19.33,7.6
"Apr 16, 2021 - PHI vs. LAC",W,113.31,41.88,87.62,47.8,12.19,30.81,39.19,17.38,22.44,77.24,10.12,32.62,42.75,25.56,13.0,9.62,5.81,19.44,6.44
"Apr 14, 2021 - PHI vs. BKN",W,112.88,41.47,87.35,47.47,12.29,31.59,38.75,17.65,22.88,77.01,10.18,32.76,42.94,25.29,13.0,9.82,5.88,19.41,6.24
"Apr 12, 2021 - PHI @ DAL",W,113.44,41.67,87.33,47.71,12.33,31.39,39.18,17.78,23.0,77.18,9.83,32.5,42.33,25.17,12.83,9.72,6.06,19.5,6.22
"Apr 10, 2021 - PHI @ OKC",W,113.42,41.53,86.95,47.76,12.32,31.37,39.15,18.05,23.53,76.78,9.63,32.58,42.21,25.11,12.63,9.68,5.95,19.53,6.84
"Apr 09, 2021 - PHI @ NOP",L,113.6,41.65,87.3,47.71,12.3,31.7,38.77,18.0,23.6,76.34,9.8,32.65,42.45,25.05,12.5,9.75,6.15,19.4,7.7
"Apr 06, 2021 - PHI @ BOS",W,112.67,41.24,86.9,47.43,12.24,31.67,38.62,17.95,23.62,76.08,9.52,33.14,42.67,24.81,12.81,9.67,6.1,19.57,7.0
"Apr 04, 2021 - PHI vs. MEM",L,112.36,40.91,86.27,47.4,12.09,31.32,38.57,18.45,24.32,76.0,9.5,32.95,42.45,24.41,12.82,9.73,6.0,19.59,7.14
"Apr 03, 2021 - PHI vs. MIN",W,111.83,40.74,86.39,47.14,11.91,31.43,37.91,18.43,24.48,75.5,9.78,33.0,42.78,24.35,12.74,9.48,6.0,19.57,6.13
"Apr 01, 2021 - PHI @ CLE",W,112.25,40.75,86.17,47.29,11.92,31.29,38.12,18.83,25.0,75.5,9.71,33.04,42.75,24.42,12.71,9.38,6.04,19.75,6.25
"Mar 30, 2021 - PHI @ DEN",L,112.32,40.72,86.44,47.12,12.04,31.52,38.22,18.84,25.0,75.52,9.8,33.44,43.24,24.52,12.6,9.44,6.12,19.72,6.8
"Mar 27, 2021 - PHI @ LAC",L,111.65,40.5,86.27,46.95,12.0,31.65,37.95,18.65,24.62,76.21,9.62,33.27,42.88,24.27,12.58,9.62,6.12,19.65,6.19
"Mar 25, 2021 - PHI @ LAL",W,111.67,40.44,85.93,47.08,11.93,31.44,37.97,18.85,24.93,76.08,9.56,33.15,42.7,24.0,12.7,9.44,5.96,19.93,5.59
"Mar 23, 2021 - PHI @ GSW",W,111.57,40.39,85.71,47.14,12.11,31.93,37.97,18.68,24.79,75.74,9.46,33.11,42.57,24.0,13.0,9.57,6.07,20.14,5.68
