DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 13, 2021",POR,PHX,A,L,132.0,46.0,87.0,52.9,18.0,43.0,41.9,22.0,26.0,84.6,11.0,40.0,51.0,24.0,14.0,3.0,6.0,16.0,16.0
"May 12, 2021",POR,UTA,A,W,124.5,45.0,84.0,53.6,16.5,38.0,43.7,18.0,22.0,81.2,6.0,36.0,42.0,23.5,13.5,5.0,4.5,17.0,7.5
"May 10, 2021",POR,HOU,H,W,118.0,43.33,86.33,50.4,15.33,36.0,42.67,16.0,20.33,77.67,7.0,34.0,41.0,21.33,10.67,5.67,5.0,17.33,7.33
"May 08, 2021",POR,SAS,H,W,123.5,44.25,87.75,50.57,16.0,37.0,43.25,19.0,24.0,78.25,8.25,34.25,42.5,23.5,10.25,6.0,4.75,17.5,8.25
"May 07, 2021",POR,LAL,H,W,123.6,44.4,89.6,49.74,15.2,36.4,41.66,19.6,25.2,77.26,10.2,36.4,46.6,23.6,9.8,5.4,4.8,17.0,11.0
"May 05, 2021",POR,CLE,A,W,120.67,43.17,89.33,48.45,14.67,36.5,40.12,19.67,24.5,80.25,9.5,36.67,46.17,23.33,9.67,5.5,4.33,17.5,10.0
"May 03, 2021",POR,ATL,A,L,123.57,44.57,89.71,49.76,14.86,36.0,41.31,19.57,24.57,79.64,9.71,37.57,47.29,23.71,9.71,5.71,5.0,17.86,13.71
"May 02, 2021",POR,BOS,A,W,122.38,44.38,90.38,49.2,15.12,36.62,41.34,18.5,23.25,79.51,9.5,36.75,46.25,23.88,9.5,5.88,4.88,17.5,10.88
"Apr 30, 2021",POR,BKN,A,W,123.11,44.33,89.78,49.49,15.56,36.78,42.3,18.89,23.56,80.08,8.78,36.33,45.11,24.22,9.56,6.11,4.89,17.56,10.78
"Apr 28, 2021",POR,MEM,A,W,123.6,44.6,89.9,49.7,15.6,36.7,42.51,18.8,23.2,81.07,8.7,36.9,45.6,24.2,9.6,5.8,4.6,17.5,11.6
"Apr 27, 2021",POR,IND,A,W,124.18,44.64,90.09,49.63,15.55,37.0,42.05,19.36,23.64,81.82,8.91,37.18,46.09,24.09,9.64,5.91,4.73,17.73,12.45
"Apr 25, 2021",POR,MEM,H,L,124.92,45.08,91.42,49.43,15.92,36.83,43.31,18.83,23.0,81.77,9.83,37.17,47.0,24.25,9.92,5.92,4.75,17.83,13.17
"Apr 23, 2021",POR,MEM,H,L,124.0,44.62,92.46,48.48,15.77,36.92,42.81,19.0,23.15,81.95,10.23,37.23,47.46,24.0,10.0,6.31,4.85,18.15,11.62
"Apr 21, 2021",POR,DEN,H,L,124.29,44.71,92.71,48.44,15.64,36.79,42.61,19.21,23.43,81.91,10.5,37.14,47.64,24.29,10.14,6.29,4.71,18.29,10.64
"Apr 20, 2021",POR,LAC,H,L,123.0,44.4,92.33,48.27,15.4,36.73,41.99,18.8,22.87,82.23,10.4,36.8,47.2,24.07,10.2,6.33,4.53,18.13,9.87
"Apr 18, 2021",POR,CHA,A,L,122.31,44.25,92.44,48.05,15.31,37.19,41.35,18.5,22.62,81.7,10.56,36.31,46.88,23.94,9.94,6.38,4.5,18.0,9.19
"Apr 16, 2021",POR,SAS,A,W,121.06,43.76,92.35,47.55,15.0,37.12,40.55,18.53,22.94,80.89,10.71,36.18,46.88,23.59,9.88,6.41,4.41,17.94,8.18
"Apr 13, 2021",POR,BOS,H,L,120.28,43.61,92.17,47.47,14.78,36.67,40.41,18.28,22.56,81.26,10.61,35.78,46.39,23.56,9.94,6.56,4.5,17.61,7.78
"Apr 11, 2021",POR,MIA,H,L,120.0,43.58,92.05,47.49,14.89,37.0,40.36,17.95,22.26,80.69,10.47,35.89,46.37,23.95,10.16,6.53,4.53,17.84,7.32
"Apr 10, 2021",POR,DET,H,W,118.9,43.25,91.3,47.52,14.7,36.9,39.91,17.7,22.1,80.08,10.35,35.75,46.1,23.8,10.5,6.45,4.55,17.75,6.5
"Apr 08, 2021",POR,UTA,A,L,118.86,43.24,91.24,47.53,14.62,36.52,40.14,17.76,22.19,80.04,10.52,35.71,46.24,23.52,10.76,6.38,4.71,17.86,6.9
"Apr 06, 2021",POR,LAC,A,L,118.14,43.0,91.45,47.17,14.55,37.05,39.55,17.59,22.0,79.94,10.45,35.55,46.0,23.27,10.55,6.23,4.73,18.0,5.73
"Apr 03, 2021",POR,OKC,H,W,118.04,42.74,91.48,46.87,14.39,37.0,39.16,18.17,22.65,80.1,10.61,35.48,46.09,23.04,10.39,6.13,4.74,18.17,4.74
"Apr 02, 2021",POR,MIL,H,L,118.67,43.08,92.0,46.96,14.62,37.38,39.34,17.88,22.29,80.04,10.79,35.71,46.5,23.12,10.33,6.42,4.67,18.17,6.54
"Mar 31, 2021",POR,DET,A,W,118.28,42.8,92.28,46.54,14.88,38.04,39.32,17.8,22.28,79.75,10.88,35.56,46.44,22.96,10.48,6.6,4.6,18.16,5.56
"Mar 28, 2021",POR,TOR,A,W,118.5,42.77,91.88,46.72,14.92,37.73,39.86,18.04,22.42,80.23,10.69,35.62,46.31,23.12,10.58,6.77,4.69,18.23,6.23
"Mar 26, 2021",POR,ORL,A,W,118.63,42.89,92.07,46.74,14.74,37.59,39.47,18.11,22.48,80.34,10.78,35.56,46.33,23.15,10.48,6.78,4.93,18.48,6.19
"Mar 25, 2021",POR,MIA,A,W,118.39,42.79,91.82,46.75,14.86,37.68,39.67,17.96,22.43,79.86,10.75,35.57,46.32,23.07,10.68,6.79,5.07,18.46,6.21
"Mar 23, 2021",POR,BKN,H,L,118.62,42.83,91.83,46.79,15.03,37.97,39.8,17.93,22.31,80.19,10.72,35.38,46.1,23.1,10.69,6.66,5.14,18.31,6.1
"Mar 21, 2021",POR,DAL,H,L,118.4,42.6,91.77,46.56,15.17,38.53,39.63,18.03,22.33,80.56,10.8,35.23,46.03,23.17,10.6,6.57,5.13,18.37,5.77
"Mar 19, 2021",POR,DAL,H,W,117.55,42.32,91.68,46.29,14.97,38.61,39.06,17.94,22.23,80.51,10.74,34.87,45.61,22.97,10.48,6.58,5.06,18.32,4.29
"Mar 18, 2021",POR,NOP,H,W,117.78,42.38,91.72,46.33,15.19,38.88,39.3,17.84,22.06,80.75,10.81,34.72,45.53,22.78,10.34,6.53,4.91,18.22,4.34
"Mar 16, 2021",POR,NOP,H,W,117.27,42.09,91.58,46.07,15.15,39.0,39.1,17.94,22.15,80.85,10.91,34.76,45.67,22.42,10.42,6.58,5.0,18.24,4.45
