MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021 - UTA @ OKC",W,121.0,41.0,86.0,47.7,18.0,39.0,46.2,21.0,25.0,84.0,9.0,41.0,50.0,28.0,16.0,9.0,3.0,14.0,22.0
"May 12, 2021 - UTA vs. POR",L,115.0,40.5,89.5,45.35,15.5,39.0,39.75,18.5,23.0,80.1,13.0,38.5,51.5,25.5,13.5,9.0,3.0,15.5,19.0
"May 10, 2021 - UTA @ GSW",L,109.33,38.67,88.0,43.97,14.33,39.33,36.5,17.67,22.33,78.8,13.67,38.33,52.0,22.0,13.0,7.33,3.33,17.67,10.33
"May 08, 2021 - UTA vs. HOU",W,111.0,39.25,88.75,44.25,14.0,40.5,34.75,18.5,22.75,80.97,13.5,37.5,51.0,20.0,13.5,7.25,2.75,18.25,7.0
"May 07, 2021 - UTA vs. DEN",W,113.6,40.4,88.0,45.98,14.2,40.0,35.7,18.6,22.4,82.88,12.2,38.4,50.6,21.6,14.4,7.2,3.0,17.2,7.2
"May 05, 2021 - UTA vs. SAS",W,115.83,40.83,88.17,46.37,15.33,41.0,37.37,18.83,22.5,83.57,11.67,36.83,48.5,22.5,14.0,7.5,3.0,17.67,7.17
"May 03, 2021 - UTA vs. SAS",W,117.29,42.0,88.14,47.7,15.71,41.0,38.3,17.57,21.29,81.83,11.0,38.14,49.14,22.71,14.57,7.14,2.86,18.0,10.71
"May 01, 2021 - UTA vs. TOR",W,116.38,42.25,88.12,47.99,15.12,40.38,37.34,16.75,20.62,80.2,11.38,37.88,49.25,22.62,14.75,7.5,3.12,17.12,10.75
"Apr 30, 2021 - UTA @ PHX",L,115.22,41.67,87.0,47.92,15.33,40.44,37.8,16.56,20.33,80.54,11.11,38.11,49.22,22.33,15.44,7.0,3.11,16.89,10.0
"Apr 28, 2021 - UTA @ SAC",W,113.7,41.0,86.3,47.51,15.2,40.3,37.61,16.5,20.1,81.38,10.8,37.1,47.9,22.3,15.3,7.1,3.3,16.9,6.9
"Apr 26, 2021 - UTA @ MIN",L,117.36,42.27,86.27,49.01,16.0,40.36,39.51,16.82,20.18,82.64,10.55,37.27,47.82,23.55,15.18,6.82,3.82,16.73,10.73
"Apr 24, 2021 - UTA vs. MIN",L,116.25,41.83,87.0,48.17,16.0,41.75,38.56,16.58,20.08,81.89,11.0,36.92,47.92,23.58,14.83,7.0,4.0,16.83,9.75
"Apr 21, 2021 - UTA @ HOU",W,114.69,41.15,86.62,47.55,16.23,42.15,38.7,16.15,19.69,81.23,10.85,36.85,47.69,23.62,15.23,7.15,4.08,17.15,8.62
"Apr 19, 2021 - UTA @ LAL",W,114.5,41.14,86.86,47.41,16.29,42.43,38.58,15.93,19.43,81.24,10.71,37.93,48.64,23.86,15.0,7.14,4.07,17.07,9.64
"Apr 17, 2021 - UTA @ LAL",L,114.27,41.27,86.07,48.07,16.2,41.8,39.04,15.53,18.87,81.88,10.13,38.07,48.2,24.2,15.13,7.0,4.13,17.27,9.93
"Apr 16, 2021 - UTA vs. IND",W,114.31,41.31,87.0,47.67,16.62,42.88,39.04,15.06,18.19,83.01,9.88,37.62,47.5,24.62,15.19,7.19,4.06,17.5,8.56
"Apr 13, 2021 - UTA vs. OKC",W,114.59,41.35,87.0,47.71,16.59,42.82,38.98,15.29,18.53,82.79,9.88,38.12,48.0,24.47,15.53,7.06,4.18,17.59,8.53
"Apr 12, 2021 - UTA vs. WAS",L,114.11,41.06,86.94,47.38,16.61,43.06,38.83,15.39,18.61,82.91,9.94,38.22,48.17,24.44,15.44,7.0,4.5,17.61,8.61
"Apr 10, 2021 - UTA vs. SAC",W,114.47,41.05,86.84,47.43,16.53,42.68,38.98,15.84,19.26,82.62,9.89,38.0,47.89,24.26,15.37,6.74,4.42,17.89,7.95
"Apr 08, 2021 - UTA vs. POR",W,115.15,41.0,86.9,47.33,16.6,43.05,38.83,16.55,20.05,82.78,9.95,38.15,48.1,24.15,15.1,6.8,4.45,17.85,8.35
"Apr 07, 2021 - UTA @ PHX",L,115.48,41.1,87.29,47.23,16.38,43.0,38.34,16.9,20.38,83.07,10.14,38.43,48.57,24.0,14.71,6.67,4.38,17.71,8.86
"Apr 05, 2021 - UTA @ DAL",L,115.36,41.32,88.0,47.12,16.14,43.05,37.74,16.59,20.14,82.32,10.0,38.41,48.41,23.55,14.64,6.64,4.36,17.95,8.27
"Apr 03, 2021 - UTA vs. ORL",W,114.83,41.13,88.0,46.9,15.96,43.09,37.28,16.61,20.22,82.1,10.17,38.22,48.39,23.39,14.39,6.48,4.35,17.96,7.57
"Apr 02, 2021 - UTA vs. CHI",W,115.75,41.54,88.17,47.25,16.38,43.58,37.7,16.29,19.88,81.81,10.04,38.42,48.46,23.83,14.25,6.62,4.42,18.25,9.17
"Mar 31, 2021 - UTA @ MEM",W,115.64,41.36,87.8,47.23,16.24,43.28,37.64,16.68,20.16,82.39,9.88,38.36,48.24,23.52,14.12,6.6,4.44,18.24,9.08
"Mar 29, 2021 - UTA vs. CLE",W,115.46,41.23,87.85,47.06,16.23,43.5,37.45,16.77,20.35,82.14,9.92,38.23,48.15,23.38,14.15,6.73,4.46,18.35,8.88
"Mar 27, 2021 - UTA vs. MEM",W,115.41,41.11,87.63,47.03,16.33,43.41,37.77,16.85,20.44,82.16,9.89,38.52,48.41,23.59,14.07,6.7,4.48,18.19,10.0
"Mar 26, 2021 - UTA vs. MEM",W,115.79,41.29,87.79,47.14,16.43,43.46,37.93,16.79,20.43,81.9,10.0,38.54,48.54,23.54,14.36,6.75,4.61,18.32,10.21
"Mar 24, 2021 - UTA vs. BKN",W,115.83,41.41,88.14,47.09,16.28,43.1,37.88,16.72,20.34,81.95,10.14,38.48,48.62,23.59,14.1,6.69,4.59,18.21,9.97
"Mar 22, 2021 - UTA @ CHI",W,115.9,41.4,88.23,47.03,16.5,43.5,38.01,16.6,20.13,82.32,10.17,38.7,48.87,23.6,14.07,6.67,4.63,18.1,10.63
"Mar 19, 2021 - UTA @ TOR",W,116.03,41.52,88.35,47.09,16.52,43.35,38.19,16.48,19.97,82.46,10.16,38.61,48.77,23.65,13.9,6.74,4.81,18.03,11.1
"Mar 18, 2021 - UTA @ WAS",L,116.0,41.28,87.91,47.05,16.38,43.16,38.01,17.06,20.62,82.55,10.12,38.62,48.75,23.56,13.88,6.75,4.81,17.97,10.84
"Mar 16, 2021 - UTA @ BOS",W,116.18,41.36,88.15,47.01,16.42,43.3,37.99,17.03,20.85,81.78,10.15,38.55,48.7,23.42,13.97,6.85,4.76,18.24,10.24
"Mar 14, 2021 - UTA @ GSW",L,116.21,41.26,87.91,47.03,16.5,43.29,38.18,17.18,20.94,82.07,10.15,38.24,48.38,23.41,14.06,6.82,4.79,18.24,10.18
"Mar 12, 2021 - UTA vs. HOU",W,116.29,41.26,88.06,46.94,16.46,43.31,38.06,17.31,21.17,81.89,10.37,38.09,48.46,23.43,14.06,6.8,4.83,18.17,9.54
"Mar 03, 2021 - UTA @ PHI",L,116.22,41.19,87.86,46.97,16.42,43.22,38.04,17.42,21.28,81.95,10.25,38.28,48.53,23.44,14.22,6.81,4.97,18.14,9.69
"Mar 01, 2021 - UTA @ NOP",L,116.41,41.27,88.19,46.89,16.54,43.24,38.31,17.32,21.22,81.73,10.3,38.32,48.62,23.41,14.27,6.81,4.86,18.3,9.22
"Feb 27, 2021 - UTA @ ORL",W,116.61,41.39,88.53,46.86,16.55,43.24,38.34,17.26,21.13,81.77,10.32,38.05,48.37,23.47,14.13,6.92,4.92,18.39,8.84
"Feb 26, 2021 - UTA @ MIA",L,116.79,41.49,88.44,47.01,16.56,43.28,38.32,17.26,21.21,81.49,10.31,38.15,48.46,23.62,14.08,6.79,4.87,18.28,9.0
"Feb 24, 2021 - UTA vs. LAL",W,116.78,41.45,88.58,46.9,16.52,43.35,38.18,17.35,21.25,81.74,10.28,37.88,48.15,23.62,13.95,6.85,4.83,18.35,8.57
"Feb 22, 2021 - UTA vs. CHA",W,116.71,41.44,88.54,46.91,16.66,43.46,38.37,17.17,21.1,81.37,10.37,37.9,48.27,23.73,13.9,6.85,4.73,18.29,8.98
"Feb 19, 2021 - UTA @ LAC",L,117.07,41.52,88.45,47.05,16.93,43.74,38.66,17.1,21.0,81.39,10.31,37.88,48.19,23.98,14.12,6.86,4.79,18.31,9.29
"Feb 17, 2021 - UTA @ LAC",W,116.95,41.51,88.4,47.07,16.81,43.51,38.59,17.12,21.0,81.49,10.21,37.74,47.95,23.72,14.05,6.86,4.81,18.4,8.98
"Feb 15, 2021 - UTA vs. PHI",W,116.89,41.52,88.61,46.97,16.73,43.43,38.45,17.11,20.98,81.57,10.36,37.7,48.07,23.61,14.02,6.98,4.77,18.32,9.18
"Feb 13, 2021 - UTA vs. MIA",W,117.27,41.6,88.56,47.09,16.76,43.47,38.48,17.31,21.2,81.62,10.29,37.51,47.8,23.49,13.96,7.02,4.76,18.31,9.22
"Feb 12, 2021 - UTA vs. MIL",W,117.15,41.54,88.48,47.06,16.65,43.52,38.21,17.41,21.37,81.5,10.28,37.52,47.8,23.54,14.0,7.11,4.8,18.37,9.41
"Feb 09, 2021 - UTA vs. BOS",W,117.4,41.57,88.34,47.18,16.6,43.4,38.18,17.66,21.64,81.58,10.21,37.55,47.77,23.51,14.06,7.04,4.81,18.45,9.51
"Feb 07, 2021 - UTA @ IND",W,117.5,41.54,88.25,47.19,16.62,43.5,38.17,17.79,21.75,81.73,10.21,37.42,47.62,23.6,14.0,6.98,4.85,18.52,9.6
"Feb 05, 2021 - UTA @ CHA",W,117.2,41.47,88.33,47.07,16.55,43.47,38.02,17.71,21.73,81.43,10.33,37.55,47.88,23.57,14.0,6.88,4.84,18.49,9.57
"Feb 04, 2021 - UTA @ ATL",W,117.62,41.6,88.3,47.23,16.74,43.6,38.3,17.68,21.66,81.58,10.24,37.56,47.8,23.74,14.04,6.84,4.92,18.5,9.72
"Feb 02, 2021 - UTA vs. DET",W,117.51,41.65,88.35,47.25,16.67,43.27,38.49,17.55,21.49,81.64,10.27,37.61,47.88,23.65,14.04,6.84,4.9,18.53,9.94
"Jan 31, 2021 - UTA @ DEN",L,117.5,41.58,88.23,47.23,16.65,43.25,38.49,17.69,21.63,81.72,10.23,37.58,47.81,23.63,14.02,6.88,4.92,18.5,9.98
"Jan 29, 2021 - UTA vs. DAL",W,117.49,41.4,87.98,47.15,16.72,43.32,38.56,17.98,21.96,81.78,10.23,37.4,47.62,23.72,14.04,6.81,4.91,18.55,9.58
"Jan 27, 2021 - UTA vs. DAL",W,117.54,41.33,87.96,47.08,16.78,43.41,38.62,18.09,22.04,81.97,10.35,37.43,47.78,23.67,14.06,6.83,4.91,18.67,9.76
"Jan 26, 2021 - UTA vs. NYK",W,117.51,41.35,88.02,47.07,16.76,43.36,38.63,18.05,22.02,81.87,10.36,37.45,47.82,23.6,13.98,6.84,4.95,18.65,9.8
"Jan 23, 2021 - UTA vs. GSW",W,117.34,41.27,88.09,46.94,16.73,43.45,38.5,18.07,22.02,81.95,10.48,37.43,47.91,23.61,13.84,6.82,4.95,18.57,9.88
"Jan 21, 2021 - UTA vs. NOP",W,117.51,41.33,88.19,46.96,16.79,43.56,38.52,18.05,22.02,81.87,10.54,37.53,48.07,23.68,13.88,6.81,4.93,18.6,10.04
"Jan 19, 2021 - UTA vs. NOP",W,117.71,41.38,88.19,47.01,16.79,43.48,38.61,18.16,22.07,82.11,10.5,37.41,47.91,23.74,13.9,6.83,4.98,18.74,10.05
"Jan 17, 2021 - UTA @ DEN",W,117.71,41.41,88.14,47.07,16.86,43.54,38.72,18.03,21.98,81.82,10.51,37.51,48.02,23.81,13.93,6.78,5.02,18.71,10.15
"Jan 15, 2021 - UTA vs. ATL",W,117.57,41.37,87.93,47.14,16.83,43.43,38.74,18.0,22.08,81.4,10.45,37.37,47.82,23.82,13.92,6.78,5.03,18.75,10.05
"Jan 12, 2021 - UTA @ CLE",W,117.54,41.39,88.0,47.14,16.89,43.44,38.86,17.87,21.95,81.24,10.48,37.43,47.9,23.87,14.0,6.79,5.05,18.74,10.28
"Jan 10, 2021 - UTA @ DET",W,117.53,41.4,87.94,47.18,17.0,43.47,39.09,17.73,21.79,81.14,10.47,37.44,47.9,23.9,14.06,6.81,5.1,18.69,10.6
"Jan 08, 2021 - UTA @ MIL",W,117.19,41.3,87.84,47.11,16.9,43.33,38.97,17.68,21.79,80.93,10.56,37.59,48.14,23.79,14.1,6.75,5.1,18.67,10.59
"Jan 06, 2021 - UTA @ NYK",L,117.41,41.42,87.98,47.17,17.03,43.48,39.1,17.53,21.66,80.63,10.55,37.62,48.17,23.91,14.03,6.73,5.14,18.66,10.62
"Jan 05, 2021 - UTA @ BKN",L,117.14,41.4,88.03,47.12,16.98,43.49,38.98,17.35,21.49,80.23,10.54,37.54,48.08,23.85,14.05,6.71,5.2,18.6,10.28
"Jan 03, 2021 - UTA @ SAS",W,116.82,41.27,88.0,46.98,16.89,43.35,38.88,17.38,21.58,80.08,10.52,37.45,47.97,23.74,14.06,6.7,5.17,18.59,9.61
"Jan 01, 2021 - UTA vs. LAC",W,117.01,41.39,88.01,47.11,16.96,43.31,39.07,17.28,21.54,79.75,10.49,37.61,48.1,23.82,14.15,6.66,5.25,18.58,9.78
"Dec 31, 2020 - UTA vs. PHX",L,116.85,41.38,88.03,47.09,16.93,43.29,39.02,17.16,21.43,79.52,10.53,37.54,48.07,23.88,14.15,6.6,5.22,18.6,9.72
"Dec 28, 2020 - UTA @ OKC",W,116.54,41.29,87.97,47.01,16.86,43.16,38.96,17.1,21.39,79.36,10.52,37.52,48.04,23.77,14.14,6.62,5.19,18.55,9.42
"Dec 26, 2020 - UTA vs. MIN",L,116.44,41.31,87.94,47.06,16.8,43.06,38.92,17.01,21.29,79.35,10.49,37.49,47.97,23.77,14.19,6.66,5.2,18.56,9.3
"Dec 23, 2020 - UTA @ POR",W,116.37,41.24,88.03,46.93,16.7,42.93,38.79,17.18,21.51,79.34,10.61,37.49,48.1,23.65,14.25,6.63,5.18,18.58,9.1
