DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",ATL,MIA,A,L,130.0,45.0,87.0,51.7,21.0,38.0,55.3,19.0,24.0,79.2,13.0,37.0,50.0,29.0,13.0,4.0,4.0,19.0,16.0
"Apr 06, 2022",ATL,WAS,H,W,119.5,43.5,87.5,49.7,14.5,36.0,39.4,18.0,21.5,84.35,13.0,33.5,46.5,23.0,14.0,6.5,2.0,21.0,6.0
"Apr 05, 2022",ATL,TOR,A,L,119.0,43.33,89.0,48.7,15.0,37.0,39.93,17.33,20.67,84.3,11.0,33.0,44.0,24.0,11.33,8.0,1.67,18.33,9.0
"Apr 02, 2022",ATL,BKN,H,W,116.25,43.25,90.25,47.95,14.75,37.0,39.4,15.0,18.5,79.9,10.75,33.0,43.75,25.75,10.25,7.25,2.25,19.25,4.25
"Mar 31, 2022",ATL,CLE,H,W,117.4,41.8,89.4,46.74,14.4,37.8,37.86,19.4,24.6,79.02,10.6,35.2,45.8,24.2,9.6,7.8,2.6,19.0,4.8
"Mar 30, 2022",ATL,OKC,A,W,119.67,42.33,89.67,47.2,14.83,38.0,38.82,20.17,25.17,80.13,10.83,35.33,46.17,24.67,9.5,7.67,2.83,19.5,8.0
"Mar 28, 2022",ATL,IND,A,W,122.0,43.29,89.86,48.14,15.29,38.14,39.87,20.14,24.71,81.67,10.14,35.57,45.71,25.14,10.0,8.0,3.0,19.43,9.43
"Mar 25, 2022",ATL,GSW,H,W,123.25,43.75,89.38,48.96,15.5,37.75,40.96,20.25,24.88,81.56,10.5,34.5,45.0,26.0,10.62,8.38,3.12,19.38,9.38
"Mar 23, 2022",ATL,DET,A,L,123.0,44.0,89.33,49.27,15.33,37.67,40.61,19.67,24.22,81.27,10.67,34.22,44.89,26.11,10.78,8.67,3.22,19.22,9.56
"Mar 22, 2022",ATL,NYK,A,W,120.8,43.3,89.6,48.36,15.2,38.3,39.73,19.0,23.3,81.81,10.5,33.9,44.4,25.6,11.1,8.6,3.2,19.0,6.5
"Mar 20, 2022",ATL,NOP,H,L,120.45,43.0,88.82,48.45,15.18,38.09,39.91,19.27,23.64,81.78,10.45,33.82,44.27,25.64,11.36,8.45,3.36,18.91,6.45
"Mar 18, 2022",ATL,MEM,H,W,119.75,42.83,88.67,48.34,14.75,37.58,39.19,19.33,23.58,82.22,10.17,33.75,43.92,25.33,11.75,8.33,3.42,19.17,5.5
"Mar 16, 2022",ATL,CHA,A,L,119.77,43.0,88.85,48.43,14.62,36.85,39.75,19.15,23.38,82.12,9.92,33.69,43.62,25.54,11.62,8.62,3.62,19.23,6.23
"Mar 14, 2022",ATL,POR,H,W,118.79,42.79,89.14,48.04,14.5,36.86,39.41,18.71,22.71,82.89,10.07,33.5,43.57,25.71,11.71,8.43,3.5,19.5,5.07
"Mar 13, 2022",ATL,IND,H,W,119.0,42.6,90.47,47.29,14.33,37.6,38.45,19.47,23.33,83.62,10.53,33.4,43.93,25.87,11.2,8.73,3.67,19.2,5.33
"Mar 11, 2022",ATL,LAC,H,W,119.75,42.81,90.06,47.76,14.5,37.62,38.84,19.62,23.38,84.12,10.44,33.0,43.44,25.94,11.25,8.75,3.62,19.31,5.19
"Mar 09, 2022",ATL,MIL,A,L,119.29,42.82,90.06,47.76,14.18,37.24,38.26,19.47,23.12,84.44,10.71,32.94,43.65,26.06,11.18,8.53,3.59,19.29,5.24
"Mar 07, 2022",ATL,DET,A,L,119.06,42.83,89.83,47.88,14.0,37.28,37.74,19.39,23.06,84.29,10.5,33.17,43.67,26.06,11.06,8.39,3.56,19.33,4.44
"Mar 04, 2022",ATL,WAS,A,W,118.58,42.79,90.0,47.74,13.84,37.32,37.28,19.16,23.0,83.45,10.63,33.26,43.89,26.16,11.21,8.11,3.68,19.63,4.05
"Mar 03, 2022",ATL,CHI,H,W,118.5,42.55,90.05,47.45,13.8,37.25,37.22,19.6,23.55,83.4,10.75,32.9,43.65,25.75,10.85,8.0,3.75,19.45,4.0
"Mar 01, 2022",ATL,BOS,A,L,119.05,42.62,89.76,47.68,14.0,37.38,37.59,19.81,23.76,83.5,10.62,32.52,43.14,25.76,10.62,7.95,3.71,19.24,4.1
"Feb 26, 2022",ATL,TOR,H,W,118.09,42.32,89.45,47.49,13.68,37.09,36.91,19.77,23.77,83.31,10.36,32.5,42.86,25.27,10.59,7.95,3.73,19.27,3.5
