MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022 - CHA @ CHI",W,124.0,48.0,89.0,53.9,18.0,33.0,54.5,10.0,14.0,71.4,11.0,37.0,48.0,34.0,20.0,6.0,9.0,20.0,16.0
"Apr 07, 2022 - CHA vs. ORL",W,128.5,50.0,87.5,57.2,18.5,36.5,51.0,10.0,12.0,85.7,9.5,33.5,43.0,34.0,15.5,6.5,6.5,20.5,16.0
"Apr 05, 2022 - CHA @ MIA",L,128.33,49.33,89.0,55.53,16.33,35.67,45.77,13.33,17.0,81.83,9.67,37.67,47.33,32.33,14.33,7.33,7.67,19.33,19.67
"Apr 02, 2022 - CHA @ PHI",L,125.0,48.25,88.0,54.88,15.25,36.25,42.23,13.25,17.25,79.42,9.0,34.25,43.25,32.75,14.5,7.5,6.5,19.0,7.5
"Mar 30, 2022 - CHA @ NYK",W,122.8,47.0,87.8,53.56,14.4,35.0,41.12,14.4,18.6,79.38,8.6,32.4,41.0,33.0,15.0,8.8,5.4,18.8,0.0
"Mar 28, 2022 - CHA vs. DEN",L,123.17,47.33,88.17,53.7,14.0,35.0,39.98,14.5,18.33,80.85,8.5,32.33,40.83,34.0,14.5,8.5,5.0,19.17,1.83
"Mar 27, 2022 - CHA @ BKN",W,121.14,46.86,88.86,52.79,13.86,36.0,38.7,13.57,17.43,78.83,8.43,32.29,40.71,33.86,14.57,8.86,4.71,19.43,1.0
"Mar 25, 2022 - CHA vs. UTA",W,120.88,46.25,90.0,51.55,14.25,35.5,40.5,14.12,18.12,78.76,9.5,32.75,42.25,32.88,14.25,8.5,4.38,19.75,2.0
"Mar 23, 2022 - CHA vs. NYK",L,119.33,45.67,89.78,51.0,14.11,35.33,40.24,13.89,18.0,77.86,10.22,32.33,42.56,32.11,13.78,8.33,4.22,19.44,2.44
"Mar 21, 2022 - CHA vs. NOP",W,118.0,45.3,89.7,50.62,14.0,36.4,39.05,13.4,17.9,75.36,10.6,32.2,42.8,31.5,13.5,8.0,4.2,19.3,0.7
"Mar 19, 2022 - CHA vs. DAL",W,116.91,44.82,88.73,50.62,13.91,36.45,38.69,13.36,17.64,76.39,10.09,32.0,42.09,31.73,13.82,7.73,4.73,19.27,0.91
"Mar 16, 2022 - CHA vs. ATL",W,117.92,44.75,88.67,50.57,14.42,36.92,39.43,14.0,18.42,76.51,10.08,32.33,42.42,31.83,13.42,7.75,5.0,19.17,2.58
"Mar 14, 2022 - CHA @ OKC",W,117.77,44.62,88.54,50.48,14.15,36.77,38.82,14.38,18.77,76.98,10.15,32.31,42.46,31.69,13.08,7.77,5.23,19.08,3.15
"Mar 11, 2022 - CHA @ NOP",W,118.93,44.93,88.71,50.71,14.57,36.64,40.12,14.5,18.93,76.92,10.0,32.07,42.07,31.79,12.57,8.07,5.36,18.93,4.21
"Mar 09, 2022 - CHA vs. BOS",L,120.47,45.4,88.6,51.32,15.07,37.33,40.57,14.6,19.0,77.13,9.73,32.07,41.8,32.4,12.67,8.27,5.07,19.2,5.4
"Mar 08, 2022 - CHA vs. BKN",L,119.25,44.81,88.38,50.76,14.62,37.06,39.54,15.0,19.56,76.99,10.06,32.0,42.06,31.5,12.88,8.25,5.19,18.94,4.19
"Mar 05, 2022 - CHA vs. SAS",W,119.35,44.82,88.59,50.65,14.53,37.29,39.08,15.18,19.71,77.28,10.06,31.94,42.0,31.18,13.0,8.47,5.06,19.24,3.29
"Mar 02, 2022 - CHA @ CLE",W,119.56,44.67,88.72,50.41,14.61,37.56,39.03,15.61,20.22,77.39,10.11,32.33,42.44,31.06,12.78,8.44,5.06,19.06,3.44
"Feb 28, 2022 - CHA @ MIL",L,119.53,44.58,88.53,50.42,14.74,37.58,39.33,15.63,20.32,77.14,10.05,32.53,42.58,31.11,12.74,8.53,5.05,19.16,4.37
"Feb 27, 2022 - CHA vs. DET",L,118.85,44.15,88.75,49.83,14.7,37.65,39.16,15.85,20.9,76.41,10.0,32.45,42.45,30.65,12.55,8.4,4.85,19.55,2.95
"Feb 25, 2022 - CHA vs. TOR",W,119.19,44.19,88.76,49.87,14.62,37.33,39.29,16.19,21.52,75.99,10.1,32.52,42.62,30.38,12.76,8.38,5.0,19.52,2.76
"Feb 17, 2022 - CHA vs. MIA",L,119.45,44.55,89.0,50.11,14.64,37.45,39.2,15.73,20.95,75.57,10.23,32.82,43.05,30.55,13.0,8.45,5.09,19.55,4.09
"Feb 15, 2022 - CHA @ MIN",L,118.91,44.26,89.26,49.67,14.43,37.65,38.53,15.96,21.35,75.33,10.52,33.17,43.7,30.39,13.22,8.35,5.04,19.91,3.74
"Feb 12, 2022 - CHA vs. MEM",L,118.96,44.17,89.79,49.32,14.17,37.46,37.94,16.46,22.0,75.34,10.75,33.71,44.46,30.42,13.25,8.38,5.12,20.33,3.33
"Feb 11, 2022 - CHA @ DET",W,118.92,43.96,90.08,48.96,14.16,37.76,37.66,16.84,22.44,75.48,11.04,33.76,44.8,30.32,13.4,8.32,5.16,20.68,2.92
"Feb 09, 2022 - CHA vs. CHI",L,119.77,44.35,90.35,49.22,14.31,37.92,37.87,16.77,22.46,75.08,11.19,33.85,45.04,30.54,13.58,8.5,5.04,20.73,3.65
"Feb 07, 2022 - CHA vs. TOR",L,119.37,44.19,90.44,48.99,14.26,38.11,37.58,16.74,22.48,74.88,11.19,33.78,44.96,30.37,13.41,8.44,4.89,20.56,3.07
"Feb 05, 2022 - CHA vs. MIA",L,118.71,44.0,90.61,48.7,14.07,38.18,37.04,16.64,22.25,75.33,11.11,33.61,44.71,30.29,13.39,8.54,4.86,20.5,2.43
"Feb 04, 2022 - CHA vs. CLE",L,117.59,43.62,90.45,48.35,13.93,38.1,36.72,16.41,22.03,74.89,11.14,33.76,44.9,30.03,13.62,8.38,4.86,20.45,1.72
"Feb 02, 2022 - CHA @ BOS",L,117.03,43.43,90.5,48.11,13.93,38.27,36.59,16.23,21.7,75.45,11.27,33.87,45.13,29.93,13.63,8.4,4.77,20.5,1.63
"Jan 30, 2022 - CHA vs. LAC",L,116.71,43.23,90.39,47.93,13.87,38.32,36.37,16.39,21.87,75.53,11.35,33.81,45.16,29.55,13.71,8.52,4.74,20.48,1.39
"Jan 28, 2022 - CHA vs. LAL",W,115.88,42.88,90.62,47.46,13.69,38.19,35.97,16.44,22.03,75.25,11.34,33.78,45.12,29.38,13.56,8.5,4.66,20.31,0.56
"Jan 26, 2022 - CHA @ IND",W,115.91,42.88,90.39,47.59,13.61,38.12,35.81,16.55,22.21,75.13,11.33,33.94,45.27,29.24,13.52,8.36,4.67,20.42,0.64
"Jan 25, 2022 - CHA @ TOR",L,117.15,43.21,90.47,47.9,13.91,38.32,36.32,16.82,22.53,75.24,11.24,33.76,45.0,29.47,13.5,8.38,4.68,20.68,1.56
"Jan 23, 2022 - CHA vs. ATL",L,117.03,43.11,90.23,47.92,13.8,38.11,36.21,17.0,22.8,75.15,11.17,33.6,44.77,29.34,13.46,8.34,4.6,20.66,1.17
"Jan 21, 2022 - CHA vs. OKC",W,116.31,42.86,90.14,47.68,13.53,38.06,35.51,17.06,22.92,75.01,11.17,33.86,45.03,29.17,13.53,8.28,4.64,20.75,0.53
"Jan 19, 2022 - CHA @ BOS",W,116.43,42.92,90.38,47.62,13.62,38.35,35.49,16.97,22.84,74.88,11.3,34.19,45.49,29.3,13.49,8.27,4.65,20.68,1.14
"Jan 17, 2022 - CHA @ NYK",W,116.29,42.89,90.26,47.65,13.68,38.37,35.63,16.82,22.63,74.84,11.29,34.24,45.53,29.24,13.58,8.21,4.68,20.58,1.34
"Jan 14, 2022 - CHA vs. ORL",L,115.79,42.72,90.15,47.5,13.69,38.38,35.64,16.67,22.49,74.58,11.15,34.21,45.36,29.08,13.41,8.15,4.62,20.41,1.56
"Jan 12, 2022 - CHA @ PHI",W,115.62,42.65,90.33,47.34,13.65,38.48,35.46,16.68,22.45,74.74,11.15,34.17,45.33,29.05,13.5,8.18,4.62,20.4,1.35
"Jan 10, 2022 - CHA vs. MIL",W,115.46,42.73,90.29,47.45,13.56,38.37,35.32,16.44,22.1,75.05,11.05,34.2,45.24,29.05,13.46,8.2,4.59,20.41,1.59
"Jan 08, 2022 - CHA vs. MIL",W,115.17,42.62,90.43,47.26,13.55,38.5,35.18,16.38,21.95,75.35,11.1,34.21,45.31,28.9,13.48,8.29,4.55,20.31,1.64
"Jan 05, 2022 - CHA vs. DET",W,115.14,42.65,90.63,47.2,13.6,38.72,35.13,16.23,21.84,74.96,11.14,34.26,45.4,28.91,13.42,8.33,4.51,20.42,1.79
"Jan 03, 2022 - CHA @ WAS",L,115.7,42.77,90.41,47.47,13.84,38.8,35.63,16.32,22.0,74.83,11.07,34.41,45.48,29.14,13.5,8.27,4.48,20.43,2.41
"Jan 02, 2022 - CHA vs. PHX",L,115.82,42.93,90.71,47.49,13.84,38.78,35.66,16.11,21.8,74.36,11.11,34.36,45.47,29.11,13.4,8.4,4.49,20.47,2.29
"Dec 29, 2021 - CHA @ IND",W,115.46,42.85,90.59,47.45,13.74,38.7,35.44,16.02,21.78,73.98,10.98,34.24,45.22,29.07,13.5,8.43,4.59,20.35,1.5
