MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022 - DET vs. MIL",L,106.0,38.0,83.0,45.8,11.0,34.0,32.4,19.0,29.0,65.5,15.0,27.0,42.0,26.0,20.0,4.0,4.0,16.0,-12.0
"Apr 06, 2022 - DET vs. DAL",L,103.5,36.5,86.5,42.35,10.5,41.0,26.6,20.0,26.0,78.4,12.0,30.5,42.5,26.5,17.0,5.0,4.5,19.0,-21.0
"Apr 03, 2022 - DET @ IND",W,106.67,36.0,85.0,42.47,10.67,37.33,29.97,24.0,29.0,82.73,11.67,30.67,42.33,26.33,15.0,5.67,4.67,19.67,-20.0
"Apr 01, 2022 - DET @ OKC",W,110.25,37.75,88.5,42.7,13.25,38.25,35.28,21.5,26.25,81.5,11.25,30.0,41.25,27.5,14.25,7.0,4.5,19.5,-14.0
"Mar 31, 2022 - DET vs. PHI",W,110.2,38.2,89.6,42.68,13.6,40.2,34.48,20.2,24.6,81.86,10.6,31.2,41.8,27.8,13.0,7.4,5.2,19.6,-9.4
"Mar 29, 2022 - DET @ BKN",L,108.83,38.67,88.33,43.9,13.0,39.33,33.5,18.5,23.0,79.33,9.67,31.5,41.17,27.5,12.5,8.0,5.0,19.83,-6.5
"Mar 27, 2022 - DET vs. NYK",L,110.86,40.0,89.86,44.56,13.43,39.14,34.73,17.43,21.57,80.09,10.57,30.29,40.86,27.57,12.71,8.43,4.86,20.57,-6.57
"Mar 25, 2022 - DET vs. WAS",L,109.75,39.88,89.25,44.72,12.75,37.88,33.84,17.25,21.12,81.19,10.38,30.0,40.38,27.0,12.38,8.38,4.88,20.62,-6.0
"Mar 23, 2022 - DET vs. ATL",W,108.33,39.78,89.89,44.32,12.0,37.22,32.17,16.78,20.33,82.49,10.33,30.89,41.22,26.11,12.67,8.44,5.22,20.56,-5.67
"Mar 21, 2022 - DET vs. POR",L,109.7,40.2,89.7,44.89,12.0,36.8,32.59,17.3,20.8,83.04,10.2,32.3,42.5,26.5,13.0,8.6,5.1,20.4,-3.0
"Mar 19, 2022 - DET @ CLE",L,110.18,39.82,89.27,44.66,11.73,36.64,31.96,18.82,22.64,83.03,10.36,32.64,43.0,26.09,13.64,8.55,5.09,21.64,-3.09
"Mar 17, 2022 - DET @ ORL",W,110.08,39.92,88.92,44.96,11.83,36.08,32.91,18.42,22.33,82.25,10.33,32.25,42.58,25.83,13.83,8.67,5.17,21.67,-3.17
"Mar 15, 2022 - DET @ MIA",L,111.92,40.46,89.31,45.35,12.46,36.62,33.95,18.54,23.0,80.88,10.31,32.46,42.77,26.46,13.46,8.85,5.0,21.62,-1.85
"Mar 13, 2022 - DET vs. LAC",L,110.93,40.21,88.64,45.41,12.29,36.43,33.63,18.21,22.93,79.65,10.0,32.5,42.5,26.21,13.43,8.64,5.0,22.21,-2.21
"Mar 11, 2022 - DET @ BOS",L,110.33,39.93,88.07,45.39,12.27,35.93,34.15,18.2,22.73,80.34,9.87,32.73,42.6,26.0,13.2,8.27,4.93,21.93,-2.33
"Mar 09, 2022 - DET vs. CHI",L,109.88,39.62,87.75,45.19,12.12,35.81,33.85,18.5,22.81,81.31,9.94,32.62,42.56,25.69,13.25,8.0,4.88,21.94,-2.88
"Mar 07, 2022 - DET vs. ATL",W,109.76,39.76,87.41,45.54,12.06,35.53,33.95,18.18,22.47,81.02,9.65,32.29,41.94,25.65,13.41,7.88,4.76,22.12,-3.06
"Mar 04, 2022 - DET vs. IND",W,109.94,39.94,87.72,45.58,12.06,35.39,34.08,18.0,22.5,80.14,9.94,32.28,42.22,25.72,13.44,7.83,4.61,22.39,-2.72
"Mar 03, 2022 - DET @ TOR",W,110.0,40.05,88.05,45.53,12.21,35.11,34.92,17.68,22.26,79.44,10.42,32.32,42.74,25.84,13.42,7.68,4.84,22.37,-2.32
"Mar 01, 2022 - DET @ WAS",L,109.9,39.95,87.85,45.52,12.15,35.2,34.66,17.85,22.55,79.22,10.45,32.25,42.7,25.8,13.25,7.5,4.85,22.7,-2.1
"Feb 27, 2022 - DET @ CHA",W,110.05,40.1,87.95,45.62,11.95,34.81,34.42,17.9,22.57,79.38,10.62,32.1,42.71,25.67,13.19,7.57,4.76,22.62,-2.14
"Feb 26, 2022 - DET vs. BOS",L,110.82,40.55,88.95,45.62,12.05,35.05,34.45,17.68,22.36,79.05,11.14,32.09,43.23,25.86,13.27,7.68,4.68,22.91,-2.0
