DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2022",LAC,SAC,H,W,138.0,54.0,97.0,55.7,18.0,35.0,51.4,12.0,14.0,85.7,12.0,45.0,57.0,34.0,9.0,4.0,8.0,11.0,50.0
"Apr 06, 2022",LAC,PHX,H,W,127.5,48.0,91.5,52.25,19.5,39.0,50.1,12.0,14.5,82.85,11.0,41.5,52.5,31.5,13.0,5.5,5.5,16.5,34.5
"Apr 03, 2022",LAC,NOP,H,W,122.67,43.0,86.0,49.5,17.0,37.33,45.17,19.67,24.33,81.73,10.33,43.0,53.33,27.67,14.33,6.0,6.67,16.67,24.33
"Apr 01, 2022",LAC,MIL,A,W,121.75,43.5,88.25,48.98,18.0,39.0,45.8,16.75,20.75,81.3,10.75,39.5,50.25,29.0,13.25,7.0,6.25,17.75,23.0
"Mar 31, 2022",LAC,CHI,A,L,128.0,46.0,89.0,51.36,19.0,39.8,47.34,17.0,21.4,80.04,10.2,37.2,47.4,30.0,12.6,7.4,6.4,17.6,25.2
"Mar 29, 2022",LAC,UTA,H,W,128.33,45.83,89.17,51.13,18.5,39.17,46.85,18.17,22.17,82.08,9.17,37.0,46.17,29.33,12.5,7.33,6.17,18.67,20.17
"Mar 25, 2022",LAC,PHI,H,L,127.29,45.14,88.29,50.89,18.0,38.71,46.11,19.0,23.0,82.6,9.29,35.0,44.29,28.14,12.29,7.43,5.86,19.29,18.14
"Mar 22, 2022",LAC,DEN,A,L,123.5,43.75,87.88,49.52,16.75,37.0,44.35,19.25,23.25,82.78,9.25,34.38,43.62,27.0,12.75,7.38,6.0,19.12,12.75
"Mar 18, 2022",LAC,UTA,A,L,122.56,43.56,87.67,49.44,16.0,36.44,42.9,19.44,23.56,82.56,8.89,33.78,42.67,27.0,12.0,6.89,6.11,19.11,10.0
"Mar 16, 2022",LAC,TOR,H,L,119.5,42.3,87.5,48.1,15.5,36.3,41.75,19.4,23.3,83.35,8.8,33.9,42.7,26.6,12.0,7.2,6.3,18.5,6.1
