DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",LAL,OKC,H,W,146.0,44.0,94.0,46.8,16.0,43.0,37.2,42.0,47.0,89.4,13.0,37.0,50.0,26.0,13.0,4.0,6.0,24.0,5.0
"Apr 07, 2022",LAL,GSW,A,L,133.0,42.5,88.0,48.4,12.5,37.0,33.1,35.5,43.0,81.9,10.0,37.5,47.5,24.5,11.5,6.0,5.0,20.5,12.0
"Apr 05, 2022",LAL,PHX,A,L,126.0,40.67,86.33,47.13,11.33,35.33,31.43,33.33,41.33,80.03,9.33,36.33,45.67,21.0,14.0,6.67,4.67,18.0,2.67
"Apr 03, 2022",LAL,DEN,H,L,122.0,40.25,86.25,46.67,10.75,33.75,31.33,30.75,38.5,79.2,8.75,37.0,45.75,21.25,14.5,6.75,4.25,17.0,-0.75
"Apr 01, 2022",LAL,NOP,H,L,121.2,42.0,87.4,48.0,9.8,31.0,31.06,27.4,35.0,76.7,8.2,36.4,44.6,23.2,14.2,6.2,4.4,18.6,-2.8
"Mar 31, 2022",LAL,UTA,A,L,119.5,41.5,86.5,47.93,10.0,30.33,32.67,26.5,34.33,75.75,8.0,35.83,43.83,23.33,14.67,6.83,3.83,19.5,-2.83
"Mar 29, 2022",LAL,DAL,A,L,118.0,41.43,86.0,48.14,9.57,29.57,32.0,25.57,33.43,75.13,8.14,35.14,43.29,22.57,14.14,6.57,3.71,19.71,-4.29
"Mar 27, 2022",LAL,NOP,A,L,117.0,41.25,86.38,47.74,9.88,31.38,31.41,24.62,32.0,75.96,8.88,35.0,43.88,22.25,13.5,6.62,3.5,20.0,-6.0
"Mar 23, 2022",LAL,PHI,H,L,116.0,41.33,85.67,48.27,10.33,31.78,32.37,23.0,30.22,74.47,8.67,34.67,43.33,22.67,13.67,6.44,3.33,20.0,-6.22
"Mar 21, 2022",LAL,CLE,A,W,116.5,42.2,86.8,48.59,10.4,31.6,32.8,21.7,28.8,73.27,8.9,34.6,43.5,22.9,13.5,6.4,3.3,19.9,-6.1
"Mar 19, 2022",LAL,WAS,A,L,117.82,43.18,87.45,49.3,10.55,31.64,33.23,20.91,27.64,74.0,8.91,34.36,43.27,23.91,13.0,6.45,3.27,19.82,-4.55
"Mar 18, 2022",LAL,TOR,A,W,117.92,43.58,87.75,49.58,10.75,31.92,33.55,20.0,26.25,75.41,8.92,34.17,43.08,24.0,13.17,6.17,3.08,20.08,-4.83
"Mar 16, 2022",LAL,MIN,A,L,118.69,43.85,88.38,49.54,11.38,32.77,34.37,19.62,25.85,75.1,9.23,33.85,43.08,24.69,13.23,6.15,3.15,20.0,-4.08
"Mar 14, 2022",LAL,TOR,H,L,117.64,43.5,88.71,48.99,11.29,33.57,33.54,19.36,25.64,74.71,9.5,33.21,42.71,24.57,13.29,6.21,3.21,20.36,-5.21
"Mar 13, 2022",LAL,PHX,A,L,116.67,42.87,88.6,48.33,11.4,34.13,33.37,19.53,25.87,74.79,9.47,33.27,42.73,24.27,13.27,6.27,3.47,20.8,-5.6
"Mar 11, 2022",LAL,WAS,H,W,116.31,42.44,88.12,48.09,11.69,34.5,33.78,19.75,26.19,74.75,9.31,33.06,42.38,24.25,13.62,6.12,3.38,20.38,-7.06
"Mar 09, 2022",LAL,HOU,A,L,116.65,42.76,88.29,48.36,11.82,34.29,34.45,19.29,25.65,74.51,9.18,32.88,42.06,24.29,13.35,6.06,3.35,20.65,-5.88
"Mar 07, 2022",LAL,SAS,A,L,117.39,43.0,89.0,48.26,12.17,35.0,34.67,19.22,25.67,74.21,9.33,33.06,42.39,24.33,13.5,6.28,3.56,20.67,-6.06
"Mar 05, 2022",LAL,GSW,H,W,117.0,43.0,89.11,48.21,11.95,34.53,34.46,19.05,25.53,73.97,9.47,32.95,42.42,24.05,13.58,6.32,3.53,20.95,-6.11
"Mar 03, 2022",LAL,LAC,A,L,117.35,43.05,89.1,48.27,12.25,34.85,34.93,19.0,25.3,74.55,9.6,33.05,42.65,24.1,13.9,6.5,3.65,20.8,-5.4
"Mar 01, 2022",LAL,DAL,H,L,117.05,42.95,88.86,48.29,12.24,34.86,34.9,18.9,25.14,74.69,9.57,32.76,42.33,24.19,13.9,6.57,3.67,20.62,-6.14
"Feb 27, 2022",LAL,NOP,H,L,116.45,42.68,88.55,48.15,12.32,34.82,35.19,18.77,24.91,74.93,9.32,32.77,42.09,24.09,13.82,6.64,3.77,20.59,-6.09
"Feb 25, 2022",LAL,LAC,H,L,115.52,42.35,88.35,47.87,12.09,34.78,34.56,18.74,24.7,75.58,9.22,32.7,41.91,23.7,14.22,6.7,3.91,20.48,-7.04
"Feb 16, 2022",LAL,UTA,H,W,114.96,42.21,88.54,47.62,11.92,34.62,34.19,18.62,24.54,75.61,9.38,32.75,42.12,23.46,14.12,6.75,4.04,20.33,-6.88
"Feb 12, 2022",LAL,GSW,A,L,114.6,42.16,88.44,47.62,11.84,34.68,33.94,18.44,24.44,75.13,9.48,32.72,42.2,23.48,14.04,6.84,4.16,20.24,-6.4
"Feb 09, 2022",LAL,POR,A,L,114.62,42.12,88.42,47.58,11.81,34.38,34.2,18.58,24.77,74.8,9.58,32.85,42.42,23.54,13.85,6.77,4.23,20.38,-6.23
"Feb 08, 2022",LAL,MIL,H,L,114.26,42.07,87.89,47.87,12.0,34.48,34.63,18.11,24.33,73.74,9.33,32.93,42.26,23.74,14.11,6.78,4.33,20.19,-6.07
"Feb 05, 2022",LAL,NYK,H,W,114.32,42.14,87.79,48.01,11.93,34.39,34.51,18.11,24.54,73.25,9.43,32.79,42.21,23.89,14.18,6.79,4.39,20.18,-6.39
"Feb 03, 2022",LAL,LAC,A,L,114.59,42.34,88.28,47.98,11.83,34.38,34.23,18.07,24.66,72.82,9.59,33.14,42.72,24.07,14.14,6.83,4.48,20.28,-5.93
"Feb 02, 2022",LAL,POR,H,W,114.43,42.3,88.27,47.93,11.8,34.2,34.36,18.03,24.67,72.66,9.63,33.13,42.77,23.9,14.03,6.8,4.53,20.03,-5.77
"Jan 30, 2022",LAL,ATL,A,L,113.94,42.0,87.94,47.75,11.77,34.06,34.43,18.16,24.94,72.47,9.71,33.39,43.1,23.94,14.13,6.84,4.61,19.97,-5.42
"Jan 28, 2022",LAL,CHA,A,L,114.16,42.16,87.91,47.95,11.88,34.09,34.7,17.97,24.88,71.83,9.59,33.34,42.94,24.09,14.09,6.78,4.53,20.09,-5.5
"Jan 27, 2022",LAL,PHI,A,L,114.15,42.03,88.0,47.76,11.97,34.27,34.78,18.12,25.09,71.84,9.67,33.3,42.97,23.94,13.88,6.79,4.48,20.18,-5.42
"Jan 25, 2022",LAL,BKN,A,W,113.35,41.85,88.0,47.56,11.79,34.12,34.37,17.85,24.62,72.66,9.65,33.29,42.94,23.79,14.03,6.79,4.62,20.06,-5.79
"Jan 23, 2022",LAL,MIA,A,L,113.14,41.86,88.03,47.55,11.8,34.23,34.29,17.63,24.2,73.45,9.51,33.14,42.66,23.77,13.91,6.94,4.74,20.03,-5.34
"Jan 21, 2022",LAL,ORL,A,W,112.97,41.69,87.78,47.49,11.78,34.39,34.1,17.81,24.36,73.63,9.44,33.08,42.53,23.67,14.03,6.94,4.64,20.03,-5.36
"Jan 19, 2022",LAL,IND,H,L,113.05,41.7,87.7,47.55,11.81,34.27,34.35,17.84,24.32,73.87,9.41,33.19,42.59,23.65,14.16,7.08,4.62,20.14,-4.92
"Jan 17, 2022",LAL,UTA,H,W,112.82,41.66,87.76,47.46,11.79,34.26,34.3,17.71,24.16,73.83,9.47,33.05,42.53,23.63,14.08,7.0,4.68,20.08,-4.97
"Jan 15, 2022",LAL,DEN,A,L,112.51,41.56,87.72,47.38,11.77,34.33,34.18,17.62,24.13,73.49,9.49,33.1,42.59,23.41,14.05,7.0,4.69,20.05,-4.69
"Jan 12, 2022",LAL,SAC,A,L,112.1,41.42,87.58,47.29,11.72,34.23,34.16,17.52,24.0,73.5,9.45,33.1,42.55,23.35,13.97,6.92,4.65,19.93,-5.5
"Jan 09, 2022",LAL,MEM,H,L,112.2,41.44,87.83,47.19,11.83,34.54,34.15,17.49,24.0,73.33,9.59,33.02,42.61,23.39,13.85,6.9,4.61,19.9,-5.59
