DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",MIL,DET,A,W,115.0,39.0,88.0,44.3,12.0,30.0,40.0,25.0,32.0,78.1,8.0,33.0,41.0,27.0,12.0,7.0,2.0,14.0,-18.0
"Apr 07, 2022",MIL,BOS,H,W,123.0,44.5,94.5,46.9,11.5,33.5,34.85,22.5,27.5,82.55,9.0,37.0,46.0,28.0,10.0,7.0,1.5,17.0,6.0
"Apr 05, 2022",MIL,CHI,A,W,124.33,46.0,95.33,48.1,12.33,35.0,35.5,20.0,25.33,78.83,10.67,36.0,46.67,27.67,10.33,9.0,2.67,17.67,6.0
"Apr 03, 2022",MIL,DAL,H,L,125.0,46.0,93.25,49.3,12.25,35.0,35.2,20.75,25.25,82.12,10.0,36.75,46.75,28.75,11.25,8.75,4.0,18.0,9.75
"Apr 01, 2022",MIL,LAC,H,L,122.4,45.2,93.6,48.28,12.8,36.0,35.66,19.2,23.8,80.14,10.0,34.6,44.6,28.0,10.8,8.8,3.4,18.8,6.6
"Mar 31, 2022",MIL,BKN,A,W,121.83,46.0,93.67,49.1,12.0,34.17,35.05,17.83,22.83,76.97,10.5,33.0,43.5,28.33,11.5,8.33,3.67,18.83,-0.17
"Mar 29, 2022",MIL,PHI,A,W,121.57,45.14,93.0,48.5,12.0,35.14,34.23,19.29,24.43,77.74,10.57,34.86,45.43,26.71,13.14,8.86,3.57,18.14,0.0
"Mar 26, 2022",MIL,MEM,A,L,121.12,45.0,92.38,48.69,12.25,35.5,34.55,18.88,24.25,76.73,10.38,35.38,45.75,26.62,12.88,8.38,3.62,18.0,0.25
"Mar 24, 2022",MIL,WAS,H,W,119.0,44.11,92.44,47.7,11.67,35.11,33.14,19.11,24.44,77.18,10.78,35.0,45.78,25.78,13.0,7.89,4.0,18.33,-2.56
"Mar 22, 2022",MIL,CHI,H,W,118.5,43.9,91.3,48.12,12.1,35.1,34.4,18.6,23.6,78.21,10.1,35.2,45.3,25.5,13.3,7.6,3.8,18.2,-1.1
"Mar 19, 2022",MIL,MIN,A,L,119.18,44.45,90.45,49.29,12.09,34.45,35.17,18.18,23.27,77.46,9.64,36.36,46.0,25.55,13.45,7.27,4.0,17.64,1.55
"Mar 16, 2022",MIL,SAC,A,W,119.17,44.33,91.0,48.88,12.67,35.92,35.28,17.83,22.75,77.88,10.0,36.42,46.42,25.67,13.5,7.17,4.0,17.67,-0.17
"Mar 14, 2022",MIL,UTA,A,W,120.38,44.54,90.85,49.18,13.08,35.85,36.52,18.23,23.46,77.42,9.85,36.62,46.46,25.31,13.46,7.54,3.92,17.77,0.54
"Mar 12, 2022",MIL,GSW,A,L,120.14,44.21,90.5,48.99,13.0,35.5,36.68,18.71,23.86,78.04,9.57,36.57,46.14,25.0,13.5,7.71,3.86,17.86,0.93
"Mar 09, 2022",MIL,ATL,H,W,119.4,43.8,90.6,48.47,13.27,36.07,36.81,18.53,23.8,77.48,9.47,36.2,45.67,25.13,12.93,7.73,3.73,17.73,0.0
