DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",NYK,WAS,A,W,105.0,40.0,87.0,46.0,15.0,43.0,34.9,10.0,12.0,83.3,10.0,38.0,48.0,32.0,17.0,6.0,5.0,17.0,11.0
"Apr 06, 2022",NYK,BKN,H,L,109.5,40.5,87.5,46.3,15.5,41.0,37.95,13.0,16.0,81.65,10.0,35.0,45.0,29.5,13.5,9.5,4.0,18.0,16.5
"Apr 03, 2022",NYK,ORL,A,W,105.67,37.67,86.0,43.73,14.67,40.0,36.7,15.67,22.67,73.87,10.0,34.0,44.0,27.0,12.67,7.67,5.0,18.33,7.0
"Apr 02, 2022",NYK,CLE,H,L,108.75,39.5,87.75,44.9,14.75,41.0,36.05,15.0,21.0,75.73,10.75,36.25,47.0,27.5,12.0,8.0,5.5,19.25,12.75
"Mar 30, 2022",NYK,CHA,H,L,107.2,37.8,85.6,43.98,14.4,38.8,37.5,17.2,23.6,75.88,9.8,34.8,44.6,25.8,11.8,7.6,5.2,19.2,6.6
"Mar 28, 2022",NYK,CHI,H,W,108.33,38.17,85.5,44.5,14.67,39.67,37.32,17.33,24.0,74.77,10.0,34.33,44.33,25.33,12.17,7.17,5.17,19.17,3.67
"Mar 27, 2022",NYK,DET,A,W,108.43,38.14,86.0,44.24,14.29,39.0,36.89,17.86,25.57,72.66,10.43,34.14,44.57,24.43,11.29,6.71,5.0,19.57,3.86
"Mar 25, 2022",NYK,MIA,A,W,107.88,37.62,85.88,43.71,14.12,39.25,36.24,18.5,26.0,73.49,10.75,34.62,45.38,23.75,11.62,6.88,5.38,19.12,3.62
"Mar 23, 2022",NYK,CHA,A,W,108.22,37.44,85.44,43.73,14.44,40.44,35.99,18.89,26.22,74.06,11.44,33.56,45.0,23.67,11.56,7.0,5.0,19.67,4.11
"Mar 22, 2022",NYK,ATL,H,L,109.5,38.0,85.2,44.54,15.0,40.9,36.83,18.5,25.3,75.47,10.9,33.6,44.5,24.3,11.3,6.8,4.8,19.4,5.2
"Mar 20, 2022",NYK,UTA,H,L,109.64,38.36,85.27,44.93,14.82,40.27,36.95,18.09,25.36,73.5,11.18,33.0,44.18,23.91,11.55,7.27,4.73,19.73,4.18
"Mar 18, 2022",NYK,WAS,H,W,108.25,37.75,85.08,44.29,14.92,40.25,37.21,17.83,25.0,73.33,11.08,32.5,43.58,23.58,11.5,7.25,4.5,19.67,2.58
"Mar 16, 2022",NYK,POR,H,W,107.62,37.23,85.46,43.53,14.54,39.69,36.68,18.62,25.85,73.67,11.69,33.15,44.85,23.15,11.62,7.38,4.38,19.69,2.62
"Mar 13, 2022",NYK,BKN,A,L,109.07,37.43,85.07,43.99,14.64,39.57,37.06,19.57,26.79,74.27,11.5,33.5,45.0,23.71,11.57,7.5,4.64,19.29,4.57
"Mar 11, 2022",NYK,MEM,A,L,108.93,37.53,84.93,44.19,14.4,38.87,37.12,19.47,26.4,75.03,11.47,33.2,44.67,23.93,11.93,7.53,4.67,19.4,4.07
"Mar 09, 2022",NYK,DAL,A,W,109.25,37.56,85.25,44.07,14.12,38.0,37.3,20.0,27.06,75.08,11.69,33.56,45.25,23.88,12.19,7.56,4.75,20.12,3.56
"Mar 07, 2022",NYK,SAC,A,W,109.12,37.47,85.18,44.0,13.82,37.76,36.66,20.35,27.41,75.29,11.82,34.0,45.82,23.65,12.24,7.29,4.65,20.41,5.12
"Mar 06, 2022",NYK,LAC,A,W,110.33,38.0,85.56,44.39,14.06,38.0,37.01,20.28,27.17,75.7,11.67,34.22,45.89,23.39,12.06,7.28,4.72,21.0,5.72
"Mar 04, 2022",NYK,PHX,A,L,110.63,38.21,85.74,44.54,14.0,37.53,37.42,20.21,27.32,75.05,11.84,34.63,46.47,23.16,11.95,7.11,4.74,20.84,6.63
"Mar 02, 2022",NYK,PHI,A,L,110.8,38.3,85.75,44.64,13.95,37.1,37.79,20.25,27.45,74.79,11.85,34.75,46.6,23.15,12.05,7.1,4.75,20.9,6.25
"Feb 27, 2022",NYK,PHI,H,L,110.67,38.33,86.0,44.56,13.67,36.67,37.35,20.33,27.67,74.51,11.76,34.52,46.29,23.0,11.95,7.19,4.67,21.1,5.24
"Feb 25, 2022",NYK,MIA,H,L,110.59,38.32,85.95,44.56,13.55,36.5,37.17,20.41,28.0,73.98,11.77,34.55,46.32,22.91,12.23,7.14,4.55,21.23,4.27
"Feb 16, 2022",NYK,BKN,H,L,110.13,37.96,85.48,44.37,13.57,36.65,37.07,20.65,28.35,73.9,11.48,34.78,46.26,22.74,12.48,7.0,4.39,21.61,3.43
"Feb 14, 2022",NYK,OKC,H,L,109.96,37.92,85.46,44.33,13.67,36.92,37.08,20.46,27.92,74.53,11.42,34.75,46.17,22.71,12.38,7.0,4.58,21.42,3.08
"Feb 12, 2022",NYK,POR,A,L,110.48,38.2,86.36,44.22,13.72,37.44,36.8,20.36,27.68,74.82,11.72,34.84,46.56,22.92,12.44,7.04,4.88,21.56,2.8
"Feb 10, 2022",NYK,GSW,A,W,110.19,37.92,86.15,44.0,13.65,37.5,36.57,20.69,27.92,75.22,11.62,34.73,46.35,22.77,12.46,7.0,4.92,21.65,2.35
"Feb 08, 2022",NYK,DEN,A,L,110.41,37.96,86.3,43.97,13.67,37.44,36.65,20.81,28.11,75.13,11.78,34.74,46.52,22.81,12.56,6.85,4.85,21.52,2.33
"Feb 07, 2022",NYK,UTA,A,L,110.57,38.21,86.82,43.99,13.71,37.64,36.59,20.43,27.54,75.42,11.86,34.46,46.32,22.89,12.43,6.93,4.79,21.64,1.64
"Feb 05, 2022",NYK,LAL,A,L,110.34,38.14,87.1,43.78,13.52,37.48,36.16,20.55,27.79,75.19,12.14,34.52,46.66,22.72,12.55,6.97,4.72,21.69,1.28
"Feb 02, 2022",NYK,MEM,H,L,110.5,38.17,87.47,43.65,13.43,37.5,35.92,20.73,28.07,75.09,12.23,34.73,46.97,22.77,12.6,7.0,4.7,21.83,1.0
"Jan 31, 2022",NYK,SAC,H,W,110.42,38.16,87.48,43.64,13.39,37.45,35.84,20.71,28.0,75.15,12.26,34.74,47.0,22.77,12.68,6.94,4.87,21.74,0.58
"Jan 28, 2022",NYK,MIL,A,L,110.59,38.22,87.25,43.83,13.38,37.38,35.87,20.78,28.03,75.28,12.12,34.88,47.0,22.84,12.81,7.09,4.88,21.69,1.19
"Jan 26, 2022",NYK,MIA,A,L,110.52,38.24,87.15,43.91,13.39,37.45,35.85,20.64,28.03,74.72,12.09,34.85,46.94,22.79,12.85,7.06,4.85,21.73,0.7
"Jan 24, 2022",NYK,CLE,A,L,110.09,38.15,87.03,43.86,13.44,37.65,35.8,20.35,27.71,74.43,12.18,34.68,46.85,22.82,13.0,7.09,4.82,21.76,0.26
"Jan 23, 2022",NYK,LAC,H,W,109.6,38.06,86.94,43.8,13.4,37.66,35.68,20.09,27.51,73.8,12.14,34.66,46.8,22.77,12.97,7.2,4.71,21.69,0.2
"Jan 20, 2022",NYK,NOP,H,L,109.61,38.08,87.06,43.78,13.47,37.61,35.92,19.97,27.28,74.09,12.22,34.72,46.94,22.86,12.97,7.17,4.69,21.69,0.42
"Jan 18, 2022",NYK,MIN,H,L,109.11,37.84,86.78,43.61,13.35,37.62,35.59,20.08,27.51,73.89,12.27,34.7,46.97,22.81,13.03,7.14,4.7,21.68,0.11
"Jan 17, 2022",NYK,CHA,H,L,109.13,37.82,86.61,43.68,13.32,37.63,35.48,20.18,27.66,73.86,12.24,34.66,46.89,22.76,13.16,7.11,4.76,21.89,0.05
"Jan 15, 2022",NYK,ATL,A,W,108.56,37.67,86.44,43.59,13.28,37.54,35.48,19.95,27.49,73.31,12.28,34.77,47.05,22.74,13.21,7.1,4.74,21.82,-0.21
"Jan 12, 2022",NYK,DAL,H,W,108.78,37.77,86.35,43.76,13.28,37.38,35.64,19.95,27.45,73.4,12.25,34.73,46.98,22.77,13.15,6.97,4.62,21.77,0.03
"Jan 10, 2022",NYK,SAS,H,W,108.76,37.88,86.44,43.83,13.24,37.12,35.85,19.76,27.15,73.56,12.22,34.93,47.15,22.8,13.05,6.93,4.61,21.76,0.59
"Jan 08, 2022",NYK,BOS,A,L,108.81,37.93,86.33,43.95,13.24,37.0,35.97,19.71,27.07,73.59,12.14,35.05,47.19,22.81,13.1,6.93,4.71,21.76,0.93
"Jan 06, 2022",NYK,BOS,H,W,108.02,37.72,86.16,43.78,13.19,36.86,35.96,19.4,26.79,72.81,12.12,34.91,47.02,22.58,13.12,6.95,4.7,21.6,0.35
"Jan 04, 2022",NYK,IND,H,W,108.02,37.77,86.25,43.8,13.3,36.84,36.27,19.18,26.52,72.67,12.09,34.82,46.91,22.59,13.07,6.98,4.61,21.5,0.41
"Jan 02, 2022",NYK,TOR,A,L,107.93,37.8,86.11,43.91,13.13,36.64,35.94,19.2,26.56,72.64,12.13,34.87,47.0,22.47,13.0,6.96,4.51,21.53,0.62
"Dec 31, 2021",NYK,OKC,A,L,107.87,37.74,85.93,43.93,13.11,36.63,35.89,19.28,26.59,72.85,12.02,34.61,46.63,22.46,13.11,7.04,4.5,21.63,0.28
"Dec 29, 2021",NYK,DET,A,W,107.28,37.57,85.83,43.78,13.0,36.72,35.54,19.13,26.49,72.46,11.87,34.79,46.66,22.23,13.04,7.02,4.47,21.43,-0.04
"Dec 28, 2021",NYK,MIN,A,W,107.0,37.44,85.73,43.67,12.9,36.6,35.34,19.23,26.5,72.8,11.85,34.83,46.69,22.17,13.12,7.1,4.48,21.27,0.15
"Dec 25, 2021",NYK,ATL,H,W,106.78,37.43,85.82,43.62,12.96,36.67,35.43,18.96,26.29,72.08,11.92,34.92,46.84,22.12,13.18,7.06,4.47,21.24,0.31
"Dec 23, 2021",NYK,WAS,H,L,106.66,37.44,85.8,43.64,13.1,36.94,35.52,18.68,26.0,71.47,11.86,35.04,46.9,22.24,13.12,7.04,4.5,21.08,0.58
"Dec 21, 2021",NYK,DET,H,W,106.86,37.53,85.94,43.67,13.1,37.04,35.43,18.71,25.94,71.78,11.9,34.94,46.84,22.14,13.0,6.94,4.43,21.08,0.43
"Dec 18, 2021",NYK,BOS,A,L,106.83,37.58,86.02,43.68,13.06,36.96,35.39,18.62,25.81,71.82,11.92,35.02,46.94,22.13,13.0,6.9,4.48,21.04,0.69
"Dec 16, 2021",NYK,HOU,A,W,106.83,37.53,85.91,43.68,13.06,36.94,35.41,18.72,25.89,71.97,11.85,35.0,46.85,22.06,13.02,6.92,4.51,21.04,0.55
"Dec 14, 2021",NYK,GSW,H,L,107.0,37.56,85.85,43.75,13.13,36.93,35.62,18.76,25.87,72.19,11.91,34.81,46.72,22.11,13.0,6.94,4.54,21.13,0.78
"Dec 12, 2021",NYK,MIL,H,L,106.8,37.42,85.8,43.61,13.18,37.02,35.67,18.78,25.8,72.53,11.76,34.75,46.51,22.04,12.93,6.93,4.56,21.13,0.6
