MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022 - PHX @ UTA",W,109.0,42.0,103.0,40.8,14.0,47.0,29.8,11.0,15.0,73.3,18.0,32.0,50.0,27.0,11.0,9.0,7.0,25.0,-7.0
"Apr 06, 2022 - PHX @ LAC",L,110.0,44.0,97.5,45.4,10.0,33.0,30.7,12.0,15.0,80.0,14.5,33.5,48.0,27.0,12.0,8.0,5.0,25.0,-0.5
"Apr 05, 2022 - PHX vs. LAL",W,109.67,43.33,101.0,43.23,12.33,38.0,32.27,10.67,14.0,75.57,15.67,34.33,50.0,27.67,12.0,9.0,4.0,25.33,-1.67
"Apr 03, 2022 - PHX @ OKC",L,112.5,45.0,101.25,44.67,12.75,38.25,33.18,9.75,12.75,76.12,14.5,36.25,50.75,30.25,12.5,9.25,4.0,24.5,1.5
"Apr 01, 2022 - PHX @ MEM",L,109.2,43.4,98.8,44.06,11.6,38.2,30.22,10.8,13.6,78.54,12.8,34.4,47.2,28.6,12.2,10.2,4.0,23.0,-3.0
"Mar 30, 2022 - PHX @ GSW",W,110.0,44.0,96.67,45.83,11.33,36.33,31.35,10.67,14.17,75.25,11.0,34.83,45.83,28.33,13.5,9.83,4.0,23.33,-3.83
"Mar 27, 2022 - PHX vs. PHI",W,109.57,43.14,96.0,45.19,10.71,35.14,30.44,12.57,16.43,75.93,11.14,34.71,45.86,27.14,13.57,9.71,3.57,22.71,-2.71
"Mar 24, 2022 - PHX @ DEN",W,110.12,43.38,94.88,46.0,11.0,34.12,32.65,12.38,16.5,74.53,10.38,34.75,45.12,26.75,13.5,9.12,3.75,22.5,-1.12
"Mar 23, 2022 - PHX @ MIN",W,113.44,44.33,93.89,47.61,11.22,33.33,34.37,13.56,17.89,75.06,9.78,33.56,43.33,27.33,13.0,8.89,3.67,22.56,0.11
"Mar 20, 2022 - PHX @ SAC",W,114.6,44.4,93.1,48.08,11.3,33.3,34.57,14.5,19.0,75.48,9.9,33.4,43.3,27.6,13.0,8.6,4.2,22.3,1.0
