MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2022 - SAC @ LAC",L,116.0,40.0,76.0,52.6,14.0,26.0,53.8,22.0,30.0,73.3,2.0,38.0,40.0,26.0,15.0,9.0,7.0,18.0,7.0
"Apr 05, 2022 - SAC vs. NOP",L,107.0,39.0,81.0,48.4,10.5,27.0,39.4,18.5,27.0,67.9,4.5,36.5,41.0,25.0,14.0,10.5,4.5,17.0,-6.0
"Apr 03, 2022 - SAC vs. GSW",L,107.67,39.0,79.33,49.37,10.67,28.0,38.5,19.0,25.33,75.57,4.0,34.67,38.67,26.0,14.33,8.33,4.0,18.0,-8.67
"Apr 01, 2022 - SAC @ HOU",W,103.25,37.0,79.75,46.6,9.75,29.25,34.17,19.5,25.0,78.55,4.5,33.25,37.75,24.25,14.0,7.5,3.25,17.25,-11.25
"Mar 30, 2022 - SAC @ HOU",W,107.0,38.0,80.0,47.66,10.2,29.0,35.92,20.8,26.8,78.14,5.2,34.4,39.6,25.2,13.8,7.2,4.8,17.6,-8.0
"Mar 28, 2022 - SAC @ MIA",L,109.33,39.0,82.5,47.43,9.67,28.5,34.42,21.67,28.33,77.15,6.5,33.83,40.33,24.5,13.0,7.17,5.67,18.17,-6.17
"Mar 26, 2022 - SAC @ ORL",W,108.0,38.71,82.29,47.19,10.0,29.43,34.4,20.57,26.86,77.24,6.29,32.86,39.14,24.0,13.14,7.0,5.14,17.29,-8.57
"Mar 23, 2022 - SAC @ IND",W,108.75,39.12,84.25,46.65,10.12,30.25,33.93,20.38,26.5,77.49,7.75,33.88,41.62,24.0,13.25,6.62,5.0,16.62,-7.0
"Mar 20, 2022 - SAC vs. PHX",L,108.89,39.56,84.0,47.29,10.33,31.0,33.76,19.44,25.44,76.72,7.33,33.67,41.0,24.22,13.67,6.67,4.78,15.89,-6.11
"Mar 18, 2022 - SAC vs. BOS",L,110.4,39.5,84.7,46.85,10.9,31.3,35.09,20.5,26.5,77.38,7.5,33.6,41.1,24.5,13.8,7.2,4.5,16.4,-5.8
"Mar 16, 2022 - SAC vs. MIL",L,109.18,38.91,84.18,46.39,11.09,31.73,35.18,20.27,26.27,77.16,7.55,33.18,40.73,24.36,14.0,7.0,4.64,16.18,-7.91
"Mar 14, 2022 - SAC vs. CHI",W,110.58,39.5,85.0,46.6,11.5,32.67,35.35,20.08,25.83,77.88,7.5,33.08,40.58,24.58,14.08,7.08,4.67,16.58,-8.0
"Mar 12, 2022 - SAC @ UTA",L,110.69,39.46,84.77,46.68,11.38,32.08,35.71,20.38,25.85,78.98,7.46,33.46,40.92,24.62,14.23,7.31,4.54,16.92,-6.69
"Mar 09, 2022 - SAC vs. DEN",L,111.71,40.0,85.43,46.91,11.5,32.14,35.97,20.21,25.5,79.46,7.5,32.86,40.36,24.79,13.71,7.21,4.43,17.14,-6.86
"Mar 07, 2022 - SAC vs. NYK",L,110.93,39.87,85.4,46.77,11.53,32.27,35.93,19.67,25.0,78.61,7.53,32.67,40.2,24.73,13.87,7.47,4.47,17.47,-6.8
"Mar 05, 2022 - SAC @ DAL",L,111.19,39.81,85.06,46.89,11.5,32.25,35.83,20.06,25.69,78.21,7.31,32.88,40.19,24.62,13.75,7.25,4.31,17.38,-7.38
"Mar 03, 2022 - SAC @ SAS",W,111.29,40.18,85.59,47.01,11.35,31.82,35.84,19.59,25.24,77.54,7.47,33.0,40.47,24.59,13.88,7.12,4.12,18.0,-7.0
"Mar 02, 2022 - SAC @ NOP",L,111.5,40.11,85.56,46.95,11.28,31.83,35.59,20.0,25.61,77.92,7.56,33.39,40.94,24.67,13.89,7.06,4.0,17.72,-6.44
"Feb 28, 2022 - SAC @ OKC",W,110.63,39.84,85.74,46.55,11.11,32.0,34.92,19.84,25.58,77.39,7.79,33.0,40.79,24.42,13.74,7.16,4.0,17.79,-7.68
"Feb 26, 2022 - SAC @ DEN",L,111.65,40.3,85.8,47.03,11.05,31.95,34.79,20.0,25.8,77.36,7.95,33.1,41.05,24.7,13.9,7.3,4.1,18.15,-6.25
"Feb 24, 2022 - SAC vs. DEN",L,111.57,40.19,85.95,46.83,10.95,31.86,34.56,20.24,26.14,77.29,8.0,33.24,41.24,24.67,13.86,7.14,4.05,18.48,-6.19
"Feb 16, 2022 - SAC @ CHI",L,111.5,40.32,85.95,46.97,10.86,31.73,34.4,20.0,25.77,77.56,7.91,33.0,40.91,24.68,13.91,7.05,4.23,18.41,-6.73
"Feb 14, 2022 - SAC @ BKN",L,111.78,40.43,85.87,47.16,10.91,31.65,34.64,20.0,25.61,78.14,7.87,32.83,40.7,24.65,13.87,7.13,4.17,18.22,-6.74
"Feb 12, 2022 - SAC @ WAS",W,110.67,40.04,86.04,46.62,10.83,31.79,34.27,19.75,25.29,78.13,8.0,32.79,40.79,24.12,14.04,7.17,4.17,18.17,-7.46
"Feb 09, 2022 - SAC vs. MIN",W,111.16,40.16,85.64,47.02,10.88,31.64,34.62,19.96,25.44,78.45,7.92,32.92,40.84,24.24,14.04,7.04,4.08,18.24,-6.64
