DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",UTA,PHX,H,L,111.0,37.0,82.0,45.1,9.0,36.0,25.0,28.0,38.0,73.7,15.0,45.0,60.0,23.0,17.0,8.0,6.0,16.0,31.0
"Apr 06, 2022",UTA,OKC,H,W,108.0,36.0,85.0,42.45,10.0,37.0,26.95,26.0,35.5,73.2,15.0,37.0,52.0,21.5,14.0,8.0,5.0,17.0,12.5
"Apr 05, 2022",UTA,MEM,H,W,117.67,40.33,84.67,47.73,11.67,36.67,31.87,25.33,34.33,73.8,15.33,37.67,53.0,24.0,13.67,7.67,6.67,15.67,20.33
"Apr 02, 2022",UTA,GSW,A,L,118.5,40.25,87.5,46.22,11.75,37.0,31.8,26.25,36.5,72.2,14.75,40.25,55.0,23.75,14.5,7.75,7.0,17.0,16.75
"Mar 31, 2022",UTA,LAL,H,W,116.2,39.8,87.8,45.52,12.4,38.8,31.96,24.2,33.6,72.3,14.2,39.2,53.4,22.8,14.2,7.8,6.0,17.0,12.6
"Mar 29, 2022",UTA,LAC,A,L,117.17,40.83,88.17,46.45,12.83,39.67,32.32,22.67,32.0,70.67,13.33,38.0,51.33,23.17,13.17,7.67,5.33,17.5,12.67
"Mar 27, 2022",UTA,DAL,A,L,116.86,41.14,86.71,47.69,12.71,38.43,33.23,21.86,31.57,68.94,12.86,36.57,49.43,23.14,13.43,7.29,5.29,18.43,10.0
"Mar 25, 2022",UTA,CHA,A,L,114.75,41.12,87.0,47.49,12.62,37.88,33.49,19.88,28.88,67.83,12.12,35.62,47.75,23.12,12.5,7.0,4.75,18.62,7.0
"Mar 23, 2022",UTA,BOS,A,L,113.22,40.78,86.67,47.23,13.11,38.89,33.79,18.56,26.89,68.37,11.78,34.89,46.67,23.33,12.44,7.0,4.44,18.33,5.56
"Mar 21, 2022",UTA,BKN,A,L,111.6,40.2,86.8,46.49,12.6,38.6,32.63,18.6,26.3,70.58,12.2,33.8,46.0,22.3,12.6,7.1,4.1,17.9,2.2
"Mar 20, 2022",UTA,NYK,A,W,111.09,39.91,86.45,46.32,12.73,38.64,32.93,18.55,25.91,71.6,12.09,33.09,45.18,21.91,12.73,7.18,4.36,17.73,1.27
"Mar 18, 2022",UTA,LAC,H,W,110.83,39.42,85.42,46.28,13.08,39.25,33.27,18.92,26.17,72.24,11.83,33.67,45.5,21.42,12.67,7.33,4.92,17.67,2.42
