DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",WAS,NYK,H,L,108.0,42.0,94.0,44.7,8.0,23.0,34.8,16.0,26.0,61.5,17.0,26.0,43.0,25.0,11.0,12.0,3.0,16.0,-16.0
"Apr 06, 2022",WAS,ATL,A,L,100.0,38.5,81.5,47.7,8.5,25.5,33.45,14.5,21.5,69.0,9.5,30.5,40.0,23.0,16.5,8.5,4.0,17.5,-19.0
"Apr 05, 2022",WAS,MIN,A,W,101.0,39.67,83.0,48.07,9.0,28.67,31.83,12.67,18.0,73.27,8.33,33.0,41.33,24.0,15.67,7.0,4.0,17.33,-17.67
"Apr 03, 2022",WAS,BOS,A,L,108.75,43.75,87.5,49.9,10.0,29.0,34.7,11.25,17.0,67.45,8.5,35.5,44.0,27.5,14.25,6.25,4.0,19.25,-8.75
"Apr 01, 2022",WAS,DAL,H,W,107.4,42.6,86.4,49.18,9.6,27.4,35.38,12.6,17.6,71.96,8.2,33.4,41.6,26.2,13.8,5.8,3.6,18.2,-15.4
"Mar 30, 2022",WAS,ORL,H,W,112.0,43.67,87.0,50.05,10.83,28.33,38.07,13.83,18.33,75.12,8.17,34.0,42.17,27.33,13.0,6.0,3.67,18.33,-7.5
"Mar 29, 2022",WAS,CHI,H,L,114.14,44.14,87.71,50.2,11.14,29.43,37.79,14.71,19.43,75.37,8.71,34.71,43.43,28.43,12.86,5.86,4.29,17.86,-4.0
"Mar 27, 2022",WAS,GSW,H,W,111.62,43.38,86.62,49.94,10.5,29.0,35.95,14.38,19.12,74.78,8.5,34.12,42.62,28.0,13.0,5.88,4.62,17.75,-5.12
"Mar 25, 2022",WAS,DET,A,W,112.89,43.44,86.33,50.21,11.11,28.89,38.3,14.89,19.44,76.07,8.11,34.44,42.56,28.56,12.89,5.78,5.0,18.44,-3.67
"Mar 24, 2022",WAS,MIL,A,L,111.6,42.7,86.0,49.53,10.9,29.0,37.47,15.3,19.6,77.51,7.8,35.0,42.8,28.0,13.3,5.8,5.2,18.1,-3.0
