MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023 - ATL vs. PHI",L,114.0,44.0,97.0,45.4,11.0,39.0,28.2,15.0,19.0,78.9,16.0,34.0,50.0,27.0,9.0,11.0,5.0,12.0,-6.0
"Apr 05, 2023 - ATL vs. WAS",W,122.5,47.5,94.5,50.4,10.5,36.0,29.25,17.0,23.5,73.4,10.0,34.0,44.0,29.5,15.0,11.0,6.0,15.5,-5.5
"Apr 04, 2023 - ATL @ CHI",W,126.33,46.0,91.0,50.67,11.33,34.0,33.93,23.0,29.0,78.1,10.67,34.67,45.33,29.67,15.67,10.67,5.67,18.0,2.33
"Apr 02, 2023 - ATL vs. DAL",W,125.5,46.5,89.75,51.95,11.0,32.5,34.38,21.5,26.5,80.95,9.75,36.25,46.0,28.75,16.0,9.25,6.0,18.0,6.25
"Mar 31, 2023 - ATL @ BKN",L,126.8,47.4,93.4,51.0,11.2,33.0,34.36,20.8,25.6,81.12,11.0,36.4,47.4,28.6,15.0,9.4,5.4,18.8,5.4
"Mar 28, 2023 - ATL vs. CLE",W,123.5,46.0,93.0,49.65,10.67,33.67,32.23,20.83,25.17,82.82,11.83,35.33,47.17,27.67,14.33,8.83,5.0,18.0,1.67
"Mar 26, 2023 - ATL vs. MEM",L,123.0,45.29,92.43,49.14,10.86,32.71,33.97,21.57,26.29,82.24,12.14,35.57,47.71,27.29,14.43,8.29,4.71,17.71,1.71
"Mar 25, 2023 - ATL vs. IND",W,122.5,45.25,93.12,48.74,10.38,32.5,32.55,21.62,26.25,82.54,12.38,35.38,47.75,27.25,13.88,7.75,4.75,17.38,1.0
"Mar 22, 2023 - ATL @ MIN",L,124.78,46.11,93.44,49.46,10.89,32.22,34.49,21.67,26.11,83.14,12.67,34.44,47.11,27.89,13.78,8.0,5.11,17.0,2.33
"Mar 21, 2023 - ATL vs. DET",W,124.7,46.0,92.6,49.8,11.0,31.6,35.66,21.7,26.0,83.63,12.3,34.2,46.5,27.9,14.1,7.8,5.2,17.8,2.0
"Mar 19, 2023 - ATL @ SAS",L,125.09,45.82,92.82,49.48,11.27,32.18,35.76,22.18,26.91,82.85,13.09,34.73,47.82,27.73,13.82,7.55,5.27,18.0,3.82
"Mar 17, 2023 - ATL vs. GSW",W,124.5,46.0,93.5,49.32,10.75,31.33,34.68,21.75,26.33,83.03,13.67,34.42,48.08,27.17,13.67,7.25,5.17,17.58,2.83
"Mar 13, 2023 - ATL vs. MIN",L,124.69,46.08,94.0,49.14,11.15,32.08,35.01,21.38,26.23,81.87,13.62,34.23,47.85,27.15,13.46,7.23,5.38,17.38,3.23
"Mar 11, 2023 - ATL vs. BOS",L,124.0,45.93,94.21,48.87,10.64,31.36,33.81,21.5,26.36,81.89,13.93,34.14,48.07,26.43,13.64,7.14,5.29,17.5,1.5
"Mar 10, 2023 - ATL @ WAS",W,124.07,46.2,94.6,48.95,10.6,31.53,33.51,21.07,25.67,82.68,13.87,34.2,48.07,26.27,13.4,6.93,5.2,17.47,0.8
"Mar 08, 2023 - ATL @ WAS",W,123.44,45.94,94.62,48.65,10.88,31.5,34.44,20.69,25.25,82.44,13.81,34.12,47.94,26.19,13.44,7.06,5.12,17.44,1.19
"Mar 06, 2023 - ATL @ MIA",L,123.35,45.88,94.06,48.9,10.94,31.35,34.85,20.65,25.29,82.12,13.47,33.76,47.24,26.18,13.29,7.29,5.12,17.41,1.24
"Mar 04, 2023 - ATL @ MIA",L,123.61,46.17,93.94,49.26,10.83,31.22,34.64,20.44,25.17,81.66,13.39,33.28,46.67,26.28,13.17,7.17,4.83,17.83,1.06
"Mar 03, 2023 - ATL vs. POR",W,122.84,45.68,93.16,49.13,10.74,31.16,34.39,20.74,25.42,81.93,13.21,32.95,46.16,26.05,13.32,7.42,4.63,18.11,0.58
"Feb 28, 2023 - ATL vs. WAS",L,123.15,46.0,93.05,49.53,10.8,30.9,34.98,20.35,24.95,81.9,13.05,32.95,46.0,26.25,13.5,7.55,4.65,18.15,1.45
"Feb 26, 2023 - ATL vs. BKN",W,122.81,45.86,93.05,49.37,10.9,31.1,35.09,20.19,24.67,82.26,13.05,32.76,45.81,26.0,13.29,7.38,4.76,18.1,1.24
"Feb 24, 2023 - ATL vs. CLE",W,123.09,45.82,92.91,49.4,11.14,31.05,35.91,20.32,24.82,82.25,13.05,32.77,45.82,25.73,13.41,7.36,4.64,18.09,1.27
"Feb 15, 2023 - ATL vs. NYK",L,123.65,46.0,92.57,49.81,11.3,30.91,36.68,20.35,24.74,82.64,12.7,32.96,45.65,25.83,13.43,7.35,4.78,18.22,1.96
"Feb 13, 2023 - ATL @ CHA",L,122.71,45.75,92.75,49.45,11.04,30.71,35.95,20.17,24.58,82.38,12.5,32.92,45.42,25.79,13.08,7.29,4.88,18.21,1.0
"Feb 11, 2023 - ATL vs. SAS",W,123.32,46.04,93.36,49.44,11.04,30.6,36.09,20.2,24.44,83.08,12.64,32.64,45.28,25.8,13.04,7.36,4.84,18.08,0.72
"Feb 09, 2023 - ATL vs. PHX",W,123.38,46.19,93.73,49.4,11.0,30.42,36.18,20.0,24.23,82.92,12.69,32.69,45.38,25.92,12.92,7.42,4.88,17.77,1.42
"Feb 07, 2023 - ATL @ NOP",L,123.11,46.07,93.78,49.25,10.96,30.37,36.12,20.0,24.33,82.59,12.96,32.93,45.89,25.81,13.15,7.37,4.85,17.93,1.7
"Feb 04, 2023 - ATL @ DEN",L,122.54,45.79,93.46,49.09,11.0,30.57,36.02,19.96,24.36,82.36,12.86,32.86,45.71,25.96,13.11,7.25,4.89,18.04,1.32
