MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023 - BKN vs. ORL",W,105.0,35.0,83.0,42.2,12.0,32.0,37.5,23.0,28.0,82.1,10.0,32.0,42.0,22.0,19.0,6.0,6.0,22.0,-29.0
"Apr 05, 2023 - BKN @ DET",W,103.0,35.0,86.0,40.75,10.5,37.0,29.45,22.5,26.5,85.05,10.0,33.5,43.5,24.5,14.5,10.0,4.5,17.0,-6.0
"Apr 04, 2023 - BKN vs. MIN",L,109.67,38.33,86.0,44.6,12.67,39.0,32.8,20.33,25.33,79.9,10.33,31.33,41.67,28.33,14.0,8.67,5.33,15.33,1.0
"Apr 02, 2023 - BKN vs. UTA",W,107.75,38.5,87.0,44.28,12.75,38.0,33.88,18.0,22.5,79.57,9.5,31.75,41.25,26.5,13.0,8.0,6.0,16.0,-0.5
"Mar 31, 2023 - BKN vs. ATL",W,108.4,38.4,86.8,44.26,12.0,36.8,32.72,19.6,24.8,78.96,9.0,32.0,41.0,26.2,12.2,7.6,5.2,18.0,-0.2
"Mar 29, 2023 - BKN vs. HOU",W,111.0,40.17,87.0,46.17,12.5,36.17,34.85,18.17,22.83,79.9,9.0,32.0,41.0,27.33,12.33,7.83,4.83,17.83,2.67
"Mar 26, 2023 - BKN @ ORL",L,112.71,40.71,86.29,47.24,13.14,36.0,36.81,18.14,23.43,78.01,8.86,32.14,41.0,28.14,12.29,7.29,5.43,17.86,3.57
"Mar 25, 2023 - BKN @ MIA",W,111.88,40.25,86.88,46.42,12.5,35.88,35.07,18.88,24.0,78.98,9.62,31.75,41.38,26.75,12.62,7.25,5.75,18.12,1.5
"Mar 23, 2023 - BKN vs. CLE",L,113.78,40.67,87.11,46.76,13.11,36.33,36.18,19.33,24.11,80.42,10.44,31.33,41.78,27.11,12.11,7.11,5.78,18.11,4.56
"Mar 21, 2023 - BKN vs. CLE",L,113.8,40.5,86.5,46.89,13.0,36.1,36.09,19.8,24.4,81.27,10.3,31.5,41.8,26.8,12.5,7.1,5.9,18.4,3.9
"Mar 19, 2023 - BKN vs. DEN",L,113.36,40.55,87.0,46.68,12.64,35.82,35.29,19.64,24.27,81.0,11.09,31.36,42.45,26.64,12.91,7.0,5.82,18.45,3.0
"Mar 16, 2023 - BKN vs. SAC",L,112.42,40.33,86.58,46.65,12.58,35.75,35.21,19.17,23.58,81.54,10.92,30.75,41.67,26.58,12.83,7.25,5.58,18.25,2.25
"Mar 14, 2023 - BKN @ OKC",L,111.15,39.77,86.08,46.24,12.69,36.0,35.26,18.92,23.54,80.62,10.31,31.31,41.62,26.08,12.38,7.31,5.46,18.54,1.69
"Mar 12, 2023 - BKN @ DEN",W,110.86,39.43,85.79,45.99,12.64,36.36,34.84,19.36,24.29,80.11,10.36,31.57,41.93,26.0,12.71,7.0,5.43,18.64,0.57
"Mar 10, 2023 - BKN @ MIN",W,111.6,39.6,85.67,46.25,12.93,36.87,35.09,19.47,24.27,80.61,9.93,31.07,41.0,26.4,12.53,7.27,5.2,18.8,0.67
"Mar 09, 2023 - BKN @ MIL",L,112.38,39.75,86.0,46.25,13.12,36.69,35.84,19.75,24.81,80.11,10.06,31.38,41.44,26.0,12.69,7.25,5.19,19.25,0.69
