MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 06, 2023 - CLE @ ORL",W,95.0,35.0,89.0,39.3,10.0,37.0,27.0,15.0,16.0,93.8,11.0,33.0,44.0,27.0,16.0,9.0,5.0,24.0,-11.0
"Apr 04, 2023 - CLE @ ORL",W,106.5,40.5,88.5,45.8,14.0,37.5,37.2,11.5,12.5,91.35,10.0,33.0,43.0,29.0,16.5,11.0,6.0,22.5,6.5
"Apr 02, 2023 - CLE vs. IND",W,110.0,41.0,87.0,47.2,14.33,35.33,40.93,13.67,15.0,90.9,8.33,30.33,38.67,27.0,14.0,8.33,6.33,20.33,5.67
"Mar 31, 2023 - CLE vs. NYK",L,111.25,41.75,87.75,47.62,13.0,32.5,40.08,14.75,17.75,85.47,9.5,30.25,39.75,26.0,13.75,8.0,6.5,20.75,6.75
"Mar 28, 2023 - CLE @ ATL",L,112.2,42.2,87.4,48.34,13.8,33.4,41.24,14.0,16.8,85.3,8.2,30.2,38.4,27.4,13.0,6.8,7.0,20.8,2.6
"Mar 26, 2023 - CLE vs. HOU",W,113.17,43.0,88.33,48.7,13.0,32.0,40.37,14.17,17.67,82.45,8.5,30.17,38.67,26.17,12.17,6.5,6.83,21.33,1.83
"Mar 23, 2023 - CLE @ BKN",W,112.43,42.43,87.57,48.46,12.43,31.71,38.89,15.14,18.57,83.17,9.14,29.86,39.0,25.29,12.0,6.29,6.86,20.57,4.0
"Mar 21, 2023 - CLE @ BKN",W,112.88,42.38,87.75,48.3,12.38,31.75,38.71,15.75,19.5,82.39,9.62,29.5,39.12,25.12,11.75,6.38,6.88,20.62,3.75
"Mar 17, 2023 - CLE vs. WAS",W,113.11,42.33,87.22,48.56,12.56,31.44,39.78,15.89,19.67,82.23,9.44,29.11,38.56,24.89,12.0,6.33,6.44,20.56,4.0
"Mar 15, 2023 - CLE vs. PHI",L,113.5,42.9,87.2,49.22,11.7,30.2,37.91,16.0,19.9,81.74,9.4,29.4,38.8,25.5,11.9,6.6,6.5,20.4,5.9
"Mar 14, 2023 - CLE @ CHA",W,113.09,42.64,87.0,49.03,11.91,31.18,37.56,15.91,20.09,80.51,9.64,28.64,38.27,25.0,11.91,6.55,6.09,20.18,4.55
"Mar 12, 2023 - CLE @ CHA",W,113.67,42.83,87.08,49.2,12.08,31.08,38.33,15.92,20.0,80.82,9.5,28.08,37.58,25.33,11.67,6.67,6.08,20.08,5.5
"Mar 10, 2023 - CLE @ MIA",L,113.69,42.69,87.08,49.04,11.69,30.77,37.37,16.62,21.08,80.25,9.62,28.15,37.77,24.77,11.54,6.77,5.85,20.23,5.54
"Mar 08, 2023 - CLE @ MIA",W,113.79,42.5,87.0,48.86,12.14,31.64,37.69,16.64,21.07,80.31,9.5,28.0,37.5,24.79,11.5,6.64,5.86,20.21,4.86
