MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023 - HOU @ CHA",W,114.0,44.0,90.0,48.9,6.0,21.0,28.6,20.0,28.0,71.4,13.0,38.0,51.0,24.0,15.0,8.0,6.0,15.0,5.0
"Apr 04, 2023 - HOU vs. DEN",W,113.0,43.0,89.5,48.05,6.5,21.0,30.95,20.5,28.0,73.2,13.5,36.0,49.5,22.5,17.0,9.5,7.5,19.0,4.0
"Apr 02, 2023 - HOU vs. LAL",L,116.67,44.33,93.67,47.4,8.33,24.33,33.53,19.67,26.67,73.8,15.67,35.67,51.33,22.67,15.67,10.33,6.0,18.0,9.67
"Mar 31, 2023 - HOU vs. DET",W,114.75,44.25,95.75,46.32,9.5,26.75,34.7,16.75,22.5,75.35,15.75,33.75,49.5,22.75,14.25,8.75,5.5,18.0,1.0
"Mar 29, 2023 - HOU @ BKN",L,116.0,43.0,93.2,46.22,9.8,27.6,34.86,20.2,27.0,75.4,15.4,33.4,48.8,21.8,13.8,8.8,5.4,19.2,2.0
"Mar 27, 2023 - HOU @ NYK",L,115.67,43.5,94.0,46.33,9.67,28.0,34.05,19.0,26.0,73.15,16.17,33.17,49.33,21.67,13.17,8.83,4.83,19.0,0.17
"Mar 26, 2023 - HOU @ CLE",L,115.57,43.29,93.0,46.61,9.29,27.71,33.03,19.71,26.43,74.53,15.71,32.29,48.0,22.0,13.29,8.43,4.71,18.86,-3.0
"Mar 24, 2023 - HOU @ MEM",L,112.5,42.25,91.38,46.26,8.88,27.38,31.9,19.12,25.38,75.62,15.25,31.25,46.5,21.75,14.0,8.12,4.25,19.25,-4.75
"Mar 22, 2023 - HOU @ MEM",L,112.67,42.78,90.89,47.12,8.67,26.89,31.73,18.44,24.89,74.1,14.67,30.89,45.56,22.11,14.22,8.0,4.11,18.67,-8.33
"Mar 20, 2023 - HOU vs. GSW",L,113.9,43.3,91.1,47.57,9.0,27.5,32.2,18.3,24.7,74.08,15.2,30.6,45.8,22.6,14.4,7.8,4.0,19.3,-8.0
"Mar 19, 2023 - HOU vs. NOP",L,113.36,42.91,91.27,47.05,9.09,28.27,31.8,18.45,24.64,74.92,15.0,30.36,45.36,21.82,14.73,8.36,3.82,18.82,-8.45
"Mar 17, 2023 - HOU vs. NOP",W,112.83,41.92,90.0,46.53,9.08,28.67,31.43,19.92,25.75,76.57,14.42,30.17,44.58,21.25,14.58,8.0,3.67,19.08,-8.58
"Mar 15, 2023 - HOU vs. LAL",W,112.92,42.0,89.85,46.72,9.23,28.92,31.65,19.69,25.62,76.12,14.46,30.69,45.15,21.15,14.46,8.08,3.62,19.08,-7.77
"Mar 13, 2023 - HOU vs. BOS",W,113.0,42.36,89.79,47.15,9.14,28.93,31.36,19.14,25.14,75.2,14.57,31.0,45.57,21.21,14.71,7.86,3.57,19.79,-6.93
"Mar 11, 2023 - HOU vs. CHI",L,112.87,42.2,89.8,46.97,9.27,29.33,31.37,19.2,25.27,75.13,14.6,31.13,45.73,21.6,14.47,7.93,3.47,19.87,-6.33
"Mar 09, 2023 - HOU @ IND",L,112.75,42.12,89.5,47.04,9.69,29.62,32.35,18.81,24.75,75.21,14.06,30.88,44.94,22.0,14.56,8.06,3.44,19.81,-6.44
"Mar 07, 2023 - HOU vs. BKN",L,113.47,42.53,90.53,46.97,9.47,28.88,32.52,18.94,25.0,75.05,14.41,31.29,45.71,21.76,14.71,7.94,3.59,19.94,-6.59
"Mar 05, 2023 - HOU vs. SAS",W,112.5,42.17,90.11,46.77,9.33,28.72,32.21,18.83,24.94,74.81,14.44,31.39,45.83,21.33,14.94,7.83,3.44,20.06,-7.44
"Mar 04, 2023 - HOU @ SAS",W,114.05,42.68,89.84,47.53,9.53,28.47,33.37,19.16,25.16,75.41,14.0,31.74,45.74,21.74,14.79,7.95,3.42,20.05,-5.37
"Mar 01, 2023 - HOU vs. MEM",L,114.45,43.0,89.7,47.97,9.45,28.2,33.44,19.0,25.0,75.27,14.0,31.7,45.7,21.95,14.85,8.0,3.5,20.25,-4.5
"Feb 28, 2023 - HOU vs. DEN",L,113.71,42.67,89.71,47.59,9.52,28.48,33.39,18.86,25.0,74.74,14.14,31.71,45.86,21.71,14.76,7.81,3.57,20.14,-4.95
"Feb 26, 2023 - HOU @ POR",L,113.64,42.91,90.05,47.68,9.5,28.59,33.19,18.32,24.32,74.52,13.95,31.64,45.59,22.23,14.68,7.68,3.68,19.95,-5.68
"Feb 24, 2023 - HOU @ GSW",L,113.65,43.0,90.48,47.56,9.39,28.48,32.92,18.26,24.35,74.24,14.13,31.57,45.7,22.3,14.65,7.65,3.61,20.22,-6.17
"Feb 15, 2023 - HOU @ OKC",L,113.12,42.71,90.54,47.21,9.46,28.75,32.85,18.25,24.25,74.55,14.08,31.54,45.62,22.33,14.33,7.83,3.58,20.12,-6.54
"Feb 13, 2023 - HOU @ PHI",L,112.44,42.2,90.48,46.67,9.48,29.08,32.62,18.56,24.8,74.31,14.08,31.6,45.68,22.24,14.48,7.72,3.72,20.64,-7.76
"Feb 10, 2023 - HOU @ MIA",L,112.12,41.92,90.31,46.44,9.35,28.88,32.33,18.92,25.04,74.92,14.12,31.42,45.54,22.04,14.58,7.81,3.65,20.42,-8.19
"Feb 08, 2023 - HOU vs. SAC",L,111.48,41.67,90.07,46.26,9.26,28.93,31.99,18.89,25.0,74.93,13.96,31.63,45.59,22.07,14.7,7.93,3.67,20.44,-7.96
"Feb 06, 2023 - HOU vs. SAC",L,112.07,41.86,89.93,46.56,9.29,28.68,32.47,19.07,25.11,75.31,14.0,31.54,45.54,22.18,14.86,7.79,3.79,20.46,-7.75
"Feb 04, 2023 - HOU @ OKC",L,112.34,41.93,89.86,46.68,9.41,28.79,32.76,19.07,25.07,75.44,13.9,31.41,45.31,22.34,14.83,7.69,3.79,20.28,-8.17
"Feb 03, 2023 - HOU vs. TOR",L,112.63,42.03,89.83,46.81,9.43,28.83,32.77,19.13,25.13,75.52,13.73,31.2,44.93,22.57,14.87,7.57,3.93,20.2,-8.97
"Feb 01, 2023 - HOU vs. OKC",W,112.58,41.97,89.52,46.92,9.35,28.58,32.79,19.29,25.39,75.43,13.48,31.29,44.77,22.55,14.81,7.48,3.94,20.39,-8.87
"Jan 28, 2023 - HOU @ DET",W,112.56,41.94,89.66,46.81,9.28,28.41,32.72,19.41,25.56,75.39,13.81,31.59,45.41,22.47,14.91,7.44,4.19,20.38,-8.41
"Jan 26, 2023 - HOU vs. CLE",L,112.7,42.0,89.73,46.84,9.24,28.36,32.62,19.45,25.61,75.47,13.88,31.61,45.48,22.39,14.97,7.45,4.18,20.36,-8.06
"Jan 25, 2023 - HOU vs. WAS",L,112.18,41.91,89.32,46.97,9.12,28.15,32.36,19.24,25.44,75.01,13.76,31.74,45.5,22.44,15.18,7.38,4.24,20.35,-8.35
"Jan 23, 2023 - HOU vs. MIN",W,111.91,41.91,89.54,46.87,9.0,28.14,31.95,19.09,25.29,74.87,13.86,31.97,45.83,22.63,15.14,7.31,4.4,20.2,-8.26
"Jan 21, 2023 - HOU @ MIN",L,112.11,41.97,89.5,46.96,9.06,28.19,32.08,19.11,25.42,74.64,13.81,32.06,45.86,22.67,15.36,7.42,4.42,20.06,-7.89
"Jan 18, 2023 - HOU vs. CHA",L,111.89,41.86,89.22,46.99,9.05,28.08,32.23,19.11,25.62,74.18,13.84,32.3,46.14,22.7,15.57,7.32,4.46,20.03,-7.92
"Jan 16, 2023 - HOU @ LAL",L,112.03,41.97,89.26,47.08,9.08,28.18,32.2,19.0,25.47,74.2,13.79,32.37,46.16,22.66,15.68,7.24,4.47,20.08,-7.84
"Jan 15, 2023 - HOU @ LAC",L,112.54,42.15,89.54,47.13,9.13,28.23,32.32,19.1,25.62,74.2,13.87,32.33,46.21,22.79,15.49,7.05,4.54,20.21,-7.85
"Jan 13, 2023 - HOU @ SAC",L,112.22,42.05,89.4,47.08,9.07,28.3,32.07,19.05,25.55,74.19,13.78,32.25,46.02,22.77,15.6,7.08,4.58,20.12,-8.18
"Jan 11, 2023 - HOU @ SAC",L,112.27,42.07,89.44,47.09,9.15,28.51,32.08,18.98,25.54,73.95,13.73,32.0,45.73,22.78,15.59,7.15,4.56,20.22,-8.59
"Jan 08, 2023 - HOU vs. MIN",L,112.33,42.12,89.6,47.05,9.31,28.81,32.25,18.79,25.33,73.73,13.6,32.19,45.79,22.95,15.55,7.14,4.52,20.29,-8.86
