DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",IND,DET,H,L,141.0,46.0,89.0,51.7,19.0,34.0,55.9,30.0,38.0,78.9,8.0,36.0,44.0,33.0,15.0,8.0,9.0,24.0,5.0
"Apr 05, 2023",IND,NYK,H,L,128.0,43.5,86.0,50.55,15.0,32.5,45.7,26.0,33.0,78.75,8.5,34.5,43.0,31.0,17.0,7.5,6.0,23.0,-1.0
"Apr 02, 2023",IND,CLE,A,L,128.33,44.0,86.33,50.93,15.0,31.67,47.13,25.33,32.0,79.17,9.0,32.0,41.0,31.67,17.0,7.0,5.67,21.0,-3.67
"Mar 31, 2023",IND,OKC,H,W,122.5,42.0,85.5,49.05,13.5,29.75,44.73,25.0,31.25,80.08,9.5,32.25,41.75,29.0,17.0,6.5,5.75,22.25,-5.25
"Mar 29, 2023",IND,MIL,H,L,122.2,42.6,88.0,48.42,13.2,32.0,41.64,23.8,30.6,77.64,11.6,33.0,44.6,29.2,16.8,6.2,5.4,22.0,-3.4
"Mar 27, 2023",IND,DAL,H,L,124.5,44.33,90.17,49.1,13.33,31.67,42.48,22.5,29.17,76.82,11.33,30.67,42.0,30.33,15.33,6.67,5.17,22.5,-5.0
"Mar 25, 2023",IND,ATL,A,L,121.57,43.57,90.57,48.07,12.57,31.14,40.5,21.86,28.29,77.03,11.71,30.43,42.14,28.86,15.14,6.57,4.86,22.0,-7.57
"Mar 24, 2023",IND,BOS,A,L,122.62,44.62,91.25,48.84,12.75,31.88,40.16,20.62,26.25,79.9,11.5,29.38,40.88,29.38,15.38,6.62,5.12,21.5,-8.25
"Mar 22, 2023",IND,TOR,A,W,119.56,44.0,90.44,48.57,11.78,31.22,37.41,19.78,25.78,77.59,10.89,30.33,41.22,28.78,15.56,6.89,5.0,20.89,-10.11
"Mar 20, 2023",IND,CHA,A,L,119.4,43.9,89.1,49.29,11.7,30.2,38.91,19.9,25.7,78.23,10.6,30.4,41.0,28.6,15.8,6.6,5.0,21.7,-8.7
"Mar 18, 2023",IND,PHI,H,L,118.45,43.27,88.45,48.91,11.45,29.82,38.52,20.45,26.45,78.07,10.82,30.82,41.64,28.45,16.36,6.45,5.09,22.09,-8.45
