MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023 - MIA @ WAS",L,123.0,45.0,83.0,54.2,18.0,44.0,40.9,15.0,20.0,75.0,7.0,37.0,44.0,30.0,18.0,10.0,3.0,20.0,13.0
"Apr 06, 2023 - MIA @ PHI",W,115.5,44.0,90.5,49.05,16.5,45.5,36.4,11.0,16.0,66.65,10.5,35.0,45.5,28.0,17.0,8.5,3.5,24.5,3.5
"Apr 04, 2023 - MIA @ DET",W,120.0,45.67,89.67,51.27,17.0,43.33,39.67,11.67,15.67,73.33,10.33,34.0,44.33,31.67,15.0,6.67,2.33,20.67,11.67
"Apr 01, 2023 - MIA vs. DAL",W,119.5,44.5,87.25,51.28,16.0,41.5,38.77,14.5,18.25,77.12,9.0,32.5,41.5,30.25,13.25,8.0,2.25,20.0,12.0
"Mar 29, 2023 - MIA @ NYK",L,121.4,44.6,87.0,51.48,15.4,40.6,38.04,16.8,20.4,79.64,9.2,31.2,40.4,29.6,12.8,7.6,1.8,19.2,11.0
"Mar 28, 2023 - MIA @ TOR",L,116.5,43.0,85.67,50.28,15.0,40.33,37.25,15.5,19.33,77.08,8.67,30.83,39.5,28.0,12.5,7.17,1.5,19.0,7.67
"Mar 25, 2023 - MIA vs. BKN",L,113.0,41.43,84.86,48.81,14.29,39.29,36.26,15.86,19.29,79.6,9.14,30.86,40.0,26.57,13.0,7.0,1.71,17.71,4.57
"Mar 22, 2023 - MIA vs. NYK",W,111.38,41.0,84.25,48.65,14.0,38.12,36.73,15.38,18.62,80.36,9.0,30.0,39.0,26.0,13.12,6.75,2.0,17.88,0.38
"Mar 19, 2023 - MIA @ DET",W,113.11,41.44,83.67,49.58,14.22,37.0,38.99,16.0,19.44,80.41,8.22,29.67,37.89,26.22,12.78,7.0,1.89,17.89,1.11
"Mar 18, 2023 - MIA @ CHI",L,113.0,41.1,83.2,49.43,14.1,37.2,38.42,16.7,20.0,81.57,8.2,30.1,38.3,26.9,12.5,6.7,2.1,17.8,2.2
"Mar 15, 2023 - MIA vs. MEM",W,111.73,40.55,83.09,48.82,13.73,37.18,37.38,16.91,20.36,81.35,8.73,29.64,38.36,26.55,12.64,6.45,2.09,17.09,0.73
"Mar 13, 2023 - MIA vs. UTA",W,113.92,41.25,83.0,49.73,13.67,36.5,38.0,17.75,21.42,81.39,8.67,29.92,38.58,27.08,12.67,6.58,2.33,17.0,2.25
"Mar 11, 2023 - MIA @ ORL",L,114.31,40.92,82.69,49.51,13.69,36.31,38.25,18.77,22.54,81.75,8.69,29.77,38.46,26.54,12.69,7.0,2.46,16.69,2.38
"Mar 10, 2023 - MIA vs. CLE",W,114.29,41.0,83.5,49.16,13.5,36.36,37.64,18.79,22.36,82.7,8.43,29.79,38.21,26.0,13.0,7.07,2.43,16.71,1.36
