MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023 - NOP vs. NYK",W,108.0,40.0,90.0,44.4,3.0,21.0,14.3,25.0,29.0,86.2,11.0,38.0,49.0,18.0,15.0,13.0,3.0,24.0,-5.0
"Apr 05, 2023 - NOP vs. MEM",W,110.5,41.0,84.5,48.8,6.5,24.5,25.0,22.0,24.5,90.6,7.5,38.5,46.0,22.5,13.5,8.5,5.0,20.5,1.5
"Apr 04, 2023 - NOP vs. SAC",L,119.67,42.0,85.67,49.2,11.33,29.33,34.6,24.33,29.33,85.2,7.67,37.67,45.33,26.67,14.33,8.67,6.0,21.0,3.33
"Apr 01, 2023 - NOP vs. LAC",W,115.5,40.75,85.25,47.9,10.25,27.0,34.7,23.75,28.75,84.28,8.0,35.25,43.25,25.0,14.25,8.0,5.5,19.25,-2.0
"Mar 30, 2023 - NOP @ DEN",W,116.8,41.0,85.4,48.08,9.6,25.0,36.0,25.2,30.0,85.14,9.2,33.4,42.6,24.2,12.8,7.6,5.4,18.4,0.0
"Mar 28, 2023 - NOP @ GSW",L,115.17,40.5,84.5,47.98,10.17,25.33,38.02,24.0,28.67,84.58,9.0,34.17,43.17,23.83,12.67,7.33,4.67,19.33,3.17
"Mar 27, 2023 - NOP @ POR",W,114.29,40.71,85.29,47.8,10.43,25.57,38.93,22.43,26.57,85.77,9.29,33.57,42.86,24.71,13.57,7.14,4.57,19.14,1.14
"Mar 25, 2023 - NOP @ LAC",W,115.5,41.75,85.38,48.95,10.62,25.88,39.42,21.38,25.38,85.35,9.12,35.0,44.12,25.5,14.0,6.88,4.75,18.75,5.25
"Mar 23, 2023 - NOP vs. CHA",W,117.22,42.78,86.56,49.41,11.78,26.78,41.91,19.89,23.56,85.74,9.44,34.78,44.22,26.67,14.22,7.33,4.56,19.0,7.0
"Mar 21, 2023 - NOP vs. SAS",W,117.0,43.0,87.7,49.06,11.7,27.5,40.96,19.3,22.7,86.5,9.6,35.4,45.0,26.6,13.9,7.7,4.1,18.5,8.2
"Mar 19, 2023 - NOP @ HOU",W,117.18,43.18,87.09,49.65,11.55,27.18,41.03,19.27,22.73,86.15,9.18,36.18,45.36,27.0,14.09,7.73,3.91,18.55,10.64
"Mar 17, 2023 - NOP @ HOU",L,117.17,43.08,86.92,49.63,11.67,27.5,41.1,19.33,22.83,85.91,9.25,35.58,44.83,27.08,13.75,7.67,3.92,18.92,10.58
"Mar 14, 2023 - NOP vs. LAL",L,116.77,42.77,86.54,49.48,11.69,27.54,41.24,19.54,23.0,86.07,9.15,34.92,44.08,26.69,13.38,7.69,4.0,18.77,9.62
"Mar 12, 2023 - NOP vs. POR",W,116.14,42.71,87.36,49.01,11.64,28.64,40.12,19.07,22.79,84.56,9.57,34.29,43.86,26.43,13.29,7.79,3.93,19.14,7.86
"Mar 11, 2023 - NOP vs. OKC",L,116.87,42.73,87.27,49.07,12.13,29.4,40.61,19.27,23.2,83.99,9.47,34.33,43.8,27.0,13.4,8.0,4.13,19.13,8.47
"Mar 08, 2023 - NOP vs. DAL",W,115.56,42.19,86.88,48.63,12.12,29.69,40.28,19.06,22.94,84.0,9.38,34.38,43.75,26.75,13.94,7.69,4.12,19.5,7.06
"Mar 06, 2023 - NOP @ SAC",L,115.41,42.18,86.65,48.75,12.18,29.53,40.74,18.88,22.65,84.29,9.35,34.71,44.06,27.06,14.0,7.47,4.24,19.47,7.06
"Mar 03, 2023 - NOP @ GSW",L,115.0,42.22,86.28,49.03,12.11,29.5,40.58,18.44,22.17,83.97,9.22,34.61,43.83,27.17,14.11,7.39,4.22,19.44,5.83
