MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023 - NYK @ NOP",L,136.0,52.0,108.0,48.1,15.0,40.0,37.5,17.0,22.0,77.3,19.0,34.0,53.0,29.0,15.0,8.0,8.0,24.0,-5.0
"Apr 05, 2023 - NYK @ IND",W,120.5,45.0,98.0,45.65,14.5,41.5,35.05,16.0,21.0,76.15,13.0,32.0,45.0,24.0,12.5,6.5,5.0,20.5,-6.5
"Apr 02, 2023 - NYK vs. WAS",W,126.33,47.33,98.67,47.77,15.67,43.0,36.4,16.0,22.33,72.1,15.33,32.0,47.33,27.33,14.33,8.67,6.0,20.67,-1.33
"Mar 31, 2023 - NYK @ CLE",W,124.25,47.0,96.0,48.9,15.0,40.25,37.45,15.25,21.25,72.12,13.25,32.0,45.25,28.25,13.75,9.5,5.5,19.75,1.25
"Mar 29, 2023 - NYK vs. MIA",W,125.4,47.4,95.4,49.66,15.4,39.4,39.4,15.2,21.8,70.2,13.8,32.0,45.8,27.4,13.0,8.8,5.4,18.2,3.8
"Mar 27, 2023 - NYK vs. HOU",W,121.33,45.83,92.17,49.72,15.0,38.0,39.82,14.67,22.0,67.2,13.0,33.0,46.0,26.5,13.5,8.67,5.0,17.5,4.67
"Mar 23, 2023 - NYK @ ORL",L,123.57,46.43,91.29,50.91,15.29,38.14,40.36,15.43,22.86,67.8,12.14,32.86,45.0,27.71,13.14,9.0,5.43,17.86,7.14
"Mar 22, 2023 - NYK @ MIA",L,121.38,45.25,90.88,49.8,14.88,38.38,39.06,16.0,23.25,68.94,12.25,32.62,44.88,27.5,13.12,8.88,5.75,17.5,5.62
"Mar 20, 2023 - NYK vs. MIN",L,121.22,44.89,89.89,49.96,15.0,38.56,39.17,16.44,23.44,70.17,11.89,32.67,44.56,27.67,13.56,8.67,5.67,18.33,4.22
"Mar 18, 2023 - NYK vs. DEN",W,122.5,45.2,89.4,50.61,14.9,37.5,40.25,17.2,23.9,71.72,11.4,32.1,43.5,27.5,13.9,8.5,5.4,18.7,3.2
"Mar 14, 2023 - NYK @ POR",W,121.91,44.82,88.82,50.5,14.36,37.0,39.15,17.91,24.27,73.32,11.73,31.73,43.45,27.09,13.73,8.55,5.27,18.45,3.45
"Mar 12, 2023 - NYK @ LAL",W,122.0,44.58,88.17,50.62,14.42,36.83,39.46,18.42,25.08,73.09,11.5,32.67,44.17,26.75,13.67,8.5,5.5,18.0,4.5
"Mar 11, 2023 - NYK @ LAC",L,121.23,44.38,88.15,50.39,14.15,36.85,38.71,18.31,24.77,73.7,11.54,32.77,44.31,26.08,13.46,8.46,5.31,18.0,4.46
"Mar 09, 2023 - NYK @ SAC",L,119.36,43.5,88.29,49.34,13.64,36.43,37.56,18.71,24.93,74.79,12.14,32.86,45.0,25.71,13.21,8.21,5.14,17.93,3.36
"Mar 07, 2023 - NYK vs. CHA",L,119.2,43.4,89.13,48.82,13.6,37.33,36.79,18.8,25.33,74.1,12.87,33.0,45.87,25.8,13.27,8.2,4.87,18.4,2.8
"Mar 05, 2023 - NYK @ BOS",W,118.31,43.06,89.12,48.44,13.44,37.5,36.21,18.75,25.25,74.16,12.69,32.75,45.44,25.31,12.94,7.88,4.81,18.38,2.19
"Mar 03, 2023 - NYK @ MIA",W,119.06,43.29,89.47,48.5,13.53,37.71,36.23,18.94,25.65,73.84,12.59,33.35,45.94,24.88,13.35,7.82,4.76,18.88,2.18
"Mar 01, 2023 - NYK vs. BKN",W,119.22,43.5,89.0,49.03,13.72,37.89,36.52,18.5,25.17,73.33,12.22,33.06,45.28,24.78,13.28,7.83,4.72,19.11,2.17
"Feb 27, 2023 - NYK vs. BOS",W,120.42,44.05,89.0,49.64,14.05,37.74,37.61,18.26,24.95,72.98,11.95,33.37,45.32,24.95,13.42,7.68,4.63,19.21,3.32
"Feb 25, 2023 - NYK vs. NOP",W,119.85,43.7,88.45,49.53,13.95,37.4,37.66,18.5,25.4,72.72,11.7,33.55,45.25,24.7,13.5,7.6,4.55,18.8,3.9
"Feb 24, 2023 - NYK @ WAS",W,120.24,43.76,88.43,49.6,14.19,37.9,37.75,18.52,25.29,73.19,11.67,34.0,45.67,24.67,13.76,7.29,4.67,18.95,4.76
"Feb 15, 2023 - NYK @ ATL",W,120.0,43.82,88.59,49.57,14.09,37.5,37.92,18.27,24.86,73.55,11.68,33.86,45.55,24.5,13.68,7.36,4.55,18.86,4.82
"Feb 13, 2023 - NYK vs. BKN",W,120.09,43.87,88.91,49.46,14.09,37.74,37.69,18.26,24.74,73.91,11.61,34.35,45.96,24.13,13.52,7.13,4.52,18.96,5.52
"Feb 11, 2023 - NYK vs. UTA",W,120.25,43.92,88.62,49.68,14.12,37.58,37.95,18.29,24.79,73.88,11.38,34.25,45.62,23.88,13.29,7.0,4.46,19.17,6.04
"Feb 10, 2023 - NYK @ PHI",L,120.48,43.88,88.88,49.51,14.04,37.52,37.77,18.68,25.32,73.87,11.72,34.16,45.88,23.64,13.0,6.96,4.44,19.36,6.04
"Feb 07, 2023 - NYK @ ORL",W,120.0,43.85,88.58,49.65,13.92,37.31,37.64,18.38,24.96,73.68,11.42,34.04,45.46,23.62,12.96,6.73,4.46,19.27,5.38
"Feb 05, 2023 - NYK vs. PHI",W,119.33,43.59,88.3,49.5,13.96,37.52,37.54,18.19,24.74,73.48,11.41,33.96,45.37,23.52,12.89,6.7,4.37,19.37,5.33
"Feb 04, 2023 - NYK vs. LAC",L,118.93,43.25,87.96,49.27,13.89,37.46,37.39,18.54,25.25,73.42,11.5,34.0,45.5,23.43,12.86,6.64,4.25,19.68,5.54
"Feb 02, 2023 - NYK vs. MIA",W,119.24,43.31,88.17,49.22,14.03,37.55,37.65,18.59,25.28,73.54,11.45,34.07,45.52,23.66,12.76,6.62,4.21,20.03,5.14
"Jan 31, 2023 - NYK vs. LAL",L,118.8,43.2,88.0,49.19,13.97,37.5,37.5,18.43,25.03,73.68,11.43,34.03,45.47,23.7,12.93,6.67,4.07,19.93,5.03
"Jan 28, 2023 - NYK @ BKN",L,118.94,43.23,88.32,49.05,13.74,37.39,36.96,18.74,25.26,74.13,11.48,33.97,45.45,23.81,12.81,6.65,4.03,20.06,4.68
"Jan 26, 2023 - NYK @ BOS",W,118.81,43.28,88.31,49.11,13.62,37.09,36.92,18.62,25.06,74.28,11.56,33.88,45.44,23.66,12.75,6.56,4.03,19.88,4.31
"Jan 24, 2023 - NYK vs. CLE",W,118.85,43.3,88.55,49.01,13.61,37.12,36.84,18.64,25.0,74.53,11.52,34.06,45.58,23.45,12.67,6.52,4.06,19.88,4.27
"Jan 22, 2023 - NYK @ TOR",L,118.44,43.12,88.15,49.02,13.71,37.0,37.27,18.5,24.88,74.3,11.44,34.03,45.47,23.5,12.79,6.44,4.03,19.82,4.21
"Jan 20, 2023 - NYK @ ATL",L,118.37,43.03,87.97,49.01,13.83,37.11,37.46,18.49,24.91,74.15,11.51,34.0,45.51,23.69,12.91,6.37,4.03,19.94,3.83
"Jan 18, 2023 - NYK vs. WAS",L,118.53,43.19,87.83,49.29,13.81,36.92,37.62,18.33,24.69,74.22,11.44,33.75,45.19,23.78,12.89,6.33,4.0,19.81,3.31
"Jan 16, 2023 - NYK vs. TOR",L,118.16,43.11,88.05,49.09,13.62,36.62,37.33,18.32,24.76,74.02,11.68,33.62,45.3,23.51,12.78,6.41,4.0,19.81,2.92
"Jan 15, 2023 - NYK @ DET",W,118.24,43.08,88.34,48.91,13.5,36.47,37.11,18.58,25.03,74.17,11.89,33.63,45.53,23.34,12.76,6.32,4.03,20.03,2.79
"Jan 13, 2023 - NYK @ WAS",W,118.21,43.0,88.33,48.82,13.46,36.31,37.18,18.74,25.18,74.34,12.05,33.64,45.69,23.18,12.64,6.23,4.08,19.82,3.05
"Jan 11, 2023 - NYK vs. IND",W,118.05,42.95,88.42,48.72,13.32,36.12,36.95,18.82,25.32,74.25,12.1,33.8,45.9,22.98,12.5,6.15,4.12,19.9,3.08
"Jan 09, 2023 - NYK vs. MIL",L,118.07,42.83,88.32,48.63,13.37,36.27,36.91,19.05,25.51,74.51,12.1,33.9,46.0,22.93,12.56,6.22,4.12,19.8,3.15
"Jan 06, 2023 - NYK @ TOR",W,117.81,42.71,88.6,48.38,13.31,36.38,36.67,19.07,25.43,74.9,12.24,33.81,46.05,22.76,12.43,6.26,4.05,19.67,2.98
"Jan 04, 2023 - NYK vs. SAS",W,117.67,42.63,88.47,48.35,13.37,36.4,36.83,19.05,25.44,74.77,12.26,33.91,46.16,22.67,12.44,6.19,4.05,19.74,3.0
"Jan 02, 2023 - NYK vs. PHX",W,117.66,42.68,88.59,48.34,13.3,36.27,36.72,19.0,25.45,74.56,12.3,33.89,46.18,22.52,12.48,6.2,4.09,19.77,3.0
"Dec 31, 2022 - NYK @ HOU",W,117.31,42.53,88.27,48.34,13.29,36.2,36.78,18.96,25.44,74.41,12.13,34.02,46.16,22.6,12.38,6.09,4.04,19.62,3.36
"Dec 29, 2022 - NYK @ SAS",L,117.11,42.37,88.3,48.14,13.33,36.52,36.62,19.04,25.59,74.36,12.22,33.93,46.15,22.54,12.33,6.17,4.07,19.63,3.72
"Dec 27, 2022 - NYK @ DAL",L,117.06,42.28,88.34,48.01,13.36,36.62,36.62,19.15,25.7,74.42,12.23,33.74,45.98,22.49,12.34,6.19,4.02,19.66,3.49
"Dec 25, 2022 - NYK vs. PHI",L,117.15,42.33,88.65,47.92,13.42,36.9,36.52,19.06,25.67,74.17,12.33,33.83,46.17,22.58,12.29,6.17,3.94,19.73,3.31
"Dec 23, 2022 - NYK vs. CHI",L,117.04,42.35,88.67,47.92,13.39,36.8,36.54,18.96,25.49,74.34,12.33,33.84,46.16,22.73,12.2,6.12,3.98,19.71,3.1
"Dec 21, 2022 - NYK vs. TOR",L,117.04,42.36,88.62,47.96,13.44,36.76,36.73,18.88,25.5,74.01,12.32,33.86,46.18,22.74,12.16,6.04,3.98,19.66,3.02
"Dec 20, 2022 - NYK vs. GSW",W,116.82,42.35,88.37,48.1,13.39,36.55,36.84,18.73,25.35,73.75,12.25,33.76,46.02,22.78,12.25,5.96,3.96,19.65,2.82
"Dec 18, 2022 - NYK @ IND",W,117.12,42.4,88.35,48.17,13.46,36.62,36.95,18.85,25.48,73.84,12.29,33.75,46.04,22.87,12.25,6.0,3.9,19.56,3.5
"Dec 16, 2022 - NYK @ CHI",W,116.96,42.34,88.25,48.15,13.36,36.42,36.83,18.92,25.57,73.89,12.32,33.77,46.09,22.68,12.32,6.02,4.0,19.58,3.49
"Dec 14, 2022 - NYK @ CHI",W,116.91,42.24,88.31,48.0,13.43,36.56,36.86,19.0,25.69,73.86,12.37,33.8,46.17,22.61,12.31,6.15,3.96,19.46,3.85
"Dec 11, 2022 - NYK vs. SAC",W,117.11,42.29,88.36,48.03,13.51,36.51,37.15,19.02,25.67,73.97,12.42,33.78,46.2,22.65,12.42,6.16,3.98,19.56,3.93
"Dec 09, 2022 - NYK @ CHA",W,117.02,42.25,88.38,47.98,13.41,36.48,36.9,19.11,25.7,74.23,12.46,33.89,46.36,22.59,12.5,6.2,3.98,19.61,4.09
"Dec 07, 2022 - NYK vs. ATL",W,117.09,42.23,88.46,47.91,13.4,36.44,36.92,19.23,25.77,74.45,12.53,33.86,46.39,22.63,12.53,6.19,4.04,19.63,4.35
"Dec 04, 2022 - NYK vs. CLE",W,117.02,42.14,88.36,47.85,13.47,36.43,37.1,19.28,25.74,74.75,12.53,34.0,46.53,22.69,12.55,6.19,4.0,19.69,4.69
"Dec 03, 2022 - NYK vs. DAL",L,116.59,42.02,88.32,47.73,13.32,36.31,36.76,19.24,25.66,74.86,12.56,34.1,46.66,22.59,12.69,6.19,3.98,19.63,4.8
"Nov 30, 2022 - NYK vs. MIL",L,116.32,41.9,88.13,47.69,13.27,36.22,36.69,19.25,25.7,74.8,12.47,34.17,46.63,22.52,12.82,6.2,3.93,19.58,4.37
"Nov 29, 2022 - NYK @ DET",W,116.1,41.9,88.33,47.6,13.15,36.11,36.41,19.15,25.61,74.64,12.57,34.2,46.77,22.44,12.74,6.13,3.92,19.59,4.2
"Nov 27, 2022 - NYK vs. MEM",L,116.48,42.1,88.45,47.74,13.19,36.1,36.56,19.1,25.53,74.66,12.65,34.19,46.84,22.58,12.76,6.18,3.87,19.58,4.61
"Nov 25, 2022 - NYK vs. POR",L,116.59,42.13,88.43,47.78,13.14,36.0,36.51,19.19,25.6,74.8,12.63,34.13,46.76,22.7,12.68,6.13,3.92,19.7,4.48
"Nov 21, 2022 - NYK @ OKC",W,116.78,42.19,88.69,47.72,13.14,36.08,36.44,19.27,25.64,74.97,12.62,34.09,46.72,22.77,12.64,6.14,3.94,19.94,4.36
"Nov 20, 2022 - NYK @ PHX",L,116.97,42.32,88.82,47.8,13.11,36.05,36.38,19.22,25.55,75.05,12.65,34.09,46.74,22.74,12.68,6.2,3.91,20.06,4.45
"Nov 18, 2022 - NYK @ GSW",L,116.64,42.2,88.76,47.68,13.02,35.88,36.25,19.23,25.55,75.12,12.61,34.02,46.62,22.7,12.65,6.17,3.95,19.98,4.06
"Nov 16, 2022 - NYK @ DEN",W,116.4,42.01,88.73,47.48,12.96,35.85,36.1,19.42,25.67,75.41,12.61,33.99,46.6,22.6,12.7,6.19,4.0,19.93,3.85
"Nov 15, 2022 - NYK @ UTA",W,116.25,41.94,88.66,47.43,12.88,35.82,35.92,19.49,25.75,75.44,12.51,33.99,46.5,22.62,12.63,6.28,4.01,19.9,3.84
"Nov 13, 2022 - NYK vs. OKC",L,116.28,41.97,88.72,47.43,12.86,35.77,35.9,19.48,25.74,75.44,12.52,33.93,46.45,22.67,12.65,6.33,4.0,19.97,3.88
"Nov 11, 2022 - NYK vs. DET",W,116.54,42.06,88.84,47.46,12.81,35.7,35.84,19.61,25.84,75.62,12.53,33.76,46.29,22.7,12.66,6.43,3.97,19.94,3.69
"Nov 09, 2022 - NYK @ BKN",L,116.61,42.06,88.92,47.42,12.77,35.76,35.69,19.72,25.89,75.87,12.58,33.72,46.3,22.7,12.63,6.44,3.96,20.1,3.76
"Nov 07, 2022 - NYK @ MIN",W,116.17,41.86,88.89,47.21,12.76,35.86,35.58,19.68,25.89,75.72,12.56,33.74,46.29,22.68,12.67,6.42,3.96,20.07,3.33
"Nov 05, 2022 - NYK vs. BOS",L,116.22,41.82,88.89,47.16,12.85,36.03,35.64,19.73,25.88,75.95,12.51,33.74,46.25,22.73,12.75,6.51,3.93,20.11,3.47
"Nov 04, 2022 - NYK @ PHI",W,116.24,41.88,88.91,47.21,12.82,35.91,35.71,19.66,25.74,76.19,12.5,33.72,46.22,22.72,12.77,6.5,3.93,20.03,3.22
