DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",PHI,ATL,A,W,134.0,53.0,101.0,52.5,14.0,32.0,43.8,14.0,19.0,73.7,13.0,37.0,50.0,31.0,13.0,10.0,5.0,23.0,29.0
"Apr 06, 2023",PHI,MIA,H,L,135.0,52.0,101.5,51.25,12.5,27.0,46.9,18.5,24.0,76.5,13.0,38.0,51.0,32.0,16.5,10.0,3.5,22.5,17.0
"Apr 04, 2023",PHI,BOS,H,W,123.67,47.67,93.0,51.27,11.67,30.0,40.53,16.67,21.0,79.9,9.67,35.0,44.67,29.0,16.67,9.0,3.67,21.0,2.0
"Apr 02, 2023",PHI,MIL,A,L,118.5,45.5,89.25,50.95,11.5,29.75,39.88,16.0,19.75,81.8,8.75,34.0,42.75,27.0,15.5,7.5,4.5,21.0,2.0
"Mar 31, 2023",PHI,TOR,H,W,115.6,44.4,88.8,49.96,11.6,31.0,38.56,15.2,18.4,83.9,9.2,32.2,41.4,25.4,14.6,6.6,4.0,20.2,-1.0
"Mar 29, 2023",PHI,DAL,H,W,115.83,43.83,86.17,51.0,11.67,31.0,38.58,16.5,19.5,85.25,9.17,31.5,40.67,25.83,15.17,6.67,4.33,20.17,0.33
"Mar 27, 2023",PHI,DEN,A,L,115.86,42.86,85.29,50.33,12.43,31.71,39.81,17.71,21.0,84.97,9.43,31.57,41.0,25.86,14.57,7.0,4.29,20.0,1.43
"Mar 25, 2023",PHI,PHX,A,L,115.25,42.88,85.75,50.08,11.88,31.5,38.17,17.62,21.12,84.01,9.62,31.25,40.88,24.88,14.12,7.38,4.12,20.0,0.62
"Mar 24, 2023",PHI,GSW,A,L,114.11,41.89,84.89,49.36,12.0,31.44,38.59,18.33,21.78,84.56,9.44,30.89,40.33,24.44,14.0,6.89,4.44,19.56,-1.67
"Mar 22, 2023",PHI,CHI,A,W,113.9,41.5,84.2,49.29,11.6,31.2,37.49,19.3,23.0,84.34,8.9,31.2,40.1,24.3,13.6,7.0,4.1,19.6,-2.3
"Mar 20, 2023",PHI,CHI,H,L,114.09,41.27,84.0,49.14,12.0,31.73,38.01,19.55,23.27,84.36,9.09,31.36,40.45,24.82,14.0,7.18,4.09,19.82,0.18
"Mar 18, 2023",PHI,IND,A,W,113.33,41.0,84.5,48.56,11.83,32.08,37.16,19.5,23.17,84.53,9.08,32.5,41.58,25.08,14.58,7.25,4.42,20.25,-0.17
"Mar 17, 2023",PHI,CHA,A,W,115.46,42.0,84.77,49.55,12.08,32.31,37.6,19.38,23.08,84.32,8.85,31.85,40.69,25.54,14.08,7.54,4.54,20.0,1.38
"Mar 15, 2023",PHI,CLE,A,W,115.86,42.29,85.29,49.58,11.93,32.29,37.15,19.36,23.21,83.73,9.21,33.0,42.21,25.43,14.14,7.64,4.86,19.93,4.07
"Mar 12, 2023",PHI,WAS,H,W,116.0,42.07,84.6,49.74,12.27,32.53,37.82,19.6,23.47,83.83,9.47,33.0,42.47,25.33,14.53,7.67,4.93,20.0,4.4
"Mar 10, 2023",PHI,POR,H,W,115.75,42.0,84.31,49.84,12.19,32.31,37.82,19.56,23.44,83.75,9.44,33.0,42.44,25.56,14.19,7.56,5.25,19.94,5.31
"Mar 07, 2023",PHI,MIN,A,W,116.0,42.06,84.24,49.95,12.12,32.18,37.76,19.76,23.76,83.49,9.59,32.82,42.41,25.53,13.94,7.53,5.18,20.18,5.06
"Mar 06, 2023",PHI,IND,A,W,116.06,41.94,84.06,49.92,12.28,31.78,38.99,19.89,23.72,84.17,9.5,33.56,43.06,25.28,14.06,7.56,5.22,20.0,6.06
"Mar 04, 2023",PHI,MIL,A,W,117.68,42.26,83.95,50.37,12.47,31.89,39.42,20.68,24.47,84.58,9.26,33.42,42.68,25.89,13.95,7.47,5.21,20.32,5.95
