MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2023 - POR @ LAC",L,101.0,38.0,95.0,40.0,9.0,35.0,25.7,16.0,24.0,66.7,6.0,24.0,30.0,25.0,14.0,5.0,3.0,9.0,-56.0
"Apr 06, 2023 - POR @ SAS",L,113.0,42.5,92.0,46.4,11.5,33.5,34.75,16.5,23.5,70.3,6.5,25.5,32.0,28.5,12.0,6.5,3.5,14.5,-33.5
"Apr 04, 2023 - POR @ MEM",L,117.67,45.33,93.33,48.63,11.0,31.67,35.07,16.0,21.67,74.63,7.0,26.33,33.33,30.33,13.33,6.67,7.0,17.0,-23.0
"Apr 02, 2023 - POR @ MIN",W,115.5,44.5,94.25,47.3,11.75,34.25,34.62,14.75,20.5,72.15,8.5,28.75,37.25,28.5,12.5,6.75,7.0,17.25,-19.75
"Mar 31, 2023 - POR vs. SAC",L,113.8,44.2,94.0,47.08,11.2,33.4,33.7,14.2,20.4,69.72,9.0,29.2,38.2,28.6,12.0,7.8,6.2,19.0,-15.4
"Mar 29, 2023 - POR vs. SAC",L,113.83,43.5,92.5,47.08,12.5,34.17,36.42,14.33,20.83,68.97,9.0,28.33,37.33,28.67,13.33,8.0,6.17,18.33,-16.83
"Mar 27, 2023 - POR vs. NOP",L,109.0,41.57,92.57,44.97,12.0,34.86,34.51,13.86,19.57,72.21,8.86,29.57,38.43,27.14,13.43,7.57,6.14,17.86,-20.14
"Mar 26, 2023 - POR vs. OKC",L,106.62,40.75,92.25,44.21,11.38,34.62,32.85,13.75,19.0,74.03,8.5,28.75,37.25,25.62,13.25,7.38,5.62,17.62,-21.88
"Mar 24, 2023 - POR vs. CHI",L,107.22,40.56,91.11,44.59,11.67,34.33,34.07,14.44,19.89,74.03,8.44,28.78,37.22,24.78,13.78,7.11,5.78,18.11,-20.11
"Mar 22, 2023 - POR @ UTA",W,106.1,40.2,90.6,44.43,11.1,34.0,32.6,14.6,19.7,75.52,8.4,28.2,36.6,24.6,13.8,7.4,5.7,17.7,-20.9
"Mar 19, 2023 - POR vs. LAC",L,108.0,40.64,90.82,44.79,11.27,34.64,32.52,15.45,20.64,75.93,8.27,28.91,37.18,24.91,13.36,7.55,5.64,18.27,-17.91
"Mar 17, 2023 - POR vs. BOS",L,107.5,40.33,90.08,44.82,10.83,34.17,31.53,16.0,20.92,77.24,8.5,28.92,37.42,24.83,13.5,7.5,5.92,17.92,-17.67
"Mar 14, 2023 - POR vs. NYK",L,107.85,40.15,89.23,45.07,11.08,34.46,31.94,16.46,21.69,76.76,8.46,28.92,37.38,24.46,13.92,7.85,5.77,18.54,-17.38
"Mar 12, 2023 - POR @ NOP",L,107.79,40.0,89.93,44.59,11.5,35.21,32.36,16.29,21.43,76.84,8.64,28.79,37.43,24.29,13.79,7.86,5.57,18.57,-17.29
"Mar 10, 2023 - POR @ PHI",L,107.93,40.2,89.8,44.88,11.4,35.07,32.22,16.13,21.33,76.38,8.73,29.27,38.0,24.4,14.13,8.0,5.33,18.73,-17.27
"Mar 08, 2023 - POR @ BOS",L,108.62,40.31,89.19,45.36,11.62,35.12,32.81,16.38,21.88,75.78,8.5,29.38,37.88,24.38,13.81,7.88,5.19,18.62,-16.25
