MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - CHI @ WAS",W,119.0,49.0,101.0,48.5,8.0,31.0,25.8,13.0,16.0,81.3,15.0,29.0,44.0,25.0,12.0,15.0,3.0,21.0,-1.0
"Apr 11, 2024 - CHI @ DET",W,124.0,48.5,99.5,48.75,11.0,33.0,32.9,16.0,22.0,74.6,16.0,34.0,50.0,26.5,12.5,12.0,4.5,23.0,0.5
"Apr 09, 2024 - CHI vs. NYK",L,125.0,49.33,98.33,50.2,12.0,34.0,34.9,14.33,19.67,74.17,14.33,33.0,47.33,27.0,11.33,12.67,4.67,20.33,7.67
"Apr 07, 2024 - CHI @ ORL",L,123.0,48.75,95.75,51.0,11.5,32.5,35.1,14.0,19.5,72.72,13.75,31.5,45.25,25.25,10.75,10.5,4.75,19.75,3.0
"Apr 05, 2024 - CHI vs. NYK",W,118.0,46.6,91.6,50.94,10.4,30.0,34.08,14.4,20.0,72.72,12.6,31.0,43.6,24.2,12.8,9.8,4.8,19.2,-0.6
"Apr 01, 2024 - CHI vs. ATL",L,116.33,46.17,91.83,50.33,9.83,28.83,33.47,14.17,19.33,74.15,13.67,32.17,45.83,24.67,13.5,10.0,4.83,19.17,0.83
"Mar 31, 2024 - CHI @ MIN",W,114.14,44.86,92.14,48.77,9.43,28.71,32.26,15.0,20.0,75.46,14.0,32.57,46.57,23.57,12.71,9.71,4.43,18.86,-1.0
"Mar 29, 2024 - CHI @ BKN",L,113.5,44.5,90.62,49.24,10.38,28.75,35.55,14.12,19.0,74.36,13.25,32.88,46.12,24.38,13.12,9.88,4.25,18.75,0.12
"Mar 27, 2024 - CHI vs. IND",W,112.89,43.78,88.89,49.4,10.22,28.89,34.93,15.11,20.11,74.91,12.33,33.56,45.89,24.33,13.11,9.11,4.44,18.67,-1.78
"Mar 25, 2024 - CHI vs. WAS",L,114.1,44.3,89.8,49.46,10.4,28.7,35.88,15.1,19.9,75.75,12.4,34.3,46.7,24.7,12.6,8.9,4.5,18.7,1.0
